 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   0.1       0.2500     1.0000     0.3300     0.7750     0.3750     0.7500     0.3950     0.7200     0.3850     0.7200     0.6900     0.7100     0.6550     0.7150     0.6400     0.7000     0.6200     0.7100  
   0.2       0.2500     1.0000     0.3300     0.7750     0.3750     0.7500     0.3950     0.7200     0.6900     0.7200     0.6500     0.7100     0.6400     0.7000     0.6150     0.7000     0.5900     0.7100  
   0.3       0.2500     0.7500     0.3300     0.7750     0.3750     0.7500     0.3950     0.7200     0.6100     0.7200     0.5700     0.7100     0.6250     0.7000     0.5900     0.7000     0.5350     0.7200  
   0.4       0.2500     1.7500     0.3300     0.7750     0.3750     0.7500     0.6000     1.4800     0.5800     0.7200     0.5300     0.7100     0.5450     0.7000     0.5300     0.7000     0.5300     0.7100  
   0.5       0.2500     1.7500     0.3300     0.7750     0.3750     1.9350     0.3950     1.5150     0.5000     1.6900     0.4650     1.7300     0.4800     1.7000     0.4400     1.5550     0.3950     1.5150  
   0.6       0.2500     1.7500     0.3300     1.8850     0.3750     1.9350     0.3950     1.5150     0.3850     1.6900     0.4050     1.7300     0.3750     1.7950     0.3700     1.6150     0.3300     1.5150  
   0.7       0.2500     1.7500     0.3300     1.9950     0.3750     1.9350     0.3200     1.5150     0.3600     1.6900     0.3250     1.7300     0.3250     1.7950     0.3300     1.7250     0.3300     1.5800  
   0.8       0.2500     1.7500     0.3300     1.9950     0.3100     1.9350     0.3200     1.5550     0.3050     1.6900     0.3050     1.7300     0.2650     1.7950     0.2700     1.7500     0.2500     1.5850  
   0.9       0.2500     1.7500     0.3300     1.9950     0.3100     1.9350     0.2750     1.5550     0.2500     1.6900     0.2400     1.7300     0.2650     1.8250     0.2300     1.7900     0.2400     1.6050  
   1.0       0.2500     1.7500     0.3300     1.9950     0.3100     1.9350     0.2400     1.5150     0.2500     1.6900     0.2400     1.7750     0.2300     1.8250     0.2450     1.7900     0.2250     1.6350  
   1.1       0.2500     1.7500     0.3300     1.9950     0.2500     1.9350     0.2400     1.5150     0.2500     1.6900     0.2400     1.7750     0.2150     1.8250     0.2300     1.7750     0.1850     1.6250  
