 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     1.7500     0.3300     1.3300     0.2500     1.1850     0.2400     1.3200     0.2200     1.2500     0.2000     1.2400     0.2300     1.2950     0.2200     1.2450     0.1950     1.1350  
   20.0      0.2500     1.7500     0.2200     1.3300     0.2500     1.1850     0.1950     1.3200     0.2200     1.2500     0.2200     1.2400     0.2150     1.2950     0.2050     1.2450     0.1850     1.1500  
   30.0      0.2500     1.7500     0.2200     1.4400     0.2500     1.1850     0.2400     1.3200     0.2200     1.2500     0.2000     1.2400     0.2000     1.3250     0.2200     1.2550     0.1950     1.1500  
   40.0      0.2500     1.7500     0.3300     1.3300     0.2500     1.1850     0.2400     1.3200     0.2200     1.2500     0.2000     1.2400     0.2000     1.3250     0.1950     1.2550     0.1800     1.1500  
   50.0      0.2500     1.7500     0.3300     1.4400     0.2500     1.1850     0.2400     1.3200     0.2200     1.2750     0.2000     1.2400     0.2000     1.3250     0.1950     1.2700     0.1850     1.1500  
   60.0      0.2500     1.7500     0.2200     1.4400     0.2500     1.1850     0.2400     1.3200     0.1900     1.2750     0.2000     1.2400     0.2000     1.3250     0.1950     1.2550     0.1800     1.1500  
   70.0      0.2500     1.7500     0.2200     1.3300     0.2500     1.1850     0.1950     1.3200     0.2200     1.2500     0.2000     1.2400     0.2000     1.3250     0.2050     1.2450     0.1850     1.1350  
   80.0      0.2500     1.7500     0.2200     1.4400     0.2500     1.1850     0.1950     1.3200     0.2200     1.2500     0.2200     1.2400     0.2000     1.3250     0.2050     1.2550     0.1850     1.1500  
   90.0      0.2500     1.7500     0.2200     1.4400     0.2500     1.1850     0.2400     1.3200     0.2200     1.2500     0.2000     1.2400     0.2000     1.3250     0.2050     1.2550     0.1950     1.1500  
   99.9      0.2500     1.7500     0.2200     1.4400     0.2500     1.1850     0.2400     1.3200     0.2200     1.2750     0.2000     1.2400     0.2000     1.3250     0.2050     1.2700     0.1850     1.1500  
