           tauB                     NinLC                      phiL          
           0.00                     14403                    1.44630         
           0.10                     15054                    1.47555         
           0.20                     15659                    1.48281         
           0.30                     16361                    1.47325         
           0.40                     16652                    1.47805         
           0.50                     17406                    1.45027         
           0.60                     17860                    1.43670         
           0.70                     17823                    1.44989         
           0.80                     20412                    1.34465         
           0.90                     19102                    1.40308         
           1.00                     20493                    1.35176         
           1.10                     19503                    1.40317         
           1.20                     20661                    1.36729         
           1.30                     21660                    1.33731         
           1.40                     21647                    1.34508         
           1.50                     21537                    1.36084         
           1.60                     20916                    1.39757         
           1.70                     21070                    1.40579         
           1.80                     21521                    1.40265         
           1.90                     21777                    1.40097         
           2.00                     21793                    1.40930         
           2.10                     22215                    1.40529         
           2.20                     23702                    1.36362         
           2.30                     22024                    1.43794         
           2.40                     22819                    1.41323         
           2.50                     23675                    1.38583         
           2.60                     24022                    1.37762         
           2.70                     23512                    1.40247         
           2.80                     24413                    1.37840         
           2.90                     25265                    1.36189         
           3.00                     24896                    1.38229         
           3.10                     26073                    1.35033         
           3.20                     25362                    1.37978         
           3.30                     25547                    1.38035         
           3.40                     25681                    1.37742         
           3.50                     27078                    1.33652         
           3.60                     27610                    1.32260         
           3.70                     27410                    1.33081         
           3.80                     27187                    1.33948         
           3.90                     26956                    1.35085         
           4.00                     27610                    1.33386         
           4.10                     27254                    1.34195         
           4.20                     27633                    1.32848         
           4.30                     29129                    1.29177         
           4.40                     28706                    1.30374         
           4.50                     29839                    1.27726         
           4.60                     27980                    1.32600         
           4.70                     26885                    1.35913         
           4.80                     26213                    1.37670         
           4.90                     28457                    1.31765         
           5.00                     28513                    1.31874         
           5.10                     29513                    1.29346         
           5.20                     29738                    1.28959         
           5.30                     29416                    1.29961         
           5.40                     29940                    1.28835         
           5.50                     30244                    1.27996         
           5.60                     29944                    1.28270         
           5.70                     29567                    1.29269         
           5.80                     29916                    1.28333         
           5.90                     30806                    1.26197         
           6.00                     31275                    1.25172         
           6.10                     31138                    1.25826         
           6.20                     31471                    1.25365         
           6.30                     29467                    1.29891         
           6.40                     31399                    1.25690         
           6.50                     31552                    1.25081         
           6.60                     30700                    1.26825         
           6.70                     30141                    1.27876         
           6.80                     32086                    1.23305         
           6.90                     30846                    1.25897         
           7.00                     31650                    1.24044         
           7.10                     31273                    1.24519         
           7.20                     29358                    1.28623         
           7.30                     31845                    1.22820         
           7.40                     30852                    1.25012         
           7.50                     32452                    1.21514         
           7.60                     33230                    1.20190         
           7.70                     32454                    1.21681         
           7.80                     33368                    1.19695         
           7.90                     33020                    1.20441         
           8.00                     33854                    1.19169         
           8.10                     31522                    1.23463         
           8.20                     32246                    1.21966         
           8.30                     30996                    1.24615         
           8.40                     32285                    1.21833         
           8.50                     31606                    1.23426         
           8.60                     32285                    1.21983         
           8.70                     31356                    1.23977         
           8.80                     31552                    1.23609         
           8.90                     31632                    1.23119         
           9.00                     31654                    1.23335         
           9.10                     31861                    1.22728         
           9.20                     32731                    1.21069         
           9.30                     33189                    1.20174         
           9.40                     30590                    1.25219         
           9.50                     30125                    1.26108         
           9.60                     30501                    1.25331         
           9.70                     32806                    1.20079         
           9.80                     30697                    1.24202         
           9.90                     32882                    1.19471         
          10.00                     30476                    1.24459         
          10.10                     30348                    1.24798         
          10.20                     31670                    1.21848         
          10.30                     32123                    1.20876         
          10.40                     31118                    1.22737         
          10.50                     33290                    1.18729         
          10.60                     31448                    1.22087         
          10.70                     33038                    1.18997         
          10.80                     32392                    1.19663         
          10.90                     34577                    1.15739         
          11.00                     32007                    1.20064         
          11.10                     34626                    1.15257         
          11.20                     32553                    1.19074         
          11.30                     30834                    1.23077         
          11.40                     33199                    1.18329         
          11.50                     32074                    1.20290         
          11.60                     32596                    1.19343         
          11.70                     31765                    1.20682         
          11.80                     31437                    1.21440         
          11.90                     31845                    1.20553         
          12.00                     31748                    1.20153         
          12.10                     35164                    1.14026         
          12.20                     33148                    1.17031         
          12.30                     30828                    1.21055         
          12.40                     29929                    1.22217         
          12.50                     28788                    1.24778         
          12.60                     31121                    1.19491         
          12.70                     30405                    1.20726         
          12.80                     31356                    1.19053         
          12.90                     33001                    1.16017         
          13.00                     32732                    1.16381         
          13.10                     32530                    1.16303         
          13.20                     32926                    1.15202         
          13.30                     33407                    1.13945         
          13.40                     32810                    1.14857         
          13.50                     33675                    1.13198         
          13.60                     34098                    1.11992         
          13.70                     30237                    1.18926         
