           tauB                     NinLC                      phiL          
           0.00                     12573                    1.41203         
           0.10                     13145                    1.43085         
           0.20                     14005                    1.41657         
           0.30                     14816                    1.39375         
           0.40                     16659                    1.31563         
           0.50                     16032                    1.36027         
           0.60                     16942                    1.33371         
           0.70                     17434                    1.32979         
           0.80                     17894                    1.32545         
           0.90                     18699                    1.30325         
           1.00                     17049                    1.38298         
           1.10                     17627                    1.36817         
           1.20                     18291                    1.34564         
           1.30                     20928                    1.25504         
           1.40                     19100                    1.32023         
           1.50                     18985                    1.33117         
           1.60                     19763                    1.30878         
           1.70                     20455                    1.28932         
           1.80                     19603                    1.32387         
           1.90                     20718                    1.28840         
           2.00                     22451                    1.23595         
           2.10                     22695                    1.23131         
           2.20                     22190                    1.25313         
           2.30                     22680                    1.24201         
           2.40                     22310                    1.25906         
           2.50                     21572                    1.29038         
           2.60                     21441                    1.29992         
           2.70                     21483                    1.30154         
           2.80                     22065                    1.29042         
           2.90                     20639                    1.34884         
           3.00                     21865                    1.31217         
           3.10                     23412                    1.27247         
           3.20                     22371                    1.31073         
           3.30                     23236                    1.28763         
           3.40                     23278                    1.28957         
           3.50                     23462                    1.29234         
           3.60                     22855                    1.31984         
           3.70                     24664                    1.26716         
           3.80                     23219                    1.31359         
           3.90                     23249                    1.32008         
           4.00                     23894                    1.30157         
           4.10                     24873                    1.27289         
           4.20                     24645                    1.28068         
           4.30                     24788                    1.27687         
           4.40                     24261                    1.29605         
           4.50                     24629                    1.28859         
           4.60                     25057                    1.27575         
           4.70                     26164                    1.24243         
           4.80                     25426                    1.26484         
           4.90                     25427                    1.26456         
           5.00                     26917                    1.22393         
           5.10                     25896                    1.25137         
           5.20                     27246                    1.21556         
           5.30                     27620                    1.20631         
           5.40                     28253                    1.19404         
           5.50                     28675                    1.18436         
           5.60                     26669                    1.23012         
           5.70                     27087                    1.22233         
           5.80                     27262                    1.21900         
           5.90                     26860                    1.22662         
           6.00                     28462                    1.18997         
           6.10                     27619                    1.20922         
           6.20                     29018                    1.18165         
           6.30                     28985                    1.18590         
           6.40                     28155                    1.20764         
           6.50                     29055                    1.18590         
           6.60                     29327                    1.18081         
           6.70                     28619                    1.19564         
           6.80                     28971                    1.18423         
           6.90                     28905                    1.18346         
           7.00                     28917                    1.17699         
           7.10                     29299                    1.16900         
           7.20                     30940                    1.13812         
           7.30                     29183                    1.17486         
           7.40                     31756                    1.12538         
           7.50                     32114                    1.11668         
           7.60                     30343                    1.14744         
           7.70                     30624                    1.13790         
           7.80                     29374                    1.16069         
           7.90                     30068                    1.14475         
           8.00                     31720                    1.11192         
           8.10                     31049                    1.12027         
           8.20                     31011                    1.12365         
           8.30                     31190                    1.12078         
           8.40                     33418                    1.07947         
           8.50                     32197                    1.09838         
           8.60                     32489                    1.08870         
           8.70                     32167                    1.08813         
           8.80                     32492                    1.07977         
           8.90                     34324                    1.04941         
           9.00                     33338                    1.06243         
           9.10                     34313                    1.04577         
           9.20                     33004                    1.05845         
           9.30                     34145                    1.04324         
           9.40                     33637                    1.04960         
           9.50                     34122                    1.04120         
           9.60                     32601                    1.06290         
           9.70                     36723                    1.00853         
           9.80                     33485                    1.04912         
           9.90                     32159                    1.06422         
          10.00                     35149                    1.02195         
          10.10                     31089                    1.07840         
          10.20                     34747                    1.02296         
          10.30                     32482                    1.05129         
          10.40                     29862                    1.08473         
          10.50                     32444                    1.04509         
          10.60                     33097                    1.03141         
          10.70                     33422                    1.02462         
          10.80                     31539                    1.04706         
          10.90                     32995                    1.02077         
          11.00                     34285                    0.99645         
          11.10                     33703                    0.99933         
          11.20                     33433                    0.99880         
          11.30                     34007                    0.98923         
          11.40                     30415                    1.03204         
          11.50                     33794                    0.98292         
          11.60                     34642                    0.97100         
          11.70                     31366                    1.00871         
          11.80                     34484                    0.96957         
          11.90                     36313                    0.94608         
          12.00                     36713                    0.93621         
          12.10                     37652                    0.92459         
          12.20                     38016                    0.91553         
          12.30                     35201                    0.93914         
          12.40                     34890                    0.93962         
          12.50                     36054                    0.92629         
          12.60                     36270                    0.92135         
          12.70                     36662                    0.91743         
          12.80                     35073                    0.93161         
          12.90                     38173                    0.90328         
          13.00                     37322                    0.91103         
          13.10                     35505                    0.92318         
          13.20                     34974                    0.92225         
          13.30                     35720                    0.91217         
          13.40                     33717                    0.92810         
          13.50                     37023                    0.89638         
          13.60                     37489                    0.88689         
          13.70                     38672                    0.87490         
          13.80                     38716                    0.87410         
          13.90                     37686                    0.88018         
          14.00                     37135                    0.88084         
          14.10                     41176                    0.84549         
          14.20                     37698                    0.86788         
          14.30                     37725                    0.86433         
          14.40                     37377                    0.86805         
          14.50                     39026                    0.85183         
          14.60                     38843                    0.84967         
          14.70                     39822                    0.83810         
          14.80                     38569                    0.84339         
          14.90                     39429                    0.83491         
          15.00                     39968                    0.82985         
          15.10                     39381                    0.83232         
          15.20                     41202                    0.81853         
          15.30                     34667                    0.85588         
          15.40                     38871                    0.82335         
          15.50                     35039                    0.85044         
          15.60                     38667                    0.82574         
          15.70                     36548                    0.83739         
          15.80                     39193                    0.82083         
          15.90                     36838                    0.83226         
          16.00                     40396                    0.81071         
          16.10                     39116                    0.81566         
          16.20                     40676                    0.80842         
          16.30                     38144                    0.81998         
          16.40                     41120                    0.79576         
          16.50                     40607                    0.79414         
          16.60                     37269                    0.81167         
          16.70                     34418                    0.82637         
          16.80                     35995                    0.81270         
          16.90                     34487                    0.81195         
          17.00                     37663                    0.79261         
          17.10                     39996                    0.77819         
          17.20                     39738                    0.77777         
          17.30                     41256                    0.76944         
          17.40                     40893                    0.77136         
          17.50                     41117                    0.77269         
          17.60                     40684                    0.77447         
          17.70                     38222                    0.78532         
          17.80                     41914                    0.76470         
          17.90                     41843                    0.76103         
          18.00                     39479                    0.76855         
          18.10                     40979                    0.75782         
          18.20                     43876                    0.74439         
          18.30                     41025                    0.75369         
          18.40                     41570                    0.74834         
          18.50                     42526                    0.74766         
          18.60                     42123                    0.74509         
          18.70                     41489                    0.74593         
          18.80                     42798                    0.73915         
          18.90                     41986                    0.74108         
          19.00                     41869                    0.74060         
          19.10                     44278                    0.73293         
          19.20                     40905                    0.74219         
          19.30                     45225                    0.72958         
          19.40                     41999                    0.73670         
          19.50                     42471                    0.73582         
          19.60                     40713                    0.74139         
          19.70                     38879                    0.74807         
          19.80                     44594                    0.72505         
          19.90                     40590                    0.73775         
          20.00                     41661                    0.73420         
          20.10                     40409                    0.73755         
          20.20                     42967                    0.72836         
          20.30                     42200                    0.72717         
          20.40                     43243                    0.72409         
          20.50                     38774                    0.74126         
          20.60                     42462                    0.72591         
          20.70                     39870                    0.73273         
          20.80                     39562                    0.73327         
          20.90                     40911                    0.72514         
          21.00                     37792                    0.73174         
          21.10                     32644                    0.73714         
