           tauB                     NinLC                      phiL          
           0.00                     14890                    1.43999         
           0.10                     15122                    1.49282         
           0.20                     15994                    1.48388         
           0.30                     16391                    1.49430         
           0.40                     17631                    1.45244         
           0.50                     17503                    1.47725         
           0.60                     18701                    1.43114         
           0.70                     18051                    1.47875         
           0.80                     18719                    1.45933         
           0.90                     18578                    1.48149         
           1.00                     19334                    1.45318         
           1.10                     19253                    1.45967         
           1.20                     21274                    1.37800         
           1.30                     20161                    1.42881         
           1.40                     21152                    1.39845         
           1.50                     20697                    1.42565         
           1.60                     20188                    1.46028         
           1.70                     22206                    1.38753         
           1.80                     21429                    1.42898         
           1.90                     22300                    1.39992         
           2.00                     22752                    1.38983         
           2.10                     22378                    1.40996         
           2.20                     22013                    1.43292         
           2.30                     22347                    1.43157         
           2.40                     22755                    1.42592         
           2.50                     22741                    1.43435         
           2.60                     22596                    1.44701         
           2.70                     23111                    1.43343         
           2.80                     23990                    1.40262         
           2.90                     24326                    1.39833         
           3.00                     23773                    1.42596         
           3.10                     24560                    1.40682         
           3.20                     25200                    1.38958         
           3.30                     24879                    1.40428         
           3.40                     25751                    1.37646         
           3.50                     25542                    1.38199         
           3.60                     26009                    1.36961         
           3.70                     26231                    1.36577         
           3.80                     25939                    1.37111         
           3.90                     26012                    1.37150         
           4.00                     26358                    1.36316         
           4.10                     25393                    1.38884         
           4.20                     26724                    1.34691         
           4.30                     27647                    1.32194         
           4.40                     26784                    1.34950         
           4.50                     27042                    1.34720         
           4.60                     28521                    1.30970         
           4.70                     28278                    1.31832         
           4.80                     27108                    1.35022         
           4.90                     28379                    1.31752         
           5.00                     28149                    1.32315         
           5.10                     27921                    1.32945         
           5.20                     29061                    1.29929         
           5.30                     29264                    1.29348         
           5.40                     28430                    1.31645         
           5.50                     27227                    1.35192         
           5.60                     29197                    1.29693         
           5.70                     29498                    1.28821         
           5.80                     28681                    1.30975         
           5.90                     28028                    1.33000         
           6.00                     29084                    1.30443         
           6.10                     30137                    1.27592         
           6.20                     28445                    1.32118         
           6.30                     30505                    1.27610         
           6.40                     27765                    1.35313         
           6.50                     26777                    1.39112         
           6.60                     27861                    1.36601         
           6.70                     28632                    1.35261         
           6.80                     28591                    1.35600         
           6.90                     29269                    1.33736         
           7.00                     29185                    1.33680         
           7.10                     29357                    1.33145         
           7.20                     28743                    1.34690         
           7.30                     29522                    1.32723         
           7.40                     29203                    1.33525         
           7.50                     29574                    1.32362         
           7.60                     28878                    1.33883         
           7.70                     30515                    1.29456         
           7.80                     31868                    1.26118         
           7.90                     30258                    1.30469         
           8.00                     30895                    1.29080         
           8.10                     31304                    1.27877         
           8.20                     32020                    1.26300         
           8.30                     31382                    1.27407         
           8.40                     29548                    1.31367         
           8.50                     32474                    1.24629         
           8.60                     32115                    1.25487         
           8.70                     31297                    1.27209         
           8.80                     32856                    1.23920         
