           tauB                     NinLC                      phiL          
           0.00                     13165                    1.43833         
           0.10                     15191                    1.37289         
           0.20                     14520                    1.45166         
           0.30                     15078                    1.44205         
           0.40                     15848                    1.41616         
           0.50                     16701                    1.38808         
           0.60                     17453                    1.37031         
           0.70                     17236                    1.39970         
           0.80                     17858                    1.38173         
           0.90                     17596                    1.40665         
           1.00                     17692                    1.41470         
           1.10                     19136                    1.36218         
           1.20                     18337                    1.40981         
           1.30                     18786                    1.39852         
           1.40                     19408                    1.38085         
           1.50                     19529                    1.38752         
           1.60                     19334                    1.40531         
           1.70                     20172                    1.37461         
           1.80                     20230                    1.37242         
           1.90                     20336                    1.37215         
           2.00                     20882                    1.35799         
           2.10                     21772                    1.33312         
           2.20                     21927                    1.33140         
           2.30                     21931                    1.33505         
           2.40                     22015                    1.33686         
           2.50                     22058                    1.33757         
           2.60                     23896                    1.27832         
           2.70                     24041                    1.27730         
           2.80                     23323                    1.30396         
           2.90                     23935                    1.29140         
           3.00                     23438                    1.31145         
           3.10                     25022                    1.26623         
           3.20                     24277                    1.28942         
           3.30                     23963                    1.29844         
           3.40                     24312                    1.28915         
           3.50                     25272                    1.26603         
           3.60                     25352                    1.26698         
           3.70                     25363                    1.27064         
           3.80                     25172                    1.28048         
           3.90                     24985                    1.28937         
           4.00                     25065                    1.28973         
           4.10                     25376                    1.28286         
           4.20                     26297                    1.25806         
           4.30                     25980                    1.27280         
           4.40                     27642                    1.23137         
           4.50                     26322                    1.26762         
           4.60                     26664                    1.26055         
           4.70                     25336                    1.30293         
           4.80                     26112                    1.28260         
           4.90                     26561                    1.26831         
           5.00                     27118                    1.25266         
           5.10                     29615                    1.19600         
           5.20                     29299                    1.20184         
           5.30                     28534                    1.21832         
           5.40                     28255                    1.22083         
           5.50                     29532                    1.19172         
           5.60                     28447                    1.21746         
           5.70                     28350                    1.22107         
           5.80                     27719                    1.24168         
           5.90                     28127                    1.23538         
           6.00                     27921                    1.24212         
           6.10                     28585                    1.22732         
           6.20                     28312                    1.23888         
           6.30                     27604                    1.26073         
           6.40                     27534                    1.26751         
           6.50                     28281                    1.24588         
           6.60                     29660                    1.21247         
           6.70                     28433                    1.24217         
           6.80                     28182                    1.24778         
           6.90                     28924                    1.23077         
           7.00                     27455                    1.26966         
           7.10                     28749                    1.24018         
           7.20                     28502                    1.24994         
           7.30                     30274                    1.20822         
           7.40                     29204                    1.22880         
           7.50                     29586                    1.22006         
           7.60                     30296                    1.20280         
           7.70                     30637                    1.19718         
           7.80                     30782                    1.19480         
           7.90                     30809                    1.19568         
           8.00                     31858                    1.17392         
           8.10                     31530                    1.18009         
           8.20                     31862                    1.16984         
           8.30                     31582                    1.17421         
           8.40                     32026                    1.16757         
           8.50                     31424                    1.17928         
           8.60                     30659                    1.19354         
           8.70                     31187                    1.18365         
           8.80                     32585                    1.16048         
           8.90                     31293                    1.18381         
           9.00                     31441                    1.18039         
           9.10                     30950                    1.18927         
           9.20                     31279                    1.18173         
           9.30                     32073                    1.16651         
           9.40                     32806                    1.15257         
           9.50                     32815                    1.15414         
           9.60                     33168                    1.14432         
           9.70                     33775                    1.13013         
           9.80                     34654                    1.11171         
           9.90                     34821                    1.10625         
          10.00                     34677                    1.10570         
          10.10                     33626                    1.11760         
          10.20                     34891                    1.09337         
          10.30                     33699                    1.10893         
          10.40                     34961                    1.08487         
          10.50                     33808                    1.09807         
          10.60                     33250                    1.10257         
          10.70                     34417                    1.07987         
          10.80                     32789                    1.09734         
          10.90                     36517                    1.03899         
          11.00                     35250                    1.05591         
          11.10                     32540                    1.09634         
          11.20                     34199                    1.06701         
          11.30                     34969                    1.05249         
          11.40                     37854                    1.01194         
          11.50                     35628                    1.03643         
          11.60                     36182                    1.02693         
          11.70                     36089                    1.02468         
          11.80                     34724                    1.04323         
          11.90                     35330                    1.03541         
          12.00                     35656                    1.03258         
          12.10                     34373                    1.04532         
          12.20                     35477                    1.02877         
          12.30                     36491                    1.01270         
          12.40                     37975                    0.99178         
          12.50                     35512                    1.02190         
          12.60                     37280                    0.99804         
          12.70                     36956                    1.00106         
          12.80                     36073                    1.00755         
          12.90                     33657                    1.03202         
          13.00                     37594                    0.98669         
          13.10                     39161                    0.96494         
          13.20                     35634                    1.00177         
          13.30                     37237                    0.98128         
          13.40                     34503                    1.00947         
          13.50                     35223                    0.99624         
          13.60                     37277                    0.97260         
          13.70                     36121                    0.98305         
          13.80                     39373                    0.94984         
          13.90                     37914                    0.96115         
          14.00                     36256                    0.97504         
          14.10                     36137                    0.97525         
          14.20                     36101                    0.97568         
          14.30                     37928                    0.95421         
          14.40                     37429                    0.95660         
          14.50                     35830                    0.96893         
          14.60                     35888                    0.96247         
          14.70                     36834                    0.94829         
          14.80                     39197                    0.91854         
          14.90                     36541                    0.94316         
          15.00                     32263                    0.98945         
          15.10                     37458                    0.93600         
          15.20                     37694                    0.93455         
          15.30                     38620                    0.92495         
          15.40                     35504                    0.95573         
          15.50                     36062                    0.94779         
          15.60                     35606                    0.95195         
          15.70                     35901                    0.94720         
          15.80                     36770                    0.93984         
          15.90                     35338                    0.95474         
          16.00                     31676                    0.99352         
          16.10                     34868                    0.95579         
          16.20                     40641                    0.89888         
          16.30                     37582                    0.92533         
          16.40                     34969                    0.95164         
          16.50                     34135                    0.95691         
          16.60                     36603                    0.93072         
          16.70                     34528                    0.94798         
          16.80                     36494                    0.92512         
          16.90                     36951                    0.91812         
          17.00                     33634                    0.94170         
          17.10                     32238                    0.95216         
          17.20                     33815                    0.93500         
          17.30                     34223                    0.93272         
          17.40                     33410                    0.93707         
          17.50                     37341                    0.89574         
          17.60                     34009                    0.91670         
          17.70                     35179                    0.90078         
          17.80                     37428                    0.88143         
          17.90                     36906                    0.88535         
          18.00                     38756                    0.86631         
          18.10                     39085                    0.86386         
          18.20                     36112                    0.88042         
          18.30                     39955                    0.85140         
          18.40                     41350                    0.84006         
          18.50                     37018                    0.86660         
          18.60                     39673                    0.84717         
          18.70                     34915                    0.87749         
          18.80                     37690                    0.85122         
          18.90                     37553                    0.85292         
          19.00                     36121                    0.86255         
          19.10                     36291                    0.86165         
          19.20                     39816                    0.83669         
          19.30                     37884                    0.84479         
          19.40                     35481                    0.86092         
          19.50                     32852                    0.87385         
          19.60                     37271                    0.84161         
          19.70                     36859                    0.84208         
          19.80                     39315                    0.82373         
          19.90                     38064                    0.82741         
          20.00                     31783                    0.86831         
          20.10                     32698                    0.85116         
          20.20                     38533                    0.81760         
          20.30                     39879                    0.80593         
          20.40                     41641                    0.79679         
          20.50                     40255                    0.80382         
          20.60                     38777                    0.81446         
          20.70                     40637                    0.79995         
          20.80                     42753                    0.78817         
          20.90                     37896                    0.80933         
          21.00                     39198                    0.80089         
          21.10                     41364                    0.78835         
          21.20                     36045                    0.81716         
          21.30                     38436                    0.79874         
          21.40                     37659                    0.80086         
          21.50                     43575                    0.76903         
          21.60                     40073                    0.78282         
          21.70                     43198                    0.76478         
          21.80                     38596                    0.78241         
          21.90                     42145                    0.76543         
          22.00                     42191                    0.76294         
          22.10                     41120                    0.76551         
          22.20                     37620                    0.77693         
          22.30                     31036                    0.80247         
          22.40                     43803                    0.74525         
          22.50                     39842                    0.75566         
          22.60                     39562                    0.75413         
          22.70                     38687                    0.75284         
          22.80                     40004                    0.74758         
          22.90                     40647                    0.74056         
          23.00                     43843                    0.72604         
          23.10                     43117                    0.72871         
          23.20                     39756                    0.73701         
          23.30                     40935                    0.72838         
          23.40                     40062                    0.72978         
          23.50                     42586                    0.72396         
          23.60                     44399                    0.71446         
          23.70                     38241                    0.72865         
          23.80                     39810                    0.72280         
          23.90                     43022                    0.71210         
          24.00                     41258                    0.71298         
          24.10                     44673                    0.70117         
