           tauB                     NinLC                      phiL          
           0.00                     13345                    1.39868         
           0.10                     14009                    1.41721         
           0.20                     14535                    1.43029         
           0.30                     15367                    1.41844         
           0.40                     15940                    1.40954         
           0.50                     15953                    1.42402         
           0.60                     17692                    1.34808         
           0.70                     16877                    1.38976         
           0.80                     17925                    1.35681         
           0.90                     18004                    1.36672         
           1.00                     17652                    1.39617         
           1.10                     18465                    1.36851         
           1.20                     18031                    1.39579         
           1.30                     19275                    1.34645         
           1.40                     19235                    1.35425         
           1.50                     18928                    1.37764         
           1.60                     19587                    1.36112         
           1.70                     19324                    1.38401         
           1.80                     19965                    1.36655         
           1.90                     20535                    1.35264         
           2.00                     20643                    1.35502         
           2.10                     21325                    1.33455         
           2.20                     21247                    1.34168         
           2.30                     20930                    1.35834         
           2.40                     21490                    1.34249         
           2.50                     21954                    1.33280         
           2.60                     21464                    1.35545         
           2.70                     22528                    1.32016         
           2.80                     23482                    1.29703         
           2.90                     23222                    1.31027         
           3.00                     22599                    1.33474         
           3.10                     24324                    1.28205         
           3.20                     24597                    1.27747         
           3.30                     25243                    1.26051         
           3.40                     23597                    1.31104         
           3.50                     23329                    1.32349         
           3.60                     25360                    1.26709         
           3.70                     24224                    1.30139         
           3.80                     25780                    1.25835         
           3.90                     24837                    1.28410         
           4.00                     25856                    1.25331         
           4.10                     26423                    1.23902         
           4.20                     26431                    1.24150         
           4.30                     25699                    1.26238         
           4.40                     26445                    1.24592         
           4.50                     27393                    1.22146         
           4.60                     27357                    1.22055         
           4.70                     26159                    1.25171         
           4.80                     27221                    1.22644         
           4.90                     26734                    1.24195         
           5.00                     25927                    1.26900         
           5.10                     28748                    1.20360         
           5.20                     27255                    1.23903         
           5.30                     27730                    1.22850         
           5.40                     27465                    1.23423         
           5.50                     27720                    1.22378         
           5.60                     27603                    1.22697         
           5.70                     27454                    1.22897         
           5.80                     29026                    1.19442         
           5.90                     27509                    1.23108         
           6.00                     29219                    1.19508         
           6.10                     28320                    1.21535         
           6.20                     29373                    1.19357         
           6.30                     28104                    1.22075         
           6.40                     29087                    1.19820         
           6.50                     29209                    1.19220         
           6.60                     29097                    1.18962         
           6.70                     28855                    1.19093         
           6.80                     28485                    1.19888         
           6.90                     29356                    1.18386         
