           tauB                     NinLC                      phiL          
          19.80                     27617                    1.42728         
          19.90                     28733                    1.39297         
          20.00                     27192                    1.43718         
          20.10                     28530                    1.39146         
          20.20                     28574                    1.38676         
          20.30                     29792                    1.34632         
          20.40                     28380                    1.38074         
          20.50                     29823                    1.34743         
          20.60                     30039                    1.34534         
          20.70                     28923                    1.36967         
          20.80                     29387                    1.35703         
          20.90                     27060                    1.42153         
          21.00                     29369                    1.35867         
          21.10                     25097                    1.48728         
          21.20                     27937                    1.39134         
          21.30                     30590                    1.31811         
          21.40                     27617                    1.39084         
          21.50                     28353                    1.36897         
          21.60                     31971                    1.27995         
          21.70                     32005                    1.27580         
          21.80                     33121                    1.25046         
          21.90                     29101                    1.34246         
          22.00                     27350                    1.39354         
          22.10                     26985                    1.41002         
          22.20                     24367                    1.49250         
          22.30                     27365                    1.39042         
          22.40                     28091                    1.36733         
          22.50                     25213                    1.44743         
          22.60                     27048                    1.38884         
          22.70                     24969                    1.45921         
          22.80                     29315                    1.33102         
          22.90                     25381                    1.44431         
          23.00                     27425                    1.37737         
          23.10                     26417                    1.40612         
          23.20                     25161                    1.44346         
          23.30                     23705                    1.50032         
          23.40                     25482                    1.43815         
          23.50                     25487                    1.43763         
          23.60                     28360                    1.35039         
          23.70                     26786                    1.39096         
          23.80                     26386                    1.40514         
          23.90                     26839                    1.39295         
          24.00                     24988                    1.46104         
          24.10                     24859                    1.46674         
          24.20                     27310                    1.38746         
          24.30                     23937                    1.49654         
          24.40                     28647                    1.34832         
          24.50                     26190                    1.42225         
          24.60                     22987                    1.53587         
          24.70                     26055                    1.42697         
          24.80                     27346                    1.38864         
          24.90                     26550                    1.41178         
          25.00                     27055                    1.39667         
          25.10                     26981                    1.39768         
          25.20                     26686                    1.40458         
          25.30                     26609                    1.40583         
          25.40                     27798                    1.36668         
          25.50                     25669                    1.43481         
          25.60                     27158                    1.38959         
          25.70                     24318                    1.47603         
          25.80                     27042                    1.38084         
          25.90                     26723                    1.37775         
          26.00                     28874                    1.30864         
          26.10                     29280                    1.29473         
          26.20                     27208                    1.34270         
          26.30                     27482                    1.32746         
          26.40                     27461                    1.32041         
          26.50                     22383                    1.47817         
          26.60                     26807                    1.32831         
          26.70                     27242                    1.31225         
          26.80                     25287                    1.36656         
          26.90                     24157                    1.40108         
          27.00                     31577                    1.21002         
          27.10                     23346                    1.42550         
          27.20                     23579                    1.42115         
          27.30                     23465                    1.43822         
          27.40                     25529                    1.37625         
          27.50                     26593                    1.33742         
          27.60                     23470                    1.43919         
          27.70                     24434                    1.40172         
          27.80                     26296                    1.34515         
          27.90                     26195                    1.35115         
          28.00                     26850                    1.33057         
          28.10                     23465                    1.43522         
          28.20                     27774                    1.30224         
          28.30                     25333                    1.37050         
          28.40                     25368                    1.36780         
          28.50                     24516                    1.39282         
          28.60                     23883                    1.41577         
          28.70                     21434                    1.50440         
          28.80                     23148                    1.43741         
          28.90                     24971                    1.37281         
          29.00                     24673                    1.38049         
          29.10                     22415                    1.45633         
          29.20                     26628                    1.31763         
          29.30                     23427                    1.41093         
          29.40                     21661                    1.47420         
          29.50                     22544                    1.43603         
          29.60                     22306                    1.44791         
          29.70                     23734                    1.40051         
          29.80                     24004                    1.39902         
          29.90                     23293                    1.42571         
          30.00                     22779                    1.44409         
          30.10                     26817                    1.31102         
          30.20                     25281                    1.35307         
          30.30                     25496                    1.34458         
          30.40                     23699                    1.40490         
          30.50                     21772                    1.46921         
          30.60                     25194                    1.34741         
          30.70                     23998                    1.38860         
          30.80                     23924                    1.38812         
          30.90                     23341                    1.39948         
          31.00                     22043                    1.44274         
          31.10                     23771                    1.37883         
          31.20                     24573                    1.35287         
          31.30                     23366                    1.39115         
          31.40                     23318                    1.39326         
          31.50                     27034                    1.27642         
          31.60                     23950                    1.36126         
          31.70                     24822                    1.33114         
          31.80                     24634                    1.33617         
          31.90                     24026                    1.36115         
          32.00                     23512                    1.38410         
          32.10                     22926                    1.41016         
          32.20                     24845                    1.35237         
          32.30                     26530                    1.30371         
          32.40                     23049                    1.41588         
          32.50                     24290                    1.37786         
          32.60                     23028                    1.41991         
          32.70                     25477                    1.34400         
          32.80                     24971                    1.36275         
          32.90                     22796                    1.43138         
          33.00                     24134                    1.38399         
          33.10                     25117                    1.35261         
          33.20                     22679                    1.42897         
          33.30                     25026                    1.35333         
          33.40                     24339                    1.37481         
          33.50                     24058                    1.37982         
          33.60                     22235                    1.43640         
          33.70                     22560                    1.42172         
          33.80                     24481                    1.35984         
          33.90                     27427                    1.28060         
          34.00                     27877                    1.27393         
          34.10                     24700                    1.36381         
          34.20                     24567                    1.37090         
          34.30                     24990                    1.35944         
          34.40                     25893                    1.33200         
          34.50                     23708                    1.39589         
          34.60                     24237                    1.37228         
          34.70                     26496                    1.30477         
          34.80                     24245                    1.37146         
          34.90                     24114                    1.37562         
          35.00                     25220                    1.34268         
          35.10                     24530                    1.35998         
          35.20                     25296                    1.33657         
          35.30                     22317                    1.43560         
          35.40                     24982                    1.34510         
          35.50                     26904                    1.28354         
          35.60                     25291                    1.32073         
          35.70                     25310                    1.31953         
          35.80                     24433                    1.34615         
          35.90                     24677                    1.33634         
          36.00                     26135                    1.29470         
          36.10                     22361                    1.41568         
          36.20                     22885                    1.39810         
          36.30                     29166                    1.22254         
          36.40                     24157                    1.35257         
          36.50                     23286                    1.38277         
          36.60                     25111                    1.32323         
          36.70                     23900                    1.35481         
          36.80                     26192                    1.29417         
          36.90                     25041                    1.32251         
          37.00                     25854                    1.29902         
          37.10                     21110                    1.45080         
          37.20                     23270                    1.36311         
          37.30                     24786                    1.30958         
          37.40                     22013                    1.39916         
          37.50                     23437                    1.35014         
          37.60                     25771                    1.27309         
          37.70                     22229                    1.37634         
          37.80                     22272                    1.36900         
          37.90                     22046                    1.37088         
          38.00                     22953                    1.33632         
          38.10                     22995                    1.33666         
          38.20                     24439                    1.30157         
          38.30                     19856                    1.46693         
          38.40                     21291                    1.41275         
          38.50                     25925                    1.27146         
          38.60                     21304                    1.41865         
          38.70                     20319                    1.46443         
          38.80                     19287                    1.51964         
          38.90                     22358                    1.38757         
          39.00                     23529                    1.34587         
          39.10                     20681                    1.45320         
          39.20                     21301                    1.43081         
          39.30                     21397                    1.42593         
          39.40                     24341                    1.32332         
          39.50                     23001                    1.36440         
          39.60                     22691                    1.36989         
          39.70                     21589                    1.40674         
          39.80                     21312                    1.41359         
          39.90                     21585                    1.39740         
          40.00                     24120                    1.31336         
          40.10                     22394                    1.36746         
          40.20                     21094                    1.42156         
          40.30                     22812                    1.36300         
          40.40                     22690                    1.36992         
          40.50                     22897                    1.36826         
          40.60                     22946                    1.36588         
          40.70                     22455                    1.37891         
          40.80                     22572                    1.37154         
          40.90                     22316                    1.37712         
          41.00                     22492                    1.37103         
          41.10                     22359                    1.37447         
          41.20                     22667                    1.36527         
          41.30                     23190                    1.34849         
          41.40                     24596                    1.30725         
          41.50                     22947                    1.36484         
          41.60                     21801                    1.40958         
          41.70                     22870                    1.37293         
          41.80                     21896                    1.41266         
          41.90                     21436                    1.43407         
          42.00                     24869                    1.31121         
          42.10                     23329                    1.36009         
          42.20                     21368                    1.43053         
          42.30                     22723                    1.37761         
          42.40                     22996                    1.37127         
          42.50                     22832                    1.37677         
          42.60                     23093                    1.37102         
          42.70                     21768                    1.42554         
          42.80                     22948                    1.38798         
          42.90                     21399                    1.44881         
          43.00                     22659                    1.39868         
          43.10                     23329                    1.36682         
          43.20                     23181                    1.36708         
          43.30                     23735                    1.34953         
          43.40                     24885                    1.31063         
          43.50                     23025                    1.36389         
          43.60                     23138                    1.35997         
          43.70                     22429                    1.38333         
          43.80                     22982                    1.36538         
          43.90                     22549                    1.38135         
          44.00                     23088                    1.36313         
          44.10                     21995                    1.40639         
          44.20                     22644                    1.38424         
          44.30                     22930                    1.37630         
          44.40                     22395                    1.39361         
          44.50                     22399                    1.39333         
          44.60                     23909                    1.34504         
          44.70                     22079                    1.40466         
          44.80                     22226                    1.40146         
          44.90                     23660                    1.35206         
          45.00                     24484                    1.33006         
          45.10                     22515                    1.39976         
          45.20                     22254                    1.40602         
          45.30                     23309                    1.36586         
          45.40                     22478                    1.39733         
          45.50                     24367                    1.33017         
          45.60                     24706                    1.31854         
          45.70                     22596                    1.39071         
          45.80                     22994                    1.37424         
          45.90                     22008                    1.40970         
          46.00                     22050                    1.41025         
          46.10                     22552                    1.38510         
          46.20                     23324                    1.35417         
          46.30                     22418                    1.38581         
          46.40                     23608                    1.33882         
          46.50                     25086                    1.29739         
          46.60                     24226                    1.32664         
          46.70                     23426                    1.34710         
          46.80                     25397                    1.28313         
          46.90                     23671                    1.34009         
          47.00                     23252                    1.35434         
          47.10                     24283                    1.32749         
          47.20                     24996                    1.29998         
          47.30                     24145                    1.32291         
          47.40                     22624                    1.37124         
          47.50                     24124                    1.32594         
          47.60                     26908                    1.24771         
          47.70                     24468                    1.31487         
          47.80                     25382                    1.28579         
          47.90                     26601                    1.24532         
          48.00                     24554                    1.29920         
          48.10                     24355                    1.30248         
          48.20                     24574                    1.29691         
          48.30                     23898                    1.32068         
          48.40                     23744                    1.33041         
          48.50                     25206                    1.29619         
          48.60                     23731                    1.34442         
          48.70                     24216                    1.32644         
          48.80                     23841                    1.33023         
          48.90                     25673                    1.27493         
          49.00                     19817                    1.47571         
          49.10                     23817                    1.32494         
          49.20                     24413                    1.30773         
          49.30                     24954                    1.29453         
          49.40                     25528                    1.29336         
          49.50                     23157                    1.36247         
          49.60                     26464                    1.26783         
          49.70                     24155                    1.33646         
          49.80                     22799                    1.38229         
          49.90                     20175                    1.48364         
