           tauB                     NinLC                      phiL          
           0.00                     14241                    1.43057         
           0.10                     15214                    1.43658         
           0.20                     15552                    1.46021         
           0.30                     16178                    1.45645         
           0.40                     16335                    1.47447         
           0.50                     17245                    1.44453         
           0.60                     17452                    1.44623         
           0.70                     18792                    1.39644         
           0.80                     18792                    1.40274         
           0.90                     20850                    1.33108         
           1.00                     18809                    1.43158         
           1.10                     19144                    1.42737         
           1.20                     19690                    1.41405         
           1.30                     19683                    1.42347         
           1.40                     20253                    1.40976         
           1.50                     19589                    1.44928         
           1.60                     20425                    1.41996         
           1.70                     20476                    1.42281         
           1.80                     21093                    1.40143         
           1.90                     21280                    1.39831         
           2.00                     21300                    1.40166         
           2.10                     22640                    1.35415         
           2.20                     21879                    1.38653         
           2.30                     23537                    1.33294         
           2.40                     23675                    1.33680         
           2.50                     23991                    1.33698         
           2.60                     23344                    1.36462         
           2.70                     22748                    1.39143         
           2.80                     24402                    1.33951         
           2.90                     25084                    1.32049         
           3.00                     23851                    1.36198         
           3.10                     24076                    1.36065         
           3.20                     25105                    1.33030         
           3.30                     26124                    1.30086         
           3.40                     25571                    1.31270         
           3.50                     25708                    1.30892         
           3.60                     26649                    1.28442         
           3.70                     26689                    1.28550         
           3.80                     25829                    1.30911         
           3.90                     27146                    1.27495         
           4.00                     26589                    1.29266         
           4.10                     28677                    1.24272         
           4.20                     27196                    1.28397         
           4.30                     25807                    1.32268         
           4.40                     27498                    1.27831         
           4.50                     27780                    1.26977         
           4.60                     26614                    1.30347         
           4.70                     27032                    1.28919         
           4.80                     27861                    1.26826         
           4.90                     28121                    1.26411         
           5.00                     29399                    1.23213         
           5.10                     28597                    1.25132         
           5.20                     28646                    1.25224         
           5.30                     29299                    1.23971         
           5.40                     29325                    1.24019         
           5.50                     30744                    1.20430         
           5.60                     29343                    1.23370         
           5.70                     29845                    1.22317         
           5.80                     28876                    1.24485         
           5.90                     31724                    1.18540         
           6.00                     30204                    1.21736         
           6.10                     30553                    1.21115         
           6.20                     30195                    1.21665         
           6.30                     30655                    1.20783         
           6.40                     30494                    1.21251         
           6.50                     28531                    1.25750         
           6.60                     29488                    1.23804         
           6.70                     32046                    1.18578         
           6.80                     29847                    1.23289         
