           tauB                     NinLC                      phiL          
           0.00                     14951                    1.46018         
           0.10                     15553                    1.49167         
           0.20                     16389                    1.48762         
           0.30                     16929                    1.49209         
           0.40                     17191                    1.50523         
           0.50                     17986                    1.48509         
           0.60                     18459                    1.47990         
           0.70                     18948                    1.47153         
           0.80                     19268                    1.46968         
           0.90                     19555                    1.47198         
           1.00                     19733                    1.47906         
           1.10                     20486                    1.46028         
           1.20                     20929                    1.44903         
           1.30                     20181                    1.49795         
           1.40                     19973                    1.52406         
           1.50                     20954                    1.48595         
           1.60                     21184                    1.48273         
           1.70                     21218                    1.48719         
           1.80                     21709                    1.47471         
           1.90                     23419                    1.41491         
           2.00                     22747                    1.44749         
           2.10                     23861                    1.41065         
           2.20                     22758                    1.46003         
           2.30                     23421                    1.43798         
           2.40                     23014                    1.45688         
           2.50                     23160                    1.45717         
           2.60                     24217                    1.42467         
           2.70                     24184                    1.42671         
           2.80                     23562                    1.45476         
           2.90                     25725                    1.37989         
           3.00                     24584                    1.42345         
           3.10                     24724                    1.42834         
           3.20                     25512                    1.40785         
           3.30                     24872                    1.43744         
           3.40                     24404                    1.46109         
           3.50                     25027                    1.44723         
           3.60                     25374                    1.43777         
           3.70                     26466                    1.40308         
           3.80                     26180                    1.41616         
           3.90                     25643                    1.43943         
           4.00                     25909                    1.43824         
           4.10                     26346                    1.42830         
           4.20                     25088                    1.47436         
           4.30                     25532                    1.46143         
           4.40                     25362                    1.47097         
           4.50                     25978                    1.45557         
           4.60                     27158                    1.42391         
           4.70                     27230                    1.42490         
           4.80                     24927                    1.50685         
           4.90                     26902                    1.44240         
           5.00                     28363                    1.40025         
           5.10                     27764                    1.41857         
           5.20                     27470                    1.42959         
           5.30                     29198                    1.38152         
           5.40                     29923                    1.36567         
           5.50                     27813                    1.42663         
           5.60                     28831                    1.39969         
           5.70                     27624                    1.43739         
           5.80                     27498                    1.43910         
           5.90                     27229                    1.45146         
           6.00                     27854                    1.43546         
           6.10                     27530                    1.44834         
           6.20                     28161                    1.43031         
           6.30                     26224                    1.49824         
           6.40                     28059                    1.43739         
           6.50                     28903                    1.40844         
           6.60                     31045                    1.34716         
           6.70                     29947                    1.37454         
           6.80                     28281                    1.42694         
           6.90                     31402                    1.34079         
           7.00                     28764                    1.41030         
           7.10                     29559                    1.38518         
           7.20                     31754                    1.32731         
           7.30                     31701                    1.32681         
           7.40                     29476                    1.38419         
           7.50                     31987                    1.32160         
           7.60                     31348                    1.33863         
           7.70                     32419                    1.31562         
           7.80                     31602                    1.33669         
           7.90                     31926                    1.32659         
           8.00                     29285                    1.39615         
           8.10                     29694                    1.38528         
           8.20                     30215                    1.36834         
           8.30                     29656                    1.37923         
           8.40                     30924                    1.34522         
           8.50                     32464                    1.30750         
           8.60                     30212                    1.35810         
           8.70                     31843                    1.31620         
           8.80                     30284                    1.35541         
           8.90                     29547                    1.37821         
           9.00                     29763                    1.37677         
           9.10                     29331                    1.38666         
           9.20                     29742                    1.37715         
           9.30                     29080                    1.39640         
           9.40                     31158                    1.34107         
           9.50                     27678                    1.44072         
           9.60                     30459                    1.36318         
           9.70                     29716                    1.38283         
           9.80                     30946                    1.35069         
           9.90                     31330                    1.34133         
          10.00                     27943                    1.43871         
          10.10                     29271                    1.40113         
          10.20                     29782                    1.38292         
          10.30                     30191                    1.37077         
          10.40                     28110                    1.43058         
          10.50                     29687                    1.38846         
          10.60                     29783                    1.38574         
          10.70                     29348                    1.39594         
          10.80                     29312                    1.39240         
          10.90                     32372                    1.31118         
          11.00                     31765                    1.32549         
          11.10                     31417                    1.33476         
          11.20                     31754                    1.32480         
          11.30                     31780                    1.31888         
          11.40                     30795                    1.34260         
          11.50                     31596                    1.32016         
          11.60                     29160                    1.37974         
          11.70                     30670                    1.33909         
          11.80                     31045                    1.32691         
          11.90                     30056                    1.35120         
          12.00                     29977                    1.35114         
          12.10                     30007                    1.35509         
          12.20                     29725                    1.35713         
          12.30                     26883                    1.44187         
          12.40                     28407                    1.39879         
          12.50                     29848                    1.35981         
          12.60                     28879                    1.38001         
          12.70                     28986                    1.37411         
          12.80                     32892                    1.27829         
          12.90                     27576                    1.40727         
          13.00                     31472                    1.30266         
          13.10                     31518                    1.30015         
          13.20                     33534                    1.25371         
          13.30                     31683                    1.28931         
          13.40                     28803                    1.35572         
          13.50                     27217                    1.39806         
          13.60                     31893                    1.27380         
          13.70                     31088                    1.29038         
          13.80                     31623                    1.27945         
          13.90                     30483                    1.30543         
          14.00                     28946                    1.34136         
          14.10                     28121                    1.35860         
          14.20                     29319                    1.32439         
          14.30                     26227                    1.41136         
          14.40                     28919                    1.33026         
          14.50                     29781                    1.30615         
          14.60                     30096                    1.29281         
          14.70                     28103                    1.33828         
          14.80                     29985                    1.28597         
          14.90                     30126                    1.27886         
          15.00                     30018                    1.27953         
          15.10                     32176                    1.23393         
          15.20                     31256                    1.25148         
          15.30                     33243                    1.21237         
          15.40                     31885                    1.23779         
          15.50                     27601                    1.33612         
          15.60                     31199                    1.24631         
          15.70                     27905                    1.32199         
          15.80                     29409                    1.28163         
          15.90                     28898                    1.29233         
          16.00                     29439                    1.27609         
          16.10                     28430                    1.30111         
          16.20                     28258                    1.30393         
