           tauB                     NinLC                      phiL          
           0.00                     15494                    1.47169         
           0.10                     15926                    1.51961         
           0.20                     16653                    1.52946         
           0.30                     17175                    1.54065         
           0.40                     17783                    1.53872         
           0.50                     18385                    1.52734         
           0.60                     19306                    1.49794         
           0.70                     19474                    1.50869         
           0.80                     19555                    1.52424         
           0.90                     20158                    1.50738         
           1.00                     20340                    1.50683         
           1.10                     20603                    1.50397         
           1.20                     20002                    1.54328         
           1.30                     20517                    1.53346         
           1.40                     21153                    1.51418         
           1.50                     21203                    1.52098         
           1.60                     22410                    1.48282         
           1.70                     21606                    1.53398         
           1.80                     22129                    1.52609         
           1.90                     22758                    1.50736         
           2.00                     21983                    1.55322         
           2.10                     22221                    1.55595         
           2.20                     22834                    1.54055         
           2.30                     22936                    1.53945         
           2.40                     23295                    1.52235         
           2.50                     23743                    1.50563         
           2.60                     24009                    1.49985         
           2.70                     23997                    1.50437         
           2.80                     24525                    1.49077         
           2.90                     26851                    1.41903         
           3.00                     25462                    1.47216         
           3.10                     24688                    1.50670         
           3.20                     25165                    1.49376         
           3.30                     24158                    1.53908         
           3.40                     24655                    1.52568         
           3.50                     24584                    1.53231         
           3.60                     25760                    1.49128         
           3.70                     25340                    1.51174         
           3.80                     25825                    1.49797         
           3.90                     26370                    1.47813         
           4.00                     25925                    1.49304         
           4.10                     27864                    1.42996         
           4.20                     26445                    1.48220         
           4.30                     26915                    1.47416         
           4.40                     27428                    1.46127         
           4.50                     27410                    1.46831         
           4.60                     28339                    1.44330         
           4.70                     27051                    1.48950         
           4.80                     27382                    1.48262         
           4.90                     27608                    1.48286         
           5.00                     27777                    1.48449         
           5.10                     28556                    1.46444         
           5.20                     26564                    1.53588         
           5.30                     27346                    1.51718         
           5.40                     28440                    1.48458         
           5.50                     27558                    1.51374         
           5.60                     28593                    1.47815         
           5.70                     28480                    1.48143         
           5.80                     28455                    1.48676         
           5.90                     29313                    1.46180         
           6.00                     30741                    1.42123         
           6.10                     29855                    1.44499         
           6.20                     29094                    1.46970         
           6.30                     28830                    1.47964         
           6.40                     31073                    1.41744         
           6.50                     30087                    1.44362         
           6.60                     31186                    1.40799         
           6.70                     31454                    1.39367         
           6.80                     28759                    1.47071         
           6.90                     30377                    1.42508         
           7.00                     29248                    1.45757         
           7.10                     28758                    1.47194         
           7.20                     29914                    1.43777         
           7.30                     30071                    1.43499         
           7.40                     31150                    1.39991         
           7.50                     30045                    1.42893         
           7.60                     31539                    1.38867         
           7.70                     32011                    1.37676         
           7.80                     30447                    1.41822         
           7.90                     31488                    1.39161         
           8.00                     28936                    1.46700         
           8.10                     29116                    1.46590         
           8.20                     26744                    1.55382         
           8.30                     28284                    1.50515         
           8.40                     26682                    1.56408         
           8.50                     28186                    1.51325         
           8.60                     28287                    1.51231         
           8.70                     27607                    1.54081         
           8.80                     28795                    1.50726         
           8.90                     29159                    1.49843         
           9.00                     28387                    1.52163         
           9.10                     28873                    1.50003         
           9.20                     29057                    1.49347         
           9.30                     29803                    1.47159         
           9.40                     29050                    1.49460         
           9.50                     31066                    1.43795         
           9.60                     28555                    1.51829         
           9.70                     27715                    1.54843         
           9.80                     29015                    1.50503         
           9.90                     27754                    1.54864         
          10.00                     27980                    1.54143         
          10.10                     30941                    1.44595         
          10.20                     30335                    1.46099         
          10.30                     28388                    1.52253         
          10.40                     29240                    1.49721         
          10.50                     29342                    1.49919         
          10.60                     30222                    1.47798         
          10.70                     30110                    1.48288         
          10.80                     31540                    1.44422         
          10.90                     30533                    1.47522         
          11.00                     30939                    1.46362         
          11.10                     31163                    1.46012         
          11.20                     28722                    1.53656         
          11.30                     29268                    1.52154         
          11.40                     29541                    1.51357         
          11.50                     30111                    1.49845         
          11.60                     30784                    1.48062         
          11.70                     29807                    1.51237         
          11.80                     29478                    1.52070         
          11.90                     30916                    1.47509         
          12.00                     31000                    1.47190         
          12.10                     31292                    1.46228         
          12.20                     32043                    1.44253         
          12.30                     31313                    1.46491         
          12.40                     30942                    1.47544         
          12.50                     29589                    1.51670         
          12.60                     31250                    1.46205         
          12.70                     30992                    1.46775         
          12.80                     30262                    1.49092         
          12.90                     30562                    1.48380         
          13.00                     30552                    1.48643         
          13.10                     31478                    1.45665         
          13.20                     30663                    1.47755         
          13.30                     29178                    1.51968         
          13.40                     30119                    1.49049         
          13.50                     30206                    1.49102         
          13.60                     31456                    1.45866         
          13.70                     31148                    1.46859         
          13.80                     28695                    1.54382         
          13.90                     32122                    1.44091         
          14.00                     30116                    1.49193         
          14.10                     28957                    1.52412         
          14.20                     30773                    1.46785         
          14.30                     30136                    1.48380         
          14.40                     28126                    1.55258         
          14.50                     29442                    1.51068         
          14.60                     28549                    1.54485         
          14.70                     28655                    1.53802         
          14.80                     31104                    1.46080         
          14.90                     30440                    1.47748         
          15.00                     31011                    1.45820         
          15.10                     30666                    1.46995         
          15.20                     29550                    1.50504         
          15.30                     29062                    1.51977         
          15.40                     29136                    1.51416         
          15.50                     30577                    1.46810         
          15.60                     32033                    1.42500         
          15.70                     30730                    1.45910         
          15.80                     30290                    1.46715         
          15.90                     29652                    1.48559         
          16.00                     30056                    1.47407         
          16.10                     30393                    1.46557         
          16.20                     29026                    1.50767         
          16.30                     29046                    1.50490         
          16.40                     30014                    1.47142         
