           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
        87.724104                   121689                188193.259230              2807.714252               423408721.5                 -54015.1        
        88.848772                   122988                189750.100830              3699.859735               425417331.4                -190777.4        
        89.973440                   124212                191116.789821              4147.094759               426725709.0                -120119.3        
        91.098108                   125200                191979.825266              4545.752325               427535715.9                -115064.0        
        92.222776                   126583                193391.391476              4559.364554               429856090.7                 -73968.9        
        93.347444                   127343                193658.945202              5856.798024               429096622.5                 -63015.9        
        94.472112                   128110                193818.090310              6472.023022               427998338.2                 -69834.9        
        95.596780                   128641                193466.393617              8487.389831               425385215.0                -135211.8        
        96.721448                   129205                192993.635285              9764.133083               421772214.5                -153399.9        
        97.846116                   129261                191679.015840              10375.727635              416351263.6                -130208.6        
        98.970784                   128700                189555.927798              11678.438995              409028145.4                -195834.0        
        100.095452                  127944                187092.818856              12663.254377              401042899.4                -245375.3        
        101.220120                  126755                184058.329833              13130.161096              392383828.7                -293205.3        
        102.344788                  125224                180673.432312              13854.003341              383172509.6                -335442.2        
        103.469456                  123232                176582.529050              14609.235975              372230034.2                -429567.1        
        104.594124                  121004                172240.178079              14857.740054              361125645.7                -394310.0        
        105.718792                  118468                167697.777045              15262.272640              349731024.9                -402787.4        
        106.843460                  115471                162622.504896              14957.353650              337717894.4                -446285.4        
        107.968128                  112300                157309.962888              15331.866199              324794952.6                -470511.6        
        109.092796                  109078                151949.323281              14950.216900              312445158.0                -515193.9        
        110.217464                  105608                146404.349349              15158.594965              300479237.3                -538388.8        
        111.342132                  101834                140664.883285              15397.578555              287690023.4                -626327.3        
        112.466800                  98305                 135059.290665              15170.202424              274979887.9                -602475.5        
        113.591468                  94403                 129085.867343              15141.135797              261418611.9                -691925.8        
        114.716136                  90609                 123030.051401              15097.927964              248141934.5                -824354.5        
        115.840804                  87151                 117400.040948              15401.320334              234879554.3                -886694.6        
        116.965472                  83344                 111302.823415              15761.024152              220920266.8                -935856.8        
        118.090140                  79424                 105008.345787              15839.208916              206443451.2                -987262.9        
        119.214808                  75189                  98622.650307              15548.539952              192458890.9                -994551.7        
        120.339476                  71067                  92282.338582              15101.608971              178309041.9                -1032369.3       
        121.464144                  66514                  85600.805149              14900.995597              164224851.3                -1100942.7       
        122.588812                  62064                  79090.982218              14347.205777              150185914.2                -1095212.9       
        123.713480                  57691                  72818.177755              13654.331450              137216324.7                -1148875.3       
        124.838148                  53381                  66413.496789              13547.974237              123876114.9                -1183411.8       
        125.962816                  49385                  60422.246080              12949.582039              111230729.8                -1177575.7       
        127.087484                  45586                  54646.877593              13308.436415               98941440.6                -1297110.1       
        128.212152                  41330                  48432.728848              12655.138319               85666726.2                -1311084.9       
        129.336820                  37171                  42536.981284              11618.137375               73652468.4                -1184365.9       
        130.461488                  33133                  37050.693799              11255.468637               62823761.1                -1170763.0       
        131.586156                  28666                  31208.286697              10312.057260               51520562.2                -1084207.0       
        132.710824                  24702                  26201.324257              9304.287316                41834951.9                -997208.2        
        133.835492                  20685                  21422.561150              8141.284834                33147211.8                -910371.8        
        134.960160                  16854                  16992.521677              6477.948884                25552090.5                -728649.4        
        136.084828                  13568                  13375.772303              5423.127076                19594482.0                -620774.3        
        137.209496                  10633                  10269.723006              4350.374451                14738818.7                -525264.8        
        138.334164                   8064                  7610.059178               3281.499046                10582405.0                -400003.8        
        139.458832                   6178                  5682.216282               2601.508724                7511638.8                 -328849.6        
        140.583500                   4552                  4066.371524               1923.675870                5102807.5                 -237609.1        
        141.708168                   3166                  2754.713106               1267.548776                3331886.6                 -152313.8        
        142.832836                   2192                  1888.090866                854.423902                2283071.6                 -115356.9        
        143.957504                   1455                  1238.303379                579.272250                1467825.8                  -77014.4        
        145.082172                   1003                   835.143473                424.191524                 925835.5                  -52600.7        
        146.206840                   616                    507.406955                230.698694                 570571.0                  -24973.4        
        147.331508                   384                    314.655690                148.938455                 333867.5                  -18562.5        
        148.456176                   261                    204.851589                96.794056                  195313.8                  -7984.6         
        149.580844                   164                    120.550775                59.495796                  102238.4                  -5566.2         
        150.705512                    88                    62.031616                 31.549590                  41830.8                   -2783.6         
        151.830180                    53                    33.514830                  8.450319                  18514.1                    574.2          
        152.954848                    28                    16.291613                  4.442171                   7676.8                    -915.1         
        154.079516                    13                     6.989377                  4.509559                   2153.9                    -934.7         
        155.204184                    1                      0.502452                 -0.274619                   178.6                     -169.7         
        156.328852                    0                      0.000000                  0.000000                    0.0                       0.0           
        157.453520                    0                      0.000000                  0.000000                    0.0                       0.0           
        158.578188                    0                      0.000000                  0.000000                    0.0                       0.0           
        159.702856                    0                      0.000000                  0.000000                    0.0                       0.0           
        160.827524                    0                      0.000000                  0.000000                    0.0                       0.0           
        161.952192                    0                      0.000000                  0.000000                    0.0                       0.0           
        163.076860                    0                      0.000000                  0.000000                    0.0                       0.0           
        164.201528                    0                      0.000000                  0.000000                    0.0                       0.0           
        165.326196                    0                      0.000000                  0.000000                    0.0                       0.0           
        166.450864                    0                      0.000000                  0.000000                    0.0                       0.0           
        167.575532                    0                      0.000000                  0.000000                    0.0                       0.0           
        168.700200                    0                      0.000000                  0.000000                    0.0                       0.0           
        169.824868                    0                      0.000000                  0.000000                    0.0                       0.0           
        170.949536                    0                      0.000000                  0.000000                    0.0                       0.0           
        172.074204                    0                      0.000000                  0.000000                    0.0                       0.0           
        173.198872                    0                      0.000000                  0.000000                    0.0                       0.0           
        174.323540                    0                      0.000000                  0.000000                    0.0                       0.0           
        175.448208                    0                      0.000000                  0.000000                    0.0                       0.0           
        176.572876                    0                      0.000000                  0.000000                    0.0                       0.0           
        177.697544                    0                      0.000000                  0.000000                    0.0                       0.0           
        178.822212                    0                      0.000000                  0.000000                    0.0                       0.0           
        179.946880                    0                      0.000000                  0.000000                    0.0                       0.0           
        181.071548                    0                      0.000000                  0.000000                    0.0                       0.0           
        182.196216                    0                      0.000000                  0.000000                    0.0                       0.0           
        183.320884                    0                      0.000000                  0.000000                    0.0                       0.0           
        184.445552                    0                      0.000000                  0.000000                    0.0                       0.0           
        185.570220                    0                      0.000000                  0.000000                    0.0                       0.0           
        186.694888                    0                      0.000000                  0.000000                    0.0                       0.0           
        187.819556                    0                      0.000000                  0.000000                    0.0                       0.0           
        188.944224                    0                      0.000000                  0.000000                    0.0                       0.0           
        190.068892                    0                      0.000000                  0.000000                    0.0                       0.0           
        191.193560                    0                      0.000000                  0.000000                    0.0                       0.0           
        192.318228                    0                      0.000000                  0.000000                    0.0                       0.0           
        193.442896                    0                      0.000000                  0.000000                    0.0                       0.0           
        194.567564                    0                      0.000000                  0.000000                    0.0                       0.0           
        195.692232                    0                      0.000000                  0.000000                    0.0                       0.0           
        196.816900                    0                      0.000000                  0.000000                    0.0                       0.0           
        197.941568                    0                      0.000000                  0.000000                    0.0                       0.0           
        199.066236                    0                      0.000000                  0.000000                    0.0                       0.0           
        200.190904                    0                      0.000000                  0.000000                    0.0                       0.0           
        201.315572                    0                      0.000000                  0.000000                    0.0                       0.0           
        202.440240                    0                      0.000000                  0.000000                    0.0                       0.0           
        203.564908                    0                      0.000000                  0.000000                    0.0                       0.0           
        204.689576                    0                      0.000000                  0.000000                    0.0                       0.0           
        205.814244                    0                      0.000000                  0.000000                    0.0                       0.0           
        206.938912                    0                      0.000000                  0.000000                    0.0                       0.0           
        208.063580                    0                      0.000000                  0.000000                    0.0                       0.0           
        209.188248                    0                      0.000000                  0.000000                    0.0                       0.0           
        210.312916                    0                      0.000000                  0.000000                    0.0                       0.0           
        211.437584                    0                      0.000000                  0.000000                    0.0                       0.0           
        212.562252                    0                      0.000000                  0.000000                    0.0                       0.0           
        213.686920                    0                      0.000000                  0.000000                    0.0                       0.0           
        214.811588                    0                      0.000000                  0.000000                    0.0                       0.0           
        215.936256                    0                      0.000000                  0.000000                    0.0                       0.0           
        217.060924                    0                      0.000000                  0.000000                    0.0                       0.0           
        218.185592                    0                      0.000000                  0.000000                    0.0                       0.0           
        219.310260                    0                      0.000000                  0.000000                    0.0                       0.0           
        220.434928                    0                      0.000000                  0.000000                    0.0                       0.0           
        221.559596                    0                      0.000000                  0.000000                    0.0                       0.0           
        222.684264                    0                      0.000000                  0.000000                    0.0                       0.0           
        223.808932                    0                      0.000000                  0.000000                    0.0                       0.0           
        224.933600                    0                      0.000000                  0.000000                    0.0                       0.0           
        226.058268                    0                      0.000000                  0.000000                    0.0                       0.0           
        227.182936                    0                      0.000000                  0.000000                    0.0                       0.0           
        228.307604                    0                      0.000000                  0.000000                    0.0                       0.0           
        229.432272                    0                      0.000000                  0.000000                    0.0                       0.0           
        230.556940                    0                      0.000000                  0.000000                    0.0                       0.0           
        231.681608                    0                      0.000000                  0.000000                    0.0                       0.0           
        232.806276                    0                      0.000000                  0.000000                    0.0                       0.0           
        233.930944                    0                      0.000000                  0.000000                    0.0                       0.0           
        235.055612                    0                      0.000000                  0.000000                    0.0                       0.0           
        236.180280                    0                      0.000000                  0.000000                    0.0                       0.0           
        237.304948                    0                      0.000000                  0.000000                    0.0                       0.0           
        238.429616                    0                      0.000000                  0.000000                    0.0                       0.0           
        239.554284                    0                      0.000000                  0.000000                    0.0                       0.0           
        240.678952                    0                      0.000000                  0.000000                    0.0                       0.0           
        241.803620                    0                      0.000000                  0.000000                    0.0                       0.0           
        242.928288                    0                      0.000000                  0.000000                    0.0                       0.0           
        244.052956                    0                      0.000000                  0.000000                    0.0                       0.0           
        245.177624                    0                      0.000000                  0.000000                    0.0                       0.0           
        246.302292                    0                      0.000000                  0.000000                    0.0                       0.0           
        247.426960                    0                      0.000000                  0.000000                    0.0                       0.0           
        248.551628                    0                      0.000000                  0.000000                    0.0                       0.0           
        249.676296                    0                      0.000000                  0.000000                    0.0                       0.0           
        250.800964                    0                      0.000000                  0.000000                    0.0                       0.0           
        251.925632                    0                      0.000000                  0.000000                    0.0                       0.0           
        253.050300                    0                      0.000000                  0.000000                    0.0                       0.0           
        254.174968                    0                      0.000000                  0.000000                    0.0                       0.0           
        255.299636                    0                      0.000000                  0.000000                    0.0                       0.0           
        256.424304                    0                      0.000000                  0.000000                    0.0                       0.0           
        257.548972                    0                      0.000000                  0.000000                    0.0                       0.0           
        258.673640                    0                      0.000000                  0.000000                    0.0                       0.0           
        259.798308                    0                      0.000000                  0.000000                    0.0                       0.0           
        260.922976                    0                      0.000000                  0.000000                    0.0                       0.0           
        262.047644                    0                      0.000000                  0.000000                    0.0                       0.0           
        263.172312                    0                      0.000000                  0.000000                    0.0                       0.0           
        264.296980                    0                      0.000000                  0.000000                    0.0                       0.0           
        265.421648                    0                      0.000000                  0.000000                    0.0                       0.0           
        266.546316                    0                      0.000000                  0.000000                    0.0                       0.0           
        267.670984                    0                      0.000000                  0.000000                    0.0                       0.0           
        268.795652                    0                      0.000000                  0.000000                    0.0                       0.0           
        269.920320                    0                      0.000000                  0.000000                    0.0                       0.0           
        271.044988                    0                      0.000000                  0.000000                    0.0                       0.0           
        272.169656                    0                      0.000000                  0.000000                    0.0                       0.0           
        273.294324                    0                      0.000000                  0.000000                    0.0                       0.0           
        274.418992                    0                      0.000000                  0.000000                    0.0                       0.0           
        275.543660                    0                      0.000000                  0.000000                    0.0                       0.0           
        276.668328                    0                      0.000000                  0.000000                    0.0                       0.0           
