 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
8008323.00    8386        0         8386      41614        0        41614      12372        0        12372       5201      0.8374     0.8374     0.0000     0.0000      0.43    6642.4711    0.0000   6642.4711  22518.6289   0.0000   22518.6289  65449.85 
8266656.00    8094        0         8094      41906        0        41906      15338        0        15338       5986      0.8392     0.8392     0.0000     0.0000      0.43    8206.0667    0.0000   8206.0667  22648.2804   0.0000   22648.2804  65449.85 
8524989.00    7908        0         7908      42092        0        42092      15622        0        15622       5261      0.8417     0.8417     0.0000     0.0000      0.43    8344.1425    0.0000   8344.1425  22737.1338   0.0000   22737.1338  65449.85 
8783322.00    7880        0         7880      42120        0        42120      15846        0        15846       4212      0.8363     0.8363     0.0000     0.0000      0.43    8458.7504    0.0000   8458.7504  22749.1195   0.0000   22749.1195  65449.85 
9041655.00    8138        0         8138      41862        0        41862      16114        0        16114       4651      0.8433     0.8433     0.0000     0.0000      0.43    8617.2880    0.0000   8617.2880  22581.2312   0.0000   22581.2312  65449.85 
9299988.00    8131        0         8131      41869        0        41869      16370        0        16370       6978      0.8335     0.8335     0.0000     0.0000      0.43    8767.6226    0.0000   8767.6226  22564.4541   0.0000   22564.4541  65449.85 
9558321.00    7671        0         7671      42329        0        42329      19290        0        19290       7054      0.8402     0.8402     0.0000     0.0000      0.43    10366.2830   0.0000   10366.2830 22782.3861   0.0000   22782.3861  65449.85 
9816654.00    7100        0         7100      42900        0        42900      19588        0        19588       8580      0.8371     0.8371     0.0000     0.0000      0.43    10515.5142   0.0000   10515.5142 23064.8740   0.0000   23064.8740  65449.85 
10074987.00    6623        0         6623      43377        0        43377      22764        0        22764      10844      0.8393     0.8393     0.0000     0.0000      0.43    12275.8060   0.0000   12275.8060 23338.3376   0.0000   23338.3376  65449.85 
10333320.00    6199        0         6199      43801        0        43801      20167        0        20167       8760      0.8386     0.8386     0.0000     0.0000      0.43    10869.3227   0.0000   10869.3227 23597.7800   0.0000   23597.7800  65449.85 
