 ALL 	  AA 	  AB 	  BB 
1.0031	0.9986	1.0009	1.0001
0.9991	1.0001	1.0003	0.9943
0.9999	1.0012	1.0004	1.0001
1.0021	1.0006	1.0004	1.0006
1.0000	1.0001	1.0007	1.0008
1.0012	0.9996	0.9986	0.9997
1.0003	1.0009	0.9993	1.0000
1.0023	1.0003	1.0005	0.9989
1.0008	1.0005	1.0001	1.0010
1.0004	1.0028	0.9997	1.0022
0.9983	1.0002	1.0119	1.0042
0.9987	1.0002	1.0081	0.9994
0.9998	1.0006	0.9967	1.0019
0.9993	1.0284	0.9993	1.0005
1.0009	0.9992	0.9955	1.0035
1.0003	0.9988	0.9840	1.0010
1.0004	1.0006	1.0007	1.0009
1.0004	1.0008	1.0003	0.9977
1.0007	0.9986	1.0041	1.0179
0.9986	0.9990	0.9997	1.0087
1.0007	1.0001	1.0100	0.9988
0.9993	0.9990	1.0014	1.0001
1.0005	1.0005	0.9989	1.0025
1.0001	1.0017	1.0024	1.0025
0.9997	1.0011	1.0009	1.0005
1.0119	0.9996	0.9991	1.0028
1.0081	0.9985	1.0001	1.0012
0.9967	0.9994	1.0006	0.9994
0.9993	1.0025	1.0016	0.9968
0.9955	0.9964	0.9998	1.0008
0.9840	1.0000	0.9984	0.9990
1.0007	0.9998	1.0035	1.0043
0.9996	1.0020	0.9995	1.0013
1.0003	0.9986	1.0038	1.0027
1.0041	1.0007	1.0019	1.0013
0.9997	1.0005	1.0010	1.0013
1.0100	1.0000	1.0021	1.0015
1.0014	1.0347	1.0007	1.0076
0.9989	1.0004	1.0015	1.0007
1.0024	0.9998	0.9991	1.0025
0.9966	1.0020	1.0002	0.9999
1.0009	1.0021	1.0005	0.9991
0.9991	1.0022	1.0001	1.0039
1.0001	1.0003	0.9995	1.0013
1.0006	1.0005	1.0005	1.0050
1.0016	1.0042	1.0002	1.0003
0.9998	0.9996	1.0024	1.0006
0.9984	1.0007	0.9994	0.9996
1.0023	1.0014	0.9996	1.0066
1.0035	1.0014	1.0004	1.0022
0.9995	1.0009	1.0009	0.9997
1.0038	1.0025	1.0022	1.0004
1.0019	1.0009	0.9971	0.9995
1.0010	0.9971	1.0005	1.0004
1.0021	1.0010	0.9993	1.0000
1.0007	1.0001	0.9989	1.0019
1.0015	0.9895	0.9994	1.0013
0.9991	0.9999	1.0003	0.9984
1.0002	0.9981	1.0000	1.0015
1.0005	1.0020	0.9986	1.0020
1.0001	1.0007	0.9990	1.0005
0.9995	0.9986	1.0024	0.9985
1.0005	1.0003	1.0049	0.9982
0.9972	0.9994	0.9981	0.9995
1.0002	0.9997	0.9981	1.0009
1.0024	1.0028	1.0004	1.0006
0.9994	0.9998	1.0047	1.0021
0.9996	0.9998	0.9984	1.0006
1.0004	1.0136	0.9993	0.9974
1.0009	0.9999	0.9995	1.0000
1.0022	1.0013	0.9993	0.9985
0.9971	1.0003	1.0038	1.0094
1.0005	0.9988	1.0010	0.9994
0.9993	0.9976	1.0016	0.9993
0.9989	0.9998	1.0005	1.0028
0.9994	0.9989	1.0026	1.0042
1.0003	1.0008	1.0006	1.0046
1.0006	0.9999	1.0000	1.0008
0.9991	0.9991	0.9992	0.9987
1.0000	1.0029	0.9998	1.0005
0.9986	0.9658	1.0012	0.9999
