PeB,PeA,xA,PS
20,40,20,0
20,40,30,0
20,40,40,0
20,40,50,0
20,40,60,0
20,40,70,0
20,40,80,0
20,40,90,0
20,40,100,0
20,50,0,0
20,50,10,0
20,50,20,0
20,50,30,0
20,50,40,0
20,50,50,0
20,50,60,0
20,50,70,0
20,50,80,0
20,50,90,1
20,50,100,1
20,60,0,0
20,60,10,0
20,60,20,0
20,60,30,0
20,60,40,0
20,60,50,0
20,60,60,0
20,60,70,1
20,60,80,1
20,60,90,1
20,60,100,1
20,70,0,0
20,70,10,0
20,70,20,0
20,70,30,0
20,70,40,0
20,70,50,0
20,70,60,1
20,70,70,1
20,70,80,1
20,70,90,1
20,70,100,1
20,80,0,0
20,80,10,0
20,80,20,0
20,80,30,0
20,80,40,0
20,80,50,1
20,80,60,1
20,80,70,1
20,80,80,1
20,80,90,1
20,80,100,1
20,90,0,0
20,90,10,0
20,90,20,0
20,90,30,0
20,90,40,1
20,90,50,1
20,90,60,1
20,90,70,1
20,90,80,1
20,90,90,1
20,90,100,1
20,100,0,0
20,100,10,0
20,100,20,0
20,100,30,0
20,100,40,1
20,100,50,1
20,100,60,1
20,100,70,1
20,100,80,1
20,100,90,1
20,100,100,1
20,110,0,0
20,110,10,0
20,110,20,0
20,110,30,1
20,110,40,1
20,110,50,1
20,110,60,1
20,110,70,1
20,110,80,1
20,110,90,1
20,110,100,1
20,120,0,0
20,120,10,0
20,120,20,0
20,120,30,1
20,120,40,1
20,120,50,1
20,120,60,1
20,120,70,1
20,120,80,1
20,120,90,1
20,120,100,1
20,130,0,0
20,130,10,0
20,130,20,0
20,130,30,1
20,130,40,1
20,130,50,1
20,130,60,1
20,130,70,1
20,130,80,1
20,130,90,1
20,130,100,1
20,140,0,0
20,140,10,0
20,140,20,0
20,140,30,1
20,140,40,1
20,140,50,1
20,140,60,1
20,140,70,1
20,140,80,1
20,140,90,1
20,140,100,1
20,150,0,0
20,150,10,0
20,150,20,0
20,150,30,1
20,150,40,1
20,150,50,1
20,150,60,1
20,150,70,1
20,150,80,1
20,150,90,1
20,150,100,1
