           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
        97.846116                   115606                152408.358337             222788.643497              147231373.7               -21681866.2       
        98.970784                   116636                153483.574629             360163.264889              148064169.4               -35446974.2       
        100.095452                  117948                154866.264837             326026.099437              149078058.4               -32456089.9       
        101.220120                  119183                156048.105970             491222.710363              149966808.1               -49440993.8       
        102.344788                  119967                156548.691428             658566.261415              149947860.2               -67047799.2       
        103.469456                  121300                157657.002961             744857.091195              150489655.9               -76651068.1       
        104.594124                  121852                157653.743831             955216.952871              149947094.3               -99430117.7       
        105.718792                  122528                157684.308585             1100345.480513             149196787.0               -115682531.1      
        106.843460                  123106                157537.760230             1280306.187194             148486069.8               -136101693.9      
        107.968128                  122773                155975.619317             1471585.878182             146068415.9               -158090637.6      
        109.092796                  123305                155541.382555             1682432.150250             144757631.5               -182610873.7      
        110.217464                  122566                153200.224761             1949083.186333             141656634.6               -213744437.1      
        111.342132                  121778                150718.252098             2194200.680236             138581219.6               -243131846.9      
        112.466800                  120887                147874.861402             2633529.638543             134951935.4               -294737421.9      
        113.591468                  118985                143672.557139             2798080.441061             129807100.8               -316313106.8      
        114.716136                  117165                139414.350500             3131671.894547             124475141.9               -357515359.2      
        115.840804                  114253                133844.493939             3316547.486377             118317142.6               -382331244.6      
        116.965472                  111027                127800.508949             3621074.226944             111439027.9               -421530492.7      
        118.090140                  106927                120877.089826             3871962.304182             104095414.4               -455072139.1      
        119.214808                  102094                113252.860716             4040033.271999              96108124.1               -479360110.5      
        120.339476                  96296                 104697.887972             4138829.266513              87685831.0               -495781034.4      
        121.464144                  89789                  95653.560649             4124460.718433              78943119.4               -498646125.9      
        122.588812                  83101                  86564.364723             4136106.442454              70359133.4               -504717038.1      
        123.713480                  76054                  77249.831794             4154146.861545              61417877.8               -511591299.1      
        124.838148                  69165                  68202.048224             4097185.923933              52595762.4               -509170412.9      
        125.962816                  61527                  58766.353419             3928453.561785              43629440.7               -492605800.4      
        127.087484                  53771                  49626.538986             3638468.131703              35302344.5               -460331423.4      
        128.212152                  45655                  40670.902708             3250488.426820              27430065.9               -414863218.0      
        129.336820                  37732                  32401.935453             2778818.301896              20828125.2               -357787308.4      
        130.461488                  29760                  24714.135118             2195662.629181              15159618.5               -285161366.0      
        131.586156                  22807                  18311.801055             1661100.650005              10723820.2               -217595053.4      
        132.710824                  16853                  13108.741682             1251615.973458              7338994.1                -165363118.9      
        133.835492                  12129                  9101.274024              938028.129906               4769944.5                -124984501.5      
        134.960160                   8293                  5998.947640              629277.262720               2920769.3                -84555245.6       
        136.084828                   5431                  3762.877524              396749.150790               1658257.2                -53746870.3       
        137.209496                   3367                  2233.774663              226957.642425                895912.0                -31005013.2       
        138.334164                   1896                  1192.660007              121074.551930                435819.9                -16672291.5       
        139.458832                   1088                   650.845080               67395.556221                207330.2                 -9355218.1       
        140.583500                   524                    297.001749               25540.208090                81336.1                  -3572849.6       
        141.708168                   227                    120.043665               9438.286957                 28115.2                  -1330724.9       
        142.832836                    89                    44.503821                1643.345788                 11241.9                  -233688.8        
        143.957504                    37                    16.960633                -430.285767                  4448.5                   61840.6         
        145.082172                    19                     7.909679                 343.853500                  1383.7                   -49663.2        
        146.206840                    5                      1.911804                 274.410329                  269.5                    -39868.1        
        147.331508                    0                      0.000000                  0.000000                    0.0                       0.0           
        148.456176                    0                      0.000000                  0.000000                    0.0                       0.0           
        149.580844                    0                      0.000000                  0.000000                    0.0                       0.0           
        150.705512                    0                      0.000000                  0.000000                    0.0                       0.0           
        151.830180                    0                      0.000000                  0.000000                    0.0                       0.0           
        152.954848                    0                      0.000000                  0.000000                    0.0                       0.0           
        154.079516                    0                      0.000000                  0.000000                    0.0                       0.0           
        155.204184                    0                      0.000000                  0.000000                    0.0                       0.0           
        156.328852                    0                      0.000000                  0.000000                    0.0                       0.0           
        157.453520                    0                      0.000000                  0.000000                    0.0                       0.0           
        158.578188                    0                      0.000000                  0.000000                    0.0                       0.0           
        159.702856                    0                      0.000000                  0.000000                    0.0                       0.0           
        160.827524                    0                      0.000000                  0.000000                    0.0                       0.0           
        161.952192                    0                      0.000000                  0.000000                    0.0                       0.0           
        163.076860                    0                      0.000000                  0.000000                    0.0                       0.0           
        164.201528                    0                      0.000000                  0.000000                    0.0                       0.0           
        165.326196                    0                      0.000000                  0.000000                    0.0                       0.0           
        166.450864                    0                      0.000000                  0.000000                    0.0                       0.0           
        167.575532                    0                      0.000000                  0.000000                    0.0                       0.0           
        168.700200                    0                      0.000000                  0.000000                    0.0                       0.0           
        169.824868                    0                      0.000000                  0.000000                    0.0                       0.0           
        170.949536                    0                      0.000000                  0.000000                    0.0                       0.0           
        172.074204                    0                      0.000000                  0.000000                    0.0                       0.0           
        173.198872                    0                      0.000000                  0.000000                    0.0                       0.0           
        174.323540                    0                      0.000000                  0.000000                    0.0                       0.0           
        175.448208                    0                      0.000000                  0.000000                    0.0                       0.0           
        176.572876                    0                      0.000000                  0.000000                    0.0                       0.0           
        177.697544                    0                      0.000000                  0.000000                    0.0                       0.0           
        178.822212                    0                      0.000000                  0.000000                    0.0                       0.0           
        179.946880                    0                      0.000000                  0.000000                    0.0                       0.0           
        181.071548                    0                      0.000000                  0.000000                    0.0                       0.0           
        182.196216                    0                      0.000000                  0.000000                    0.0                       0.0           
        183.320884                    0                      0.000000                  0.000000                    0.0                       0.0           
        184.445552                    0                      0.000000                  0.000000                    0.0                       0.0           
        185.570220                    0                      0.000000                  0.000000                    0.0                       0.0           
        186.694888                    0                      0.000000                  0.000000                    0.0                       0.0           
        187.819556                    0                      0.000000                  0.000000                    0.0                       0.0           
        188.944224                    0                      0.000000                  0.000000                    0.0                       0.0           
        190.068892                    0                      0.000000                  0.000000                    0.0                       0.0           
        191.193560                    0                      0.000000                  0.000000                    0.0                       0.0           
        192.318228                    0                      0.000000                  0.000000                    0.0                       0.0           
        193.442896                    0                      0.000000                  0.000000                    0.0                       0.0           
        194.567564                    0                      0.000000                  0.000000                    0.0                       0.0           
        195.692232                    0                      0.000000                  0.000000                    0.0                       0.0           
        196.816900                    0                      0.000000                  0.000000                    0.0                       0.0           
        197.941568                    0                      0.000000                  0.000000                    0.0                       0.0           
        199.066236                    0                      0.000000                  0.000000                    0.0                       0.0           
        200.190904                    0                      0.000000                  0.000000                    0.0                       0.0           
        201.315572                    0                      0.000000                  0.000000                    0.0                       0.0           
        202.440240                    0                      0.000000                  0.000000                    0.0                       0.0           
        203.564908                    0                      0.000000                  0.000000                    0.0                       0.0           
        204.689576                    0                      0.000000                  0.000000                    0.0                       0.0           
        205.814244                    0                      0.000000                  0.000000                    0.0                       0.0           
        206.938912                    0                      0.000000                  0.000000                    0.0                       0.0           
        208.063580                    0                      0.000000                  0.000000                    0.0                       0.0           
        209.188248                    0                      0.000000                  0.000000                    0.0                       0.0           
        210.312916                    0                      0.000000                  0.000000                    0.0                       0.0           
        211.437584                    0                      0.000000                  0.000000                    0.0                       0.0           
        212.562252                    0                      0.000000                  0.000000                    0.0                       0.0           
        213.686920                    0                      0.000000                  0.000000                    0.0                       0.0           
        214.811588                    0                      0.000000                  0.000000                    0.0                       0.0           
        215.936256                    0                      0.000000                  0.000000                    0.0                       0.0           
        217.060924                    0                      0.000000                  0.000000                    0.0                       0.0           
        218.185592                    0                      0.000000                  0.000000                    0.0                       0.0           
        219.310260                    0                      0.000000                  0.000000                    0.0                       0.0           
        220.434928                    0                      0.000000                  0.000000                    0.0                       0.0           
        221.559596                    0                      0.000000                  0.000000                    0.0                       0.0           
        222.684264                    0                      0.000000                  0.000000                    0.0                       0.0           
        223.808932                    0                      0.000000                  0.000000                    0.0                       0.0           
        224.933600                    0                      0.000000                  0.000000                    0.0                       0.0           
        226.058268                    0                      0.000000                  0.000000                    0.0                       0.0           
        227.182936                    0                      0.000000                  0.000000                    0.0                       0.0           
        228.307604                    0                      0.000000                  0.000000                    0.0                       0.0           
