 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
12800000.00   23848      23604      47452       1152       1396       2548       241        271        512        231       1.0014     1.0044     1.0006     1.0007      0.60     187.2406   210.4648   397.7054   895.6176  1084.9667  1980.5843   65449.85 
13200000.00   23296      22923      46219       1704       2077       3781       182        197        379        180       1.0019     1.0011     1.0019     1.0019      0.60     141.2564   152.9327   294.1891  1325.0667  1615.3077  2940.3744   65449.85 
13600000.00   23704      23531      47235       1296       1469       2765       144        194        338        172       1.0016     1.0032     1.0041     1.0001      0.60     111.9526   150.4999   262.4525  1008.5101  1142.3590  2150.8691   65449.85 
14000000.00   23838      23556      47394       1162       1444       2606       137        197        334        186       1.0013     1.0052     1.0027     1.0028      0.60     106.3319   153.0520   259.3839   903.8170  1123.0445  2026.8615   65449.85 
14400000.00   23536      23252      46788       1464       1748       3212       233        279        512        200       1.0004     1.0021     1.0063     1.0009      0.60     181.2823   216.9333   398.2157  1139.0510  1359.7300  2498.7811   65449.85 
14800000.00   23461      23203      46664       1539       1797       3336       178        197        375        166       1.0010     1.0044     1.0012     1.0016      0.60     138.5748   153.0152   291.5900  1197.4013  1398.0859  2595.4873   65449.85 
15200000.00   23769      23596      47365       1231       1404       2635       144        177        321        188       1.0035     1.0048     1.0017     1.0021      0.60     111.7988   137.5147   249.3135   957.9578  1091.9280  2049.8858   65449.85 
15600000.00   23703      23397      47100       1297       1603       2900       154        178        332        161       1.0041     1.0016     1.0041     0.9999      0.60     119.5569   137.8860   257.4428  1008.9070  1246.7316  2255.6386   65449.85 
16000000.00   23263      22970      46233       1737       2030       3767       128        153        281        150       1.0017     1.0003     1.0034     1.0017      0.60     99.5800    118.9383   218.5183  1351.0811  1579.3395  2930.4206   65449.85 
16400000.00   23165      22934      46099       1835       2066       3901       161        193        354        162       1.0021     1.0004     1.0003     1.0021      0.60     125.1761   150.2422   275.4184  1427.6052  1607.5586  3035.1638   65449.85 
16800000.00   23932      23722      47654       1068       1278       2346       140        165        305        167       1.0005     1.0012     1.0005     1.0035      0.60     108.7533   128.2202   236.9735   830.9239   994.9708  1825.8947   65449.85 
17200000.00   23820      23657      47477       1180       1343       2523       289        338        627        194       1.0045     1.0045     1.0013     1.0004      0.60     224.7268   262.8469   487.5737   918.0612  1044.4252  1962.4865   65449.85 
17600000.00   23196      23005      46201       1804       1995       3799       283        319        602        199       1.0017     1.0017     1.0024     1.0021      0.60     220.0245   248.1630   468.1875  1403.5564  1551.2189  2954.7753   65449.85 
18000000.00   23158      22983      46141       1842       2017       3859       237        295        532        183       0.9991     1.0009     1.0013     1.0007      0.60     184.3830   229.2791   413.6620  1433.4086  1568.8243  3002.2329   65449.85 
18400000.00   23372      23184      46556       1628       1816       3444       164        240        404        164       1.0003     1.0016     1.0023     1.0003      0.60     127.3592   186.6245   313.9837  1266.0865  1412.4584  2678.5450   65449.85 
18800000.00   23565      23282      46847       1435       1718       3153       292        316        608        210       1.0021     1.0004     1.0040     0.9997      0.60     226.8052   245.4938   472.2990  1116.0373  1336.1363  2452.1735   65449.85 
19200000.00   23314      23052      46366       1686       1948       3634       301        324        625        181       1.0012     1.0017     1.0027     0.9997      0.60     234.1390   252.0595   486.1985  1311.6152  1515.5902  2827.2054   65449.85 
19600000.00   22923      22621      45544       2077       2379       4456       404        435        839        202       1.0003     1.0007     1.0003     1.0057      0.60     314.2635   338.3050   652.5686  1615.7306  1850.7017  3466.4323   65449.85 
20000000.00   23211      22999      46210       1789       2001       3790       394        461        855        199       1.0027     1.0027     1.0034     1.0015      0.60     306.4083   358.5506   664.9589  1391.4653  1555.9581  2947.4234   65449.85 
