 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      35000      15000      50000        0          0          0          4          3          7          0        1.0024     1.0135     1.0075     1.0328      0.60      3.1378     2.3496     5.4874     0.0000     0.0000     0.0000    65449.85 
750000.00    20004       7995      27999      14996       7005      22001       711        324        1035       285       1.0012     1.0013     1.0012     1.0015      0.60     554.9864   253.1139   808.1003  11713.9317 5470.8339  17184.7656  65449.85 
1500000.00   15012       5817      20829      19988       9183      29171       2734       1243       3977       711       1.0005     1.0005     1.0013     1.0010      0.60    2134.0020   969.9999  3104.0019  15606.1655 7167.9111  22774.0766  65449.85 
2250000.00   12772       4818      17590      22228      10182      32410       9113       4292      13405       1080      1.0011     1.0004     1.0011     0.9999      0.60    7110.8708  3349.4850  10460.3559 17345.5372 7945.0428  25290.5800  65449.85 
3000000.00   11526       4232      15758      23474      10768      34242      11925       5474      17399       1556      1.0009     1.0019     1.0017     1.0009      0.60    9303.1300  4269.9501  13573.0801 18315.6346 8400.8169  26716.4515  65449.85 
3750000.00   10653       3846      14499      24347      11154      35501      13528       6148      19676       2366      1.0005     1.0016     1.0007     1.0013      0.60    10551.7554 4794.1069  15345.8623 18992.9775 8698.5708  27691.5482  65449.85 
4500000.00    9911       3524      13435      25089      11476      36565      17069       7810      24879       4570      1.0005     1.0020     1.0005     1.0005      0.60    13314.1595 6091.7159  19405.8754 19571.5651 8950.9838  28522.5489  65449.85 
5250000.00    9292       3370      12662      25708      11630      37338      22567      10190      32757       7467      1.0002     1.0011     1.0002     0.9983      0.60    17605.4128 7948.8263  25554.2391 20056.4743 9072.8514  29129.3256  65449.85 
6000000.00    9522       3365      12887      25478      11635      37113      15840       7278      23118       4123      1.0018     1.0014     1.0016     1.0023      0.60    12356.7869 5676.9102  18033.6972 19876.8043 9075.5498  28952.3541  65449.85 
6750000.00    9074       3203      12277      25926      11797      37723       8933       4001      12934       4191      1.0011     1.0021     1.0002     1.0008      0.60    6967.0360  3120.1913  10087.2273 20222.9116 9199.8761  29422.7877  65449.85 
7500000.00    8800       3189      11989      26200      11811      38011      20154       9048      29202       6335      1.0010     1.0010     1.0001     1.0002      0.60    15715.1726 7054.7530  22769.9256 20433.1816 9210.2695  29643.4511  65449.85 
