             TauR                           MSD              
            0.000                         0.000000           
            0.167                         9.206684           
            0.333                        32.603379           
            0.500                        77.015032           
            0.667                        145.209101          
            0.833                        220.940699          
            1.000                        316.388909          
            1.167                        441.088385          
            1.333                        614.272812          
            1.500                        839.761906          
            1.667                       1083.150604          
            1.833                       1339.125899          
            2.000                       1607.261694          
            2.167                       1890.467624          
            2.333                       2191.790133          
            2.500                       2521.787153          
            2.667                       2884.118812          
            2.833                       3282.776334          
            3.000                       3723.470677          
            3.167                       4222.239187          
            3.333                       4786.418368          
            3.500                       5422.352257          
            3.667                       6149.104058          
            3.833                       6937.454306          
            4.000                       7810.633617          
            4.167                       8765.060733          
            4.333                       9797.157879          
            4.500                       10882.793160         
            4.667                       12003.099655         
            4.833                       13156.792162         
            5.000                       14349.370307         
            5.167                       15599.129613         
            5.333                       16916.273509         
            5.500                       18273.387825         
            5.667                       19589.381421         
            5.833                       20847.039745         
            6.000                       22075.192876         
            6.167                       23278.054170         
            6.333                       24462.407346         
            6.500                       25616.304714         
            6.667                       26793.951798         
            6.833                       28007.701796         
            7.000                       29273.342598         
            7.167                       30536.815416         
            7.333                       31803.923336         
            7.500                       33085.564469         
            7.667                       34405.088562         
            7.833                       35731.709030         
            8.000                       37077.997067         
            8.167                       38479.324776         
            8.333                       39872.748440         
            8.500                       41215.627299         
            8.667                       42511.420949         
            8.833                       43771.838515         
            9.000                       44972.474971         
            9.167                       46136.615121         
            9.333                       47295.495299         
            9.500                       48483.069218         
            9.667                       49713.241723         
            9.833                       50990.737213         
            10.000                      52291.083863         
            10.167                      53630.755852         
            10.333                      55021.256544         
            10.500                      56470.598625         
            10.667                      57977.237675         
            10.833                      59596.227624         
            11.000                      61364.526772         
            11.167                      63286.236536         
            11.333                      65303.364842         
            11.500                      67465.186651         
            11.667                      69745.153312         
            11.833                      72175.117302         
            12.000                      74736.478379         
            12.167                      77440.652377         
            12.333                      80264.987839         
            12.500                      83150.103008         
            12.667                      86130.043294         
            12.833                      89233.183672         
            13.000                      92447.459443         
            13.167                      95805.121261         
            13.333                      99282.852206         
            13.500                     102889.027263         
            13.667                     106648.324835         
            13.833                     110497.473542         
            14.000                     114379.720680         
            14.167                     118341.356343         
            14.333                     122411.014141         
            14.500                     126565.371854         
            14.667                     130816.400032         
            14.833                     135189.607103         
            15.000                     139755.264355         
            15.167                     144530.164547         
            15.333                     149456.933943         
            15.500                     154513.978267         
            15.667                     159701.463462         
            15.833                     165068.388991         
            16.000                     170613.654047         
            16.167                     176311.887641         
            16.333                     182141.979738         
            16.500                     188173.859537         
            16.667                     194281.144999         
            16.833                     200468.737021         
            17.000                     206870.972356         
            17.167                     213475.205744         
            17.333                     220160.271794         
            17.500                     226911.781640         
            17.667                     233772.460281         
            17.833                     240723.302571         
            18.000                     247805.839344         
            18.167                     254974.822433         
            18.333                     262248.306553         
            18.500                     269777.129922         
            18.667                     277577.019977         
            18.833                     285720.416793         
            19.000                     294211.656093         
            19.167                     302921.870769         
            19.333                     311736.076151         
            19.500                     320695.290057         
            19.667                     329706.382866         
            19.833                     338849.362875         
            20.000                     348145.648758         
            20.167                     357622.660808         
            20.333                     367404.399963         
            20.500                     377446.319634         
            20.667                     387782.723299         
            20.833                     398627.354036         
            21.000                     409938.799069         
            21.167                     421722.710194         
            21.333                     433981.497997         
            21.500                     446718.131376         
            21.667                     459830.986866         
            21.833                     473248.819331         
            22.000                     487117.360533         
            22.167                     501394.542510         
            22.333                     515644.664498         
            22.500                     529703.432961         
            22.667                     543727.843437         
            22.833                     557853.072067         
            23.000                     572263.676875         
            23.167                     587055.301387         
            23.333                     602375.984827         
            23.500                     618146.969919         
            23.667                     634119.140395         
            23.833                     650091.944884         
            24.000                     665937.303212         
            24.167                     681740.777725         
            24.333                     697611.697536         
            24.500                     713439.663729         
            24.667                     729249.384973         
            24.833                     745135.268563         
            25.000                     761074.768634         
            25.167                     777041.802202         
            25.333                     793097.427757         
            25.500                     809121.188392         
            25.667                     825019.244645         
            25.833                     840812.635452         
            26.000                     856459.764215         
            26.167                     872096.094638         
            26.333                     887452.177901         
            26.500                     902681.527579         
            26.667                     917592.524431         
            26.833                     932224.169621         
            27.000                     946699.949435         
            27.167                     960969.072420         
            27.333                     975236.920580         
            27.500                     989409.851566         
            27.667                     1003632.633072        
            27.833                     1017870.566298        
            28.000                     1032065.576874        
            28.167                     1046178.027965        
            28.333                     1060253.451188        
            28.500                     1074269.229738        
            28.667                     1088224.598664        
            28.833                     1102115.704591        
            29.000                     1115989.425003        
            29.167                     1129940.329526        
            29.333                     1144024.132188        
            29.500                     1158375.714975        
            29.667                     1172919.613835        
            29.833                     1187792.489826        
            30.000                     1202822.029795        
            30.167                     1217887.147020        
            30.333                     1232913.908359        
            30.500                     1247823.993318        
            30.667                     1262648.631946        
            30.833                     1277477.153149        
            31.000                     1292337.980325        
            31.167                     1307295.843768        
            31.333                     1322503.050620        
            31.500                     1337934.494149        
            31.667                     1353566.497858        
            31.833                     1369384.296676        
            32.000                     1385554.783028        
            32.167                     1401751.862372        
            32.333                     1417864.575183        
            32.500                     1433967.274632        
            32.667                     1450075.449178        
            32.833                     1466241.126317        
            33.000                     1482562.898312        
            33.167                     1499100.948002        
            33.333                     1515688.142930        
            33.500                     1532490.423298        
            33.667                     1549681.199181        
            33.833                     1567302.927015        
            34.000                     1585325.572807        
            34.167                     1603661.480925        
            34.333                     1622349.093185        
            34.500                     1641328.357646        
            34.667                     1660365.052920        
            34.833                     1679487.863137        
            35.000                     1698618.840820        
            35.167                     1717831.996639        
            35.333                     1737020.658080        
            35.500                     1756162.875054        
            35.667                     1775282.750675        
            35.833                     1794480.176462        
            36.000                     1813646.119211        
            36.167                     1832734.766695        
            36.333                     1851851.086360        
            36.500                     1871106.558796        
            36.667                     1890563.143051        
            36.833                     1910163.643308        
            37.000                     1929799.112113        
            37.167                     1949435.482947        
            37.333                     1969178.421687        
            37.500                     1988880.401926        
            37.667                     2008670.325250        
            37.833                     2028463.909468        
            38.000                     2048357.999119        
            38.167                     2068271.072963        
            38.333                     2088249.028018        
            38.500                     2108370.081199        
            38.667                     2129029.325180        
            38.833                     2149903.735960        
            39.000                     2171032.215866        
            39.167                     2192258.433004        
            39.333                     2213687.834904        
            39.500                     2235113.495619        
            39.667                     2256616.428424        
            39.833                     2277957.541837        
            40.000                     2299502.958154        
            40.167                     2321093.713306        
            40.333                     2342711.230034        
            40.500                     2364382.754564        
            40.667                     2386186.967825        
            40.833                     2408104.510560        
            41.000                     2430178.595699        
            41.167                     2452191.866967        
            41.333                     2474305.424686        
            41.500                     2496620.059615        
            41.666                     2519318.159277        
            41.833                     2542373.923942        
            42.000                     2565662.251654        
            42.166                     2589163.577093        
            42.333                     2612726.600434        
            42.500                     2636479.821684        
            42.666                     2660423.321283        
            42.833                     2684465.912575        
            43.000                     2708554.724948        
            43.166                     2732691.101948        
            43.333                     2756822.444746        
            43.500                     2780956.426168        
            43.666                     2805184.837443        
            43.833                     2829482.260279        
            44.000                     2853746.091014        
            44.166                     2877975.706742        
            44.333                     2902239.510952        
            44.500                     2926690.744185        
            44.666                     2951344.827902        
            44.833                     2976726.740193        
            45.000                     3002060.667811        
            45.166                     3027597.556045        
            45.333                     3053206.705757        
            45.500                     3078642.779999        
            45.666                     3103908.629913        
            45.833                     3129100.024235        
            46.000                     3154328.455694        
            46.166                     3179566.615489        
            46.333                     3205022.930533        
            46.500                     3230863.272041        
            46.666                     3257088.195385        
