             TauR                           MSD              
            0.000                         0.000000           
            0.167                         1.172721           
            0.333                         5.542436           
            0.500                        14.537098           
            0.667                        28.574899           
            0.833                        48.099941           
            1.000                        74.715921           
            1.167                        107.763663          
            1.333                        144.940445          
            1.500                        185.853446          
            1.667                        230.778160          
            1.833                        279.328133          
            2.000                        331.093256          
            2.167                        386.845536          
            2.333                        447.392590          
            2.500                        511.019450          
            2.667                        576.520487          
            2.833                        643.829253          
            3.000                        712.207382          
            3.167                        781.373046          
            3.333                        850.821170          
            3.500                        920.593073          
            3.667                        991.528062          
            3.833                       1064.844319          
            4.000                       1141.027625          
            4.167                       1219.610040          
            4.333                       1300.720196          
            4.500                       1384.196991          
            4.667                       1469.760426          
            4.833                       1556.373274          
            5.000                       1643.788553          
            5.167                       1731.166857          
            5.333                       1817.698159          
            5.500                       1905.787734          
            5.667                       1996.745462          
            5.833                       2090.093329          
            6.000                       2185.433097          
            6.167                       2283.659611          
            6.333                       2384.301410          
            6.500                       2486.742186          
            6.667                       2589.868875          
            6.833                       2693.650406          
            7.000                       2798.161388          
            7.167                       2903.234120          
            7.333                       3010.339782          
            7.500                       3120.127301          
            7.667                       3232.817215          
            7.833                       3347.979905          
            8.000                       3464.586763          
            8.167                       3583.454830          
            8.333                       3705.158376          
            8.500                       3828.163548          
            8.667                       3950.649704          
            8.833                       4072.203587          
            9.000                       4193.902890          
            9.167                       4316.212958          
            9.333                       4439.772161          
            9.500                       4565.528645          
            9.667                       4692.346372          
            9.833                       4820.321236          
            10.000                      4949.407217          
            10.167                      5080.985426          
            10.333                      5216.201734          
            10.500                      5355.096706          
            10.667                      5495.615424          
            10.833                      5636.632165          
            11.000                      5779.426535          
            11.167                      5923.287410          
            11.333                      6067.207026          
            11.500                      6210.465334          
            11.667                      6355.037951          
            11.833                      6501.961384          
            12.000                      6649.246399          
            12.167                      6796.750291          
            12.333                      6943.856757          
            12.500                      7090.295900          
            12.667                      7237.272664          
            12.833                      7383.860932          
            13.000                      7531.377234          
            13.167                      7679.611089          
            13.333                      7829.671290          
            13.500                      7980.647324          
            13.667                      8132.644198          
            13.833                      8286.295911          
            14.000                      8442.429525          
            14.167                      8601.732944          
            14.333                      8764.011504          
            14.500                      8928.264783          
            14.667                      9094.613219          
