 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   48.3      27938      100000      4743      64040       2116      47085       124        9153        14        1971        0          0          0          0          0          0          0          0          0          0     
   49.2      27741      100000      4768      64563       2156      47597       140        9689        15        1805        0          0          0          0          0          0          0          0          0          0     
   50.0      27688      100000      4712      64311       2182      47935       128        8936        11        1464        0          0          0          0          0          0          0          0          0          0     
   50.8      27615      100000      4792      64775       2162      47716       147        9972        8         907         0          0          0          0          0          0          0          0          0          0     
   51.7      27942      100000      4848      64264       2219      47294       121        8355        10        1227        0          0          0          0          0          0          0          0          0          0     
   52.5      27987      100000      4746      64222       2144      47278       124        9003        16        2139        0          0          0          0          0          0          0          0          0          0     
   53.3      27748      100000      4788      64522       2132      47135       123        9103        15        1980        0          0          0          0          0          0          0          0          0          0     
   54.2      27501      100000      4857      64790       2188      47453       133        8966        6         658         0          0          0          0          0          0          0          0          0          0     
   55.0      27778      100000      4757      64572       2182      47954       138        9826        15        1878        0          0          0          0          0          0          0          0          0          0     
   55.8      27675      100000      4827      64630       2170      47405       131        8875        10        1205        0          0          0          0          0          0          0          0          0          0     
   56.7      27926      100000      4788      64371       2169      47409       132        8923        7         814         0          0          0          0          0          0          0          0          0          0     
   57.5      27716      100000      4832      64436       2137      47114       128        9111        18        2109        0          0          0          0          0          0          0          0          0          0     
   58.3      27794      100000      4807      64400       2173      47365       123        8545        10        1231        0          0          0          0          0          0          0          0          0          0     
   59.2      27842      100000      4732      64096       2124      47260       141       10012        9         1144        0          0          0          0          0          0          0          0          0          0     
   60.0      27604      100000      4774      64569       2187      47828       137        9105        6         792         0          0          0          0          0          0          0          0          0          0     
   60.8      27782      100000      4716      64310       2169      47784       129        9249        16        1946        0          0          0          0          0          0          0          0          0          0     
   61.7      27895      100000      4806      64613       2207      47881       117        7860        9         1114        0          0          0          0          0          0          0          0          0          0     
   62.5      27855      100000      4783      64200       2144      47166       128        8818        9         1063        0          0          0          0          0          0          0          0          0          0     
   63.3      27744      100000      4758      64328       2149      47399       131        9485        15        1996        0          0          0          0          0          0          0          0          0          0     
   64.2      27851      100000      4804      64229       2202      47452       121        8369        11        1338        0          0          0          0          0          0          0          0          0          0     
   65.0      27749      100000      4793      64404       2190      47619       121        8462        13        1514        0          0          0          0          0          0          0          0          0          0     
   65.8      27774      100000      4861      64712       2192      47489       106        7779        9         1086        0          0          0          0          0          0          0          0          0          0     
   66.7      27575      100000      4843      64901       2206      47821       138        9402        11        1436        0          0          0          0          0          0          0          0          0          0     
   67.5      27842      100000      4796      64349       2134      47003       143        9563        5         557         0          0          0          0          0          0          0          0          0          0     
   68.3      27722      100000      4773      64392       2159      47521       147       10237        7         888         0          0          0          0          0          0          0          0          0          0     
   69.2      27736      100000      4824      64565       2213      47593       129        8876        9         1044        0          0          0          0          0          0          0          0          0          0     
   70.0      28092      100000      4821      63888       2142      46520       121        8514        14        1715        0          0          0          0          0          0          0          0          0          0     
   70.8      27583      100000      4831      64843       2185      47745       119        8256        13        1637        0          0          0          0          0          0          0          0          0          0     
   71.7      27960      100000      4825      64342       2151      46940       132        9175        9         1093        0          0          0          0          0          0          0          0          0          0     
   72.5      27724      100000      4848      64472       2222      47493       109        7685        15        1669        0          0          0          0          0          0          0          0          0          0     
   73.3      28092      100000      4754      63795       2109      46612       124        8710        17        1933        0          0          0          0          0          0          0          0          0          0     
   74.2      27757      100000      4751      64358       2104      47214       139        9880        14        1686        0          0          0          0          0          0          0          0          0          0     
   75.0      27843      100000      4731      64156       2198      47877       128        9155        13        1585        0          0          0          0          0          0          0          0          0          0     
   75.8      27869      100000      4846      64185       2191      47148       120        8623        12        1559        0          0          0          0          0          0          0          0          0          0     
   76.7      28011      100000      4774      63917       2162      47151       122        8586        12        1558        0          0          0          0          0          0          0          0          0          0     
   77.5      27767      100000      4762      64205       2189      47430       117        8565        14        1826        0          0          0          0          0          0          0          0          0          0     
   78.3      27617      100000      4800      64532       2137      47360       129        9089        12        1459        0          0          0          0          0          0          0          0          0          0     
   79.2      27910      100000      4855      64293       2133      46700       117        8689        18        2268        0          0          0          0          0          0          0          0          0          0     
