 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  10.667        126844.507           905931.869             7.142              13565.818           30787473.335           2269.489           1335804.297             590.5                45421        
  10.833        126849.566           889867.181             7.015              13597.440           30134178.703           2216.166           1269610.612             574.7                45374        
  11.000        126744.581           891416.202             7.033              13668.273           29634185.597           2168.100           1254129.214             580.3                45293        
  11.167        126729.403           901977.498             7.117              13516.487           29954740.622           2216.163           1408679.209             637.7                45184        
  11.333        127101.277           904251.032             7.114              13486.130           30376735.909           2252.443           1189392.216             529.7                45022        
  11.500        126886.248           904704.987             7.130              13503.839           30140857.056           2232.021           1291168.283             580.3                45092        
  11.667        127082.304           923495.050             7.267              13438.065           30148985.789           2243.551           1214782.330             543.2                44844        
  11.833        127005.146           925309.317             7.286              13435.535           30506564.102           2270.588           1333822.972             589.3                44881        
  12.000        127044.357           922917.897             7.265              13446.919           30264645.768           2250.675           1276684.572             569.1                44875        
  12.167        127015.265           911510.109             7.176              13474.747           29543716.451           2192.525           1221522.366             559.0                44812        
  12.333        126927.989           922793.936             7.270              13494.985           29160249.607           2160.821           1252189.485             581.5                44769        
  12.500        127077.244           925399.833             7.282              13426.681           29174032.445           2172.840           1227509.033             566.8                44628        
  12.667        126959.611           918372.241             7.234              13492.455           28974631.322           2147.469           1234818.976             577.0                44833        
  12.833        127008.941           917817.075             7.226              13489.925           29030344.124           2152.002           1208492.339             563.5                44686        
  13.000        126914.075           925668.183             7.294              13483.601           28880815.701           2141.922           1294003.039             606.2                44610        
  13.167        127170.845           928928.125             7.305              13364.702           29986756.076           2243.728           1217373.181             544.3                44342        
  13.333        127186.024           926041.596             7.281              13161.057           30855467.340           2344.452           1432555.153             612.9                44349        
  13.500        127229.030           936073.937             7.357              13138.289           30986618.560           2358.497           1393520.689             592.7                44338        
  13.667        127363.107           935846.294             7.348              13096.548           31034456.220           2369.667           1344353.264             569.1                44243        
  13.833        127222.705           926799.769             7.285              13257.187           30305154.233           2285.941           1271115.140             557.8                44400        
  14.000        127215.116           940009.121             7.389              13230.625           29877975.667           2258.244           1291046.696             573.6                44286        
  14.167        127272.035           932483.028             7.327              13202.798           30270846.417           2292.760           1285176.851             562.3                44275        
  14.333        127021.590           921904.176             7.258              13231.890           30526092.343           2307.009           1502731.399             653.4                44544        
  14.500        127196.143           925511.929             7.276              13281.220           30535780.970           2299.170           1304275.408             569.1                44473        
  14.667        127232.824           928351.667             7.296              13290.074           30647558.004           2306.049           1295251.840             563.5                44620        
  14.833        127207.527           913715.983             7.183              13326.756           30549178.177           2292.319           1267019.714             554.5                44658        
