 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  0.000         109000.871           12026.228              0.110              31208.338          108373301.422           3472.575           2019076.392             581.5                79752        
  0.167         110194.916           473499.106             4.297              29446.362          175682484.012           5966.186           4391870.763             736.7                80641        
  0.333         111277.652           548140.491             4.926              27613.554          206504318.501           7478.368           6850190.069             916.6                79064        
  0.500         112244.019           589392.255             5.251              26903.957          222424959.691           8267.370           7080610.998             857.0                78099        
  0.667         112281.965           615606.127             5.483              26840.713          219259116.058           8168.900           6867488.766             841.3                77787        
  0.833         112515.967           636364.473             5.656              26724.345          219792333.499           8224.424           6793888.172             826.6                77339        
  1.000         112632.336           679971.705             6.037              26532.083          218393351.500           8231.293           6919510.234             841.3                76937        
  1.167         112633.601           669279.700             5.942              26319.584          223027100.473           8473.808           7485500.766             884.0                76554        
  1.333         113692.304           884452.774             7.779              25726.356          230589730.337           8963.171           7010002.420             782.8                75425        
  1.500         113554.432           674339.116             5.938              25964.153          238823575.048           9198.204           6926625.400             753.5                76277        
  1.667         113416.561           658518.383             5.806              26219.658          232751123.980           8876.970           6455192.890             727.7                76756        
  1.833         113024.448           637572.083             5.641              26558.646          230628639.545           8683.750           6422074.398             740.0                77356        
  2.000         112906.815           622854.973             5.517              26649.717          232474756.498           8723.348           6451470.327             740.0                77646        
  2.167         112808.154           593968.077             5.265              26819.211          233640644.537           8711.690           6335318.600             727.7                77996        
  2.333         112872.663           571908.866             5.067              26810.356          237757643.778           8868.127           6230000.033             702.9                78372        
  2.500         112479.286           543172.782             4.829              27134.165          233775938.243           8615.557           6323788.978             734.4                78941        
  2.667         112324.971           548520.833             4.883              27217.647          233820515.938           8590.769           6498670.184             756.9                79268        
  2.833         112125.120           515925.069             4.601              27335.281          230943591.298           8448.554           6524193.846             772.6                79409        
  3.000         112169.391           534307.762             4.763              27277.096          228109931.203           8362.691           6438927.260             770.4                79100        
  3.167         112280.700           556292.956             4.954              27051.948          230973127.833           8538.133           6842655.779             801.9                78676        
