 Timestep        gasArea              gasTrace             gasPress             bulkArea            bulkTrace            bulkPress           SurfaceTense            Length               NDense       
  0.000         114065.443           59598.316              0.522              26248.751           29935430.931           1140.452            634610.715             556.7                57877        
  0.167         114253.910           951301.039             8.326              25965.418           40163124.615           1546.793            892816.375             580.3                59006        
  0.333         113649.298           911171.315             8.017              26323.378           40841431.224           1551.527           1006842.774             652.3                59751        
  0.500         113338.138           899241.554             7.934              26504.256           40819865.060           1540.125           1075280.502             701.8                60032        
  0.667         113101.606           872546.994             7.715              26487.813           41283248.681           1558.575           1189546.582             767.0                60211        
  0.833         113090.222           877394.808             7.758              26227.248           41827454.670           1594.809           1315475.165             828.9                60139        
  1.000         113157.261           879683.635             7.774              26293.021           42069442.910           1600.023           1278596.702             803.0                60136        
  1.167         113158.525           887041.923             7.839              26167.798           42530275.161           1625.291           1351588.379             835.6                60177        
  1.333         113220.505           855596.642             7.557              26136.176           42962627.526           1643.799           1347047.936             823.3                60135        
  1.500         113244.537           868093.048             7.666              26120.998           43689329.793           1672.575           1383755.586             831.1                60153        
  1.667         113353.317           878295.071             7.748              25976.802           43968788.645           1692.617           1402239.655             832.3                60108        
  1.833         113312.841           884360.939             7.805              26043.840           44526352.278           1709.669           1408728.060             827.8                60123        
  2.000         113360.906           882180.924             7.782              25806.043           45855758.681           1776.939           1538048.878             869.4                60134        
  2.167         113899.744           894298.690             7.852              25551.803           46489326.060           1819.415           1436371.964             792.9                59818        
  2.333         113691.039           885806.079             7.791              25749.124           46247260.965           1796.071           1417910.941             792.9                60015        
  2.500         113524.075           881855.367             7.768              25811.103           45639204.771           1768.201           1473047.160             836.8                60094        
  2.667         113550.638           892267.648             7.858              25764.302           46100388.804           1789.313           1456577.240             817.6                60123        
  2.833         113489.924           863878.244             7.612              25785.805           45870615.056           1778.910           1512020.403             853.6                60176        
  3.000         113398.852           864568.840             7.624              25873.082           45974506.494           1776.924           1512305.167             854.7                60296        
  3.167         113639.179           891243.865             7.843              25838.930           46430294.295           1796.912           1408476.584             787.3                60237        
  3.333         113659.417           873884.016             7.689              25860.433           46390038.991           1793.862           1362001.420             762.5                60249        
  3.500         113586.054           871456.779             7.672              25926.207           45955026.562           1772.532           1369567.984             776.0                60276        
  3.667         113333.079           870034.466             7.677              25962.888           45789002.792           1763.633           1481150.706             843.5                60351        
  3.833         113468.421           881271.000             7.767              25869.287           45546611.072           1760.644           1466725.548             836.8                60163        
  4.000         113369.760           881439.697             7.775              25955.299           45231049.758           1742.652           1439956.515             830.0                60285        
  4.167         113362.171           881772.128             7.778              26014.748           45667513.887           1755.447           1430918.284             818.8                60473        
  4.333         113393.793           874817.296             7.715              25954.034           46681793.193           1798.633           1538840.251             859.2                60540        
  4.500         113554.432           868437.611             7.648              25902.174           47222565.780           1823.112           1435381.605             790.6                60534        
  4.667         113458.302           859752.398             7.578              26115.938           46475175.054           1779.571           1351189.274             762.5                60784        
  4.833         113196.472           859371.285             7.592              26279.108           46009650.474           1750.807           1382179.642             792.9                61086        
  5.000         113082.633           821887.674             7.268              26304.405           46081873.128           1751.869           1420558.181             814.3                61140        
  5.167         112968.794           850333.633             7.527              26329.703           45993896.001           1746.844           1488633.606             855.9                61191        
  5.333         113037.097           835724.630             7.393              26228.512           46215646.425           1762.038           1527406.284             870.5                61056        
  5.500         113109.195           847545.175             7.493              26303.140           45949832.023           1746.933           1426137.363             819.9                61083        
  5.667         113135.758           845269.890             7.471              26301.875           46014523.854           1749.477           1389057.190             797.4                61056        
  5.833         113024.448           835297.058             7.390              26338.557           46357659.187           1760.068           1448817.846             826.6                61155        
  6.000         112935.907           844942.466             7.482              26225.983           46716810.366           1781.318           1578026.665             889.6                61251        
  6.167         113043.422           832796.152             7.367              26341.087           46916676.058           1781.122           1460255.737             823.3                61304        
  6.333         113292.603           844322.804             7.453              26261.399           47113855.009           1794.034           1400490.080             783.9                61123        
  6.500         113099.076           840847.520             7.435              26327.173           46470821.922           1765.128           1413427.127             804.1                61180        
  6.667         113168.645           829310.332             7.328              26416.979           45944798.049           1739.215           1316711.053             760.3                61142        
