 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
1650000.00   37507        0        37507      12493        0        12493       701         0         701        198       0.8728     0.8728     0.0000     0.0000      0.41     414.7166    0.0000    414.7166  7581.6526    0.0000   7581.6526   78539.82 
1700000.00   35982        0        35982      14018        0        14018       943         0         943        197       0.9101     0.9101     0.0000     0.0000      0.41     550.8406    0.0000    550.8406  8495.9834    0.0000   8495.9834   78539.82 
1750000.00   37476        0        37476      12524        0        12524       681         0         681        198       0.9021     0.9021     0.0000     0.0000      0.41     387.5611    0.0000    387.5611  7592.6477    0.0000   7592.6477   78539.82 
1800000.00   35564        0        35564      14436        0        14436       886         0         886        222       0.8760     0.8760     0.0000     0.0000      0.41     511.2493    0.0000    511.2493  8759.1684    0.0000   8759.1684   78539.82 
1850000.00   35983        0        35983      14017        0        14017       922         0         922        200       0.8668     0.8668     0.0000     0.0000      0.41     529.2073    0.0000    529.2073  8490.6627    0.0000   8490.6627   78539.82 
1900000.00   36481        0        36481      13519        0        13519       992         0         992        207       0.8883     0.8883     0.0000     0.0000      0.41     566.8887    0.0000    566.8887  8150.0142    0.0000   8150.0142   78539.82 
1950000.00   35558        0        35558      14442        0        14442       1076        0         1076       222       0.8782     0.8782     0.0000     0.0000      0.41     613.8994    0.0000    613.8994  8732.3135    0.0000   8732.3135   78539.82 
2000000.00   36430        0        36430      13570        0        13570       1271        0         1271       256       0.8913     0.8913     0.0000     0.0000      0.41     763.5580    0.0000    763.5580  8179.4757    0.0000   8179.4757   78539.82 
2050000.00   38511        0        38511      11489        0        11489       1255        0         1255       239       0.8783     0.8783     0.0000     0.0000      0.41     713.8142    0.0000    713.8142  6902.2279    0.0000   6902.2279   78539.82 
2100000.00   36140        0        36140      13860        0        13860       1467        0         1467       223       0.8812     0.8812     0.0000     0.0000      0.41     840.5097    0.0000    840.5097  8380.3980    0.0000   8380.3980   78539.82 
2150000.00   36138        0        36138      13862        0        13862       1474        0         1474       223       0.8780     0.8780     0.0000     0.0000      0.41     833.0287    0.0000    833.0287  8369.9846    0.0000   8369.9846   78539.82 
2200000.00   35631        0        35631      14369        0        14369       1429        0         1429       208       0.8735     0.8735     0.0000     0.0000      0.41     796.0424    0.0000    796.0424  8663.3347    0.0000   8663.3347   78539.82 
2250000.00   36545        0        36545      13455        0        13455       1600        0         1600       224       0.8929     0.8929     0.0000     0.0000      0.41     896.0192    0.0000    896.0192  8103.0397    0.0000   8103.0397   78539.82 
2300000.00   36865        0        36865      13135        0        13135       1721        0         1721       222       0.9007     0.9007     0.0000     0.0000      0.41     948.0133    0.0000    948.0133  7906.6192    0.0000   7906.6192   78539.82 
2350000.00   36136        0        36136      13864        0        13864       1661        0         1661       216       0.8835     0.8835     0.0000     0.0000      0.41     903.8430    0.0000    903.8430  8321.0053    0.0000   8321.0053   78539.82 
2400000.00   36009        0        36009      13991        0        13991       1817        0         1817       215       0.8907     0.8907     0.0000     0.0000      0.41     989.5655    0.0000    989.5655  8400.1613    0.0000   8400.1613   78539.82 
2450000.00   36928        0        36928      13072        0        13072       1806        0         1806       204       0.8770     0.8770     0.0000     0.0000      0.41     964.0113    0.0000    964.0113  7809.1600    0.0000   7809.1600   78539.82 
2500000.00   37171        0        37171      12829        0        12829       2010        0         2010       229       0.8694     0.8694     0.0000     0.0000      0.41    1065.0876    0.0000   1065.0876  7663.4748    0.0000   7663.4748   78539.82 
2550000.00   37602        0        37602      12398        0        12398       2054        0         2054       210       0.8821     0.8821     0.0000     0.0000      0.41    1061.9675    0.0000   1061.9675  7335.6702    0.0000   7335.6702   78539.82 
2600000.00   36943        0        36943      13057        0        13057       2255        0         2255       233       0.8822     0.8822     0.0000     0.0000      0.41    1161.0920    0.0000   1161.0920  7717.0610    0.0000   7717.0610   78539.82 
2650000.00   35347        0        35347      14653        0        14653       2423        0         2423       228       0.8869     0.8869     0.0000     0.0000      0.41    1238.2963    0.0000   1238.2963  8678.0100    0.0000   8678.0100   78539.82 
2700000.00   36009        0        36009      13991        0        13991       2667        0         2667       279       0.8790     0.8790     0.0000     0.0000      0.41    1357.3602    0.0000   1357.3602  8234.7027    0.0000   8234.7027   78539.82 
2750000.00   34910        0        34910      15090        0        15090       3026        0         3026       243       0.8922     0.8922     0.0000     0.0000      0.41    1555.6642    0.0000   1555.6642  8890.7069    0.0000   8890.7069   78539.82 
2800000.00   36671        0        36671      13329        0        13329       3126        0         3126       229       0.8973     0.8973     0.0000     0.0000      0.41    1586.0839    0.0000   1586.0839  7795.6390    0.0000   7795.6390   78539.82 
2850000.00   36123        0        36123      13877        0        13877       3330        0         3330       252       0.8859     0.8859     0.0000     0.0000      0.41    1679.9405    0.0000   1679.9405  8101.6528    0.0000   8101.6528   78539.82 
2900000.00   36135        0        36135      13865        0        13865       3634        0         3634       231       0.8836     0.8836     0.0000     0.0000      0.41    1830.0601    0.0000   1830.0601  8068.2286    0.0000   8068.2286   78539.82 
2950000.00   35658        0        35658      14342        0        14342       3910        0         3910       281       0.9030     0.9030     0.0000     0.0000      0.41    1952.0795    0.0000   1952.0795  8288.2226    0.0000   8288.2226   78539.82 
3000000.00   37416        0        37416      12584        0        12584       4135        0         4135       279       0.8902     0.8902     0.0000     0.0000      0.41    2051.2419    0.0000   2051.2419  7193.0966    0.0000   7193.0966   78539.82 
3050000.00   36225        0        36225      13775        0        13775       4424        0         4424       259       0.8981     0.8981     0.0000     0.0000      0.41    2195.3893    0.0000   2195.3893  7892.2928    0.0000   7892.2928   78539.82 
3100000.00   34852        0        34852      15148        0        15148       4729        0         4729       240       0.8879     0.8879     0.0000     0.0000      0.41    2354.3107    0.0000   2354.3107  8709.5335    0.0000   8709.5335   78539.82 
3150000.00   36979        0        36979      13021        0        13021       5008        0         5008       260       0.8829     0.8829     0.0000     0.0000      0.41    2470.9399    0.0000   2470.9399  7353.9050    0.0000   7353.9050   78539.82 
3200000.00   37243        0        37243      12757        0        12757       5338        0         5338       283       0.8834     0.8834     0.0000     0.0000      0.41    2618.1043    0.0000   2618.1043  7146.5042    0.0000   7146.5042   78539.82 
3250000.00   36434        0        36434      13566        0        13566       5599        0         5599       276       0.8938     0.8938     0.0000     0.0000      0.41    2730.8374    0.0000   2730.8374  7581.2646    0.0000   7581.2646   78539.82 
3300000.00   36287        0        36287      13713        0        13713       5955        0         5955       298       0.8828     0.8828     0.0000     0.0000      0.41    2915.6841    0.0000   2915.6841  7628.8251    0.0000   7628.8251   78539.82 
