 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
   0.00      50000        0        50000        0          0          0          7          0          7          0        1.0908     1.0908     0.0000     0.0000      0.50      5.2572     0.0000     5.2572     0.0000     0.0000     0.0000    78539.82 
 50000.00    50000        0        50000        0          0          0          61         0          61         0        0.9762     0.9762     0.0000     0.0000      0.47     43.7030     0.0000    43.7030     0.0000     0.0000     0.0000    78539.82 
100000.00    50000        0        50000        0          0          0          92         0          92         0        0.9796     0.9796     0.0000     0.0000      0.47     65.1145     0.0000    65.1145     0.0000     0.0000     0.0000    78539.82 
150000.00    49541        0        49541       459         0         459        129         0         129        114       0.9762     0.9762     0.0000     0.0000      0.47     91.0224     0.0000    91.0224    324.2759    0.0000    324.2759   78539.82 
200000.00    49292        0        49292       708         0         708        143         0         143        118       1.0021     1.0021     0.0000     0.0000      0.47     99.5145     0.0000    99.5145    493.5751    0.0000    493.5751   78539.82 
250000.00    49272        0        49272       728         0         728        160         0         160        121       0.9914     0.9914     0.0000     0.0000      0.47     111.8290    0.0000    111.8290   508.8982    0.0000    508.8982   78539.82 
300000.00    48168        0        48168       1832        0         1832       207         0         207        130       0.9752     0.9752     0.0000     0.0000      0.47     143.9559    0.0000    143.9559  1280.0401    0.0000   1280.0401   78539.82 
350000.00    47671        0        47671       2329        0         2329       219         0         219        129       0.9631     0.9631     0.0000     0.0000      0.47     151.0871    0.0000    151.0871  1627.4999    0.0000   1627.4999   78539.82 
400000.00    47631        0        47631       2369        0         2369       217         0         217        131       0.9852     0.9852     0.0000     0.0000      0.47     148.4080    0.0000    148.4080  1653.2228    0.0000   1653.2228   78539.82 
450000.00    45709        0        45709       4291        0         4291       282         0         282        147       0.9770     0.9770     0.0000     0.0000      0.47     193.8189    0.0000    193.8189  2995.7606    0.0000   2995.7606   78539.82 
500000.00    46661        0        46661       3339        0         3339       255         0         255        139       0.9920     0.9920     0.0000     0.0000      0.47     175.7366    0.0000    175.7366  2331.0274    0.0000   2331.0274   78539.82 
550000.00    45727        0        45727       4273        0         4273       418         0         418        137       0.9797     0.9797     0.0000     0.0000      0.47     286.3749    0.0000    286.3749  2988.3142    0.0000   2988.3142   78539.82 
600000.00    45706        0        45706       4294        0         4294       292         0         292        148       0.9812     0.9812     0.0000     0.0000      0.47     205.1811    0.0000    205.1811  2994.5016    0.0000   2994.5016   78539.82 
650000.00    45216        0        45216       4784        0         4784       281         0         281        149       0.9805     0.9805     0.0000     0.0000      0.47     196.1060    0.0000    196.1060  3334.2835    0.0000   3334.2835   78539.82 
700000.00    45286        0        45286       4714        0         4714       316         0         316        147       0.9742     0.9742     0.0000     0.0000      0.47     217.2989    0.0000    217.2989  3287.0025    0.0000   3287.0025   78539.82 
750000.00    45069        0        45069       4931        0         4931       260         0         260        145       0.9918     0.9918     0.0000     0.0000      0.47     181.3526    0.0000    181.3526  3440.2717    0.0000   3440.2717   78539.82 
800000.00    44957        0        44957       5043        0         5043       242         0         242        140       0.9843     0.9843     0.0000     0.0000      0.47     167.1072    0.0000    167.1072  3516.7984    0.0000   3516.7984   78539.82 
850000.00    44108        0        44108       5892        0         5892       403         0         403        163       0.9671     0.9671     0.0000     0.0000      0.47     277.5943    0.0000    277.5943  4106.5451    0.0000   4106.5451   78539.82 
900000.00    43931        0        43931       6069        0         6069       509         0         509        164       0.9758     0.9758     0.0000     0.0000      0.47     354.8738    0.0000    354.8738  4227.5971    0.0000   4227.5971   78539.82 
950000.00    44589        0        44589       5411        0         5411       419         0         419        154       0.9716     0.9716     0.0000     0.0000      0.47     289.1012    0.0000    289.1012  3764.1092    0.0000   3764.1092   78539.82 
1000000.00   43604        0        43604       6396        0         6396       529         0         529        182       0.9813     0.9813     0.0000     0.0000      0.47     369.8372    0.0000    369.8372  4461.3822    0.0000   4461.3822   78539.82 
1050000.00   44352        0        44352       5648        0         5648       339         0         339        161       0.9890     0.9890     0.0000     0.0000      0.47     234.8640    0.0000    234.8640  3936.0707    0.0000   3936.0707   78539.82 
1100000.00   44234        0        44234       5766        0         5766       451         0         451        164       0.9677     0.9677     0.0000     0.0000      0.47     311.4590    0.0000    311.4590  4028.4535    0.0000   4028.4535   78539.82 
1150000.00   43474        0        43474       6526        0         6526       570         0         570        159       0.9857     0.9857     0.0000     0.0000      0.47     395.0992    0.0000    395.0992  4548.5301    0.0000   4548.5301   78539.82 
1200000.00   44190        0        44190       5810        0         5810       469         0         469        166       0.9974     0.9974     0.0000     0.0000      0.47     323.1821    0.0000    323.1821  4031.9578    0.0000   4031.9578   78539.82 
1250000.00   42512        0        42512       7488        0         7488       469         0         469        162       0.9855     0.9855     0.0000     0.0000      0.47     323.2679    0.0000    323.2679  5209.9590    0.0000   5209.9590   78539.82 
1300000.00   43354        0        43354       6646        0         6646       462         0         462        195       0.9642     0.9642     0.0000     0.0000      0.47     319.5333    0.0000    319.5333  4620.8872    0.0000   4620.8872   78539.82 
1350000.00   42774        0        42774       7226        0         7226       346         0         346        176       0.9790     0.9790     0.0000     0.0000      0.47     238.0945    0.0000    238.0945  5036.1465    0.0000   5036.1465   78539.82 
1400000.00   42114        0        42114       7886        0         7886       332         0         332        183       0.9821     0.9821     0.0000     0.0000      0.47     229.0555    0.0000    229.0555  5489.4382    0.0000   5489.4382   78539.82 
1450000.00   42728        0        42728       7272        0         7272       404         0         404        202       0.9861     0.9861     0.0000     0.0000      0.47     279.4755    0.0000    279.4755  5058.4741    0.0000   5058.4741   78539.82 
1500000.00   42848        0        42848       7152        0         7152       598         0         598        210       0.9855     0.9855     0.0000     0.0000      0.47     416.5820    0.0000    416.5820  4966.8393    0.0000   4966.8393   78539.82 
1550000.00   41801        0        41801       8199        0         8199       595         0         595        215       0.9689     0.9689     0.0000     0.0000      0.47     411.6555    0.0000    411.6555  5707.0872    0.0000   5707.0872   78539.82 
1600000.00   42206        0        42206       7794        0         7794       476         0         476        199       0.9955     0.9955     0.0000     0.0000      0.47     329.9733    0.0000    329.9733  5415.2966    0.0000   5415.2966   78539.82 
1650000.00   41618        0        41618       8382        0         8382       438         0         438        186       1.0019     1.0019     0.0000     0.0000      0.47     301.9979    0.0000    301.9979  5824.0502    0.0000   5824.0502   78539.82 
1700000.00   41395        0        41395       8605        0         8605       570         0         570        200       0.9812     0.9812     0.0000     0.0000      0.47     394.5648    0.0000    394.5648  5981.8929    0.0000   5981.8929   78539.82 
1750000.00   41499        0        41499       8501        0         8501       527         0         527        202       0.9808     0.9808     0.0000     0.0000      0.47     367.0433    0.0000    367.0433  5895.0089    0.0000   5895.0089   78539.82 
1800000.00   40505        0        40505       9495        0         9495       468         0         468        193       0.9823     0.9823     0.0000     0.0000      0.47     320.8379    0.0000    320.8379  6591.6529    0.0000   6591.6529   78539.82 
1850000.00   40731        0        40731       9269        0         9269       654         0         654        189       0.9731     0.9731     0.0000     0.0000      0.47     451.9936    0.0000    451.9936  6428.0313    0.0000   6428.0313   78539.82 
1900000.00   41048        0        41048       8952        0         8952       368         0         368        194       0.9691     0.9691     0.0000     0.0000      0.47     252.9552    0.0000    252.9552  6212.5303    0.0000   6212.5303   78539.82 
1950000.00   41026        0        41026       8974        0         8974       560         0         560        186       0.9768     0.9768     0.0000     0.0000      0.47     387.7494    0.0000    387.7494  6231.8327    0.0000   6231.8327   78539.82 
2000000.00   41755        0        41755       8245        0         8245       564         0         564        187       0.9704     0.9704     0.0000     0.0000      0.47     389.4086    0.0000    389.4086  5730.1104    0.0000   5730.1104   78539.82 
2050000.00   41557        0        41557       8443        0         8443       457         0         457        187       0.9826     0.9826     0.0000     0.0000      0.47     316.4081    0.0000    316.4081  5884.0852    0.0000   5884.0852   78539.82 
2100000.00   42274        0        42274       7726        0         7726       532         0         532        198       0.9711     0.9711     0.0000     0.0000      0.47     371.6836    0.0000    371.6836  5373.4508    0.0000   5373.4508   78539.82 
2150000.00   41758        0        41758       8242        0         8242       410         0         410        183       0.9842     0.9842     0.0000     0.0000      0.47     281.3954    0.0000    281.3954  5728.5497    0.0000   5728.5497   78539.82 
2200000.00   41747        0        41747       8253        0         8253       502         0         502        196       0.9776     0.9776     0.0000     0.0000      0.47     350.0417    0.0000    350.0417  5738.1066    0.0000   5738.1066   78539.82 
