 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
4977489.00   37541        0        37541      12459        0        12459       2784        0         2784       235       0.8234     0.8234     0.0000     0.0000      0.37    1301.3234    0.0000   1301.3234  6474.8713    0.0000   6474.8713   78539.82 
5128322.00   38075        0        38075      11925        0        11925       3141        0         3141       259       0.8236     0.8236     0.0000     0.0000      0.36    1460.5999    0.0000   1460.5999  6133.2509    0.0000   6133.2509   78539.82 
5279155.00   36790        0        36790      13210        0        13210       3476        0         3476       264       0.8219     0.8219     0.0000     0.0000      0.36    1600.3245    0.0000   1600.3245  6790.5241    0.0000   6790.5241   78539.82 
5429988.00   37247        0        37247      12753        0        12753       3872        0         3872       271       0.8222     0.8222     0.0000     0.0000      0.36    1774.1109    0.0000   1774.1109  6506.9764    0.0000   6506.9764   78539.82 
5580821.00   37526        0        37526      12474        0        12474       4322        0         4322       297       0.8224     0.8224     0.0000     0.0000      0.36    1966.5969    0.0000   1966.5969  6288.1204    0.0000   6288.1204   78539.82 
5731654.00   37431        0        37431      12569        0        12569       4725        0         4725       306       0.8235     0.8235     0.0000     0.0000      0.36    2142.5342    0.0000   2142.5342  6288.5795    0.0000   6288.5795   78539.82 
5882487.00   37990        0        37990      12010        0        12010       5237        0         5237       387       0.8316     0.8316     0.0000     0.0000      0.36    2372.1875    0.0000   2372.1875  5930.1173    0.0000   5930.1173   78539.82 
6033320.00   37470        0        37470      12530        0        12530       5640        0         5640       391       0.8364     0.8364     0.0000     0.0000      0.36    2557.0291    0.0000   2557.0291  6171.3471    0.0000   6171.3471   78539.82 
6184153.00   38401        0        38401      11599        0        11599       6120        0         6120       463       0.8286     0.8286     0.0000     0.0000      0.36    2766.1413    0.0000   2766.1413  5602.2357    0.0000   5602.2357   78539.82 
6334986.00   37100        0        37100      12900        0        12900       6580        0         6580       403       0.8339     0.8339     0.0000     0.0000      0.36    2957.6156    0.0000   2957.6156  6225.1874    0.0000   6225.1874   78539.82 
