             TauR                           MSD              
            41.000                     131001.941298         
            41.167                     131632.052487         
            41.333                     132262.516155         
            41.500                     132891.462210         
            41.666                     133519.535937         
            41.833                     134146.248636         
            42.000                     134769.802753         
            42.166                     135394.947409         
            42.333                     136023.721155         
            42.500                     136651.235261         
            42.666                     137274.485573         
            42.833                     137894.689802         
            43.000                     138510.000001         
            43.166                     139116.477768         
            43.333                     139712.552526         
            43.500                     140300.477557         
            43.666                     140878.534496         
            43.833                     141449.194146         
            44.000                     142016.520879         
            44.166                     142584.425642         
            44.333                     143150.531688         
            44.500                     143717.337273         
            44.666                     144284.380257         
            44.833                     144853.431185         
            45.000                     145425.647575         
            45.166                     146000.830518         
            45.333                     146580.747407         
            45.500                     147162.176374         
            45.666                     147744.474721         
            45.833                     148326.783620         
            46.000                     148912.712801         
            46.166                     149500.413830         
            46.333                     150091.453129         
            46.500                     150687.769239         
            46.666                     151295.262411         
            46.833                     151909.989900         
            47.000                     152534.127500         
            47.166                     153162.516750         
            47.333                     153791.656610         
            47.500                     154419.728089         
            47.666                     155042.656980         
            47.833                     155662.097089         
            48.000                     156284.076992         
            48.166                     156907.658597         
            48.333                     157528.180293         
            48.500                     158151.653915         
            48.666                     158783.172203         
            48.833                     159421.538828         
            49.000                     160065.996314         
            49.166                     160709.585204         
            49.333                     161351.846137         
            49.500                     161996.579820         
            49.666                     162645.745974         
            49.833                     163294.890455         
            50.000                     163942.604358         
            50.166                     164587.507806         
            50.333                     165231.763284         
            50.500                     165878.052333         
            50.666                     166526.674723         
            50.833                     167169.807844         
            51.000                     167806.764819         
            51.166                     168441.744208         
            51.333                     169074.949124         
            51.500                     169702.419116         
            51.666                     170328.036701         
            51.833                     170955.736046         
            52.000                     171591.071421         
            52.166                     172225.482593         
            52.333                     172854.763837         
            52.500                     173479.166238         
            52.666                     174103.423882         
            52.833                     174731.684451         
            53.000                     175365.040944         
            53.166                     176000.505400         
            53.333                     176639.200049         
            53.500                     177280.717839         
            53.666                     177922.464495         
            53.833                     178563.111213         
            54.000                     179204.276811         
            54.166                     179843.189031         
            54.333                     180489.792431         
            54.500                     181143.645068         
            54.666                     181797.627643         
            54.833                     182458.901022         
            55.000                     183126.703343         
            55.166                     183797.065639         
            55.333                     184469.576331         
            55.500                     185140.539086         
            55.666                     185807.685272         
            55.833                     186472.239420         
            56.000                     187135.046574         
            56.166                     187797.507959         
            56.333                     188459.900858         
