 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       83163      100000       0          0          0          0     
   0.1       14306      100000      377       73720        9        14105   
   0.2       14446      100000      378       73465        15       19924   
   0.3       14512      100000      312       72734        17       27763   
   0.4       14749      100000      355       72061        16       24450   
   0.5       14608      100000      319       72295        22       35761   
   0.6       14773      100000      341       71895        17       27965   
   0.7       14882      100000      352       71787        18       32743   
   0.8       15127      100000      333       71355        22       37709   
   0.9       15278      100000      350       71208        14       32997   
   1.0       15339      100000      278       70151        19       36642   
   1.1       15358      100000      324       70676        21       41295   
   1.2       15612      100000      321       70481        18       41759   
   1.3       15456      100000      318       70388        20       40964   
   1.4       15319      100000      294       71106        20       47362   
   1.5       15652      100000      297       70270        23       46872   
   1.6       15802      100000      308       69541        20       43696   
   1.7       16162      100000      331       69161        22       42210   
   1.8       16142      100000      315       68720        20       42713   
   1.9       16062      100000      341       68986        23       43739   
   2.0       16442      100000      298       67686        21       46035   
   2.1       16538      100000      290       68219        22       46034   
   2.2       16779      100000      286       67203        23       49766   
   2.3       16761      100000      284       67858        21       49841   
   2.4       17090      100000      257       66960        20       49718   
   2.5       17049      100000      255       66960        22       51304   
   2.6       17457      100000      232       66144        22       53007   
   2.7       17574      100000      200       66479        20       54735   
   2.8       17282      100000      199       67361        21       56252   
   2.9       17503      100000      196       67338        21       58198   
   3.0       17317      100000      175       68117        20       60110   
   3.1       17172      100000      131       67950        20       60948   
   3.2       17259      100000      120       68090        22       61512   
   3.3       17163      100000      126       69131        21       62817   
   3.4       17172      100000      103       69700        19       64558   
   3.5       16880      100000      104       70491        20       65937   
   3.6       16917      100000       82       70368        20       66393   
   3.7       16797      100000       72       70946        20       67594   
   3.8       16790      100000       59       70639        18       68213   
   3.9       16633      100000       72       71743        16       69051   
   4.0       16617      100000       52       71619        17       69879   
   4.1       16632      100000       55       71718        14       70422   
   4.2       16633      100000       47       72193        13       71275   
   4.3       16300      100000       44       72826        13       71191   
   4.4       16048      100000       33       73411        15       72198   
   4.5       16191      100000       30       73799        13       72670   
   4.6       15951      100000       23       74295        11       73327   
   4.7       15868      100000       19       74580        11       73751   
   4.8       15782      100000       22       74726        11       72324   
   4.9       15727      100000       23       74860        9        72995   
   5.0       15600      100000       29       75056        10       73027   
   5.1       15877      100000       25       75172        11       73980   
   5.2       15687      100000       17       75006        11       74176   
   5.3       15782      100000       15       75119        11       74376   
   5.4       15577      100000       18       75367        10       74336   
   5.5       15539      100000       19       75531        10       74742   
   5.6       15522      100000       22       75743        10       75035   
   5.7       15509      100000       17       75724        11       75256   
   5.8       15483      100000       20       75915        11       75573   
   5.9       15621      100000       18       75710        11       75518   
   6.0       15557      100000       15       75957        11       75844   
   6.1       15154      100000       20       76753        9        76456   
   6.2       15055      100000       15       76843        10       76715   
   6.3       15123      100000       17       76767        10       76598   
   6.4       15356      100000       14       76520        10       76419   
   6.5       15391      100000       19       76450        10       76208   
   6.6       15187      100000       15       76452        9        76286   
   6.7       15389      100000       19       76505        10       76250   
   6.8       15273      100000       19       76186        10       75959   
   6.9       15350      100000       15       76303        10       76175   
   7.0       15326      100000       13       76404        9        76290   
   7.1       15323      100000       16       76354        9        75334   
   7.2       15252      100000       15       76472        9        75555   
   7.3       15387      100000       12       76252        9        75616   
   7.4       15391      100000       15       76359        9        75710   
   7.5       15210      100000       20       76203        9        75533   
   7.6       15496      100000       22       75901        9        75287   
   7.7       15460      100000       16       75985        9        75564   
   7.8       15571      100000       17       76072        9        75756   
   7.9       15503      100000       13       75939        9        75820   
   8.0       15385      100000       18       76184        9        75959   
   8.1       15449      100000       16       76199        9        76031   
   8.2       15433      100000       13       76249        9        76153   
   8.3       15344      100000       11       76283        9        76229   
   8.4       15381      100000       18       76576        9        76276   
   8.5       15219      100000       17       76663        9        76449   
   8.6       15363      100000       15       76389        9        76230   
   8.7       15240      100000       18       76759        9        76513   
   8.8       15245      100000       15       76808        9        76658   
   8.9       15252      100000       11       76810        9        76750   
   9.0       15235      100000       13       76862        9        76770   
   9.1       15126      100000       13       76996        9        76904   
   9.2       15124      100000       16       77413        9        77248   
   9.3       14943      100000       13       77366        9        77267   
