 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       79367      100000      461        2578        4          44         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        9810      100000      1171      87833       557       83909       144       76173        82       71784        31       61999        21       55382        3        17744        0          0          0          0     
   0.2       10121      100000      1213      87538       599       83592       155       74750       101       70942        32       56454        19       46871        1         6577        0          0          0          0     
   0.3       10212      100000      1215      87313       626       83529       122       73462        68       69695        24       59811        16       53694        4        26763        0          0          0          0     
   0.4       10707      100000      1323      86586       693       82544       143       71815        79       67469        27       57953        22       54717        2        13257        0          0          0          0     
   0.5       11394      100000      1468      85707       721       80927       157       69711        80       64139        27       53635        20       48666        1         5624        0          0          0          0     
   0.6       11559      100000      1506      85565       717       80442       156       69417        82       64223        26       53618        20       49041        1         8208        0          0          0          0     
   0.7       12317      100000      1609      84695       772       79328       151       67516        76       62333        24       52577        21       50678        0          0          0          0          0          0     
   0.8       13191      100000      1689      83435       802       77749       133       64254        59       59312        19       51978        15       48859        4        23612        0          0          0          0     
   0.9       13938      100000      1737      82383       726       75887       106       63848        41       59534        17       55180        12       51948        5        28999        0          0          0          0     
   1.0       14795      100000      1711      81130       698       74604        66       63190        25       60392        14       58449        11       56788        5        37990        1        13591        0          0     
   1.1       15199      100000      1616      80390       584       73820        27       64445        12       63532        9        62988        9        62988        7        57328        1        15048        0          0     
   1.2       14864      100000      1235      80577       344       74877        15       69599        11       69302        10       69194        10       69194        7        59673        1        16562        0          0     
   1.3       14435      100000      913       80954       186       76407        8        73826        8        73826        8        73826        8        73826        5        64009        3        49468        0          0     
   1.4       13876      100000      752       81893       119       77974        8        76371        8        76371        8        76371        8        76371        8        76371        3        37045        0          0     
   1.5       13250      100000      606       82758       114       79725        9        78284        9        78284        8        78046        8        78046        7        73335        3        43792        0          0     
   1.6       12758      100000      516       83411        95       80818        7        79671        7        79671        7        79671        7        79671        6        74714        3        49876        0          0     
   1.7       12029      100000      369       84544        66       82696        5        81821        5        81821        5        81821        5        81821        5        81821        2        58934        0          0     
   1.8       11615      100000      373       85222        57       83297        6        82531        6        82531        6        82531        6        82531        5        77859        3        59794        0          0     
   1.9       11760      100000      395       85179        53       83100        7        82492        7        82492        7        82492        7        82492        5        76895        3        58618        0          0     
   2.0       12027      100000      372       84499        54       82564        7        81909        7        81909        7        81909        6        81314        5        77224        3        58813        0          0     
   2.1       12097      100000      327       84281        43       82547        6        82071        6        82071        6        82071        6        82071        5        80190        4        71367        0          0     
   2.2       11675      100000      288       84929        42       83477        6        83021        6        83021        6        83021        6        83021        5        81357        4        72721        0          0     
   2.3       11548      100000      285       85326        34       83829        6        83512        6        83512        6        83512        6        83512        5        82078        4        73525        0          0     
   2.4       10935      100000      267       86058        31       84635        6        84295        6        84295        6        84295        6        84295        5        82981        4        74360        0          0     
   2.5       10906      100000      248       86167        25       84816        6        84543        6        84543        6        84543        5        83705        4        81078        4        81078        0          0     
   2.6       11305      100000      331       85636        58       83968        9        83295        9        83295        5        82479        5        82479        4        81126        4        81126        0          0     
   2.7       11827      100000      334       84930        53       83201        6        82520        5        82466        5        82466        4        81621        4        81621        4        81621        0          0     
   2.8       11622      100000      290       85229        41       83694        5        83180        5        83180        4        82742        4        82742        4        82742        4        82742        0          0     
   2.9       11627      100000      277       85055        28       83534        5        83270        5        83270        5        83270        5        83270        5        83270        4        74251        0          0     
   3.0       11299      100000      210       85552        16       84414        4        84274        4        84274        4        84274        4        84274        4        84274        4        84274        0          0     
   3.1       10955      100000      192       86272        9        85202        5        85150        5        85150        5        85150        5        85150        5        85150        4        76061        0          0     
   3.2       10446      100000      163       86849        11       85947        4        85857        4        85857        4        85857        4        85857        4        85857        4        85857        0          0     
   3.3       10206      100000      141       87185        9        86412        4        86351        4        86351        4        86351        4        86351        4        86351        4        86351        0          0     
   3.4        9830      100000      130       87793        11       87105        4        87015        4        87015        4        87015        4        87015        4        87015        4        87015        0          0     
   3.5        9866      100000      118       87634        13       87025        4        86923        4        86923        4        86923        4        86923        4        86923        4        86923        0          0     
   3.6        9604      100000      119       88069        6        87425        4        87403        4        87403        4        87403        4        87403        4        87403        4        87403        0          0     
   3.7        9586      100000      125       88061        9        87365        4        87300        4        87300        4        87300        4        87300        4        87300        4        87300        0          0     
   3.8        9891      100000      125       87739        12       87080        4        86991        4        86991        4        86991        4        86991        4        86991        4        86991        0          0     
   3.9        9812      100000      113       87734        8        87124        3        87062        3        87062        3        87062        3        87062        3        87062        3        87062        1        57991   
   4.0        9696      100000      137       87937        10       87210        3        87136        3        87136        3        87136        3        87136        3        87136        3        87136        1        58174   
   4.1        9602      100000      118       88126        6        87449        3        87418        3        87418        3        87418        3        87418        3        87418        3        87418        1        58432   
   4.2        9600      100000      129       88131        10       87454        3        87349        3        87349        3        87349        3        87349        3        87349        3        87349        1        58578   
   4.3        9708      100000      125       87896        8        87216        3        87156        3        87156        3        87156        3        87156        3        87156        3        87156        1        58468   
   4.4        9768      100000      123       87882        5        87205        3        87181        3        87181        3        87181        3        87181        3        87181        3        87181        1        58590   
   4.5        9682      100000      109       88059        9        87471        4        87412        4        87412        4        87412        4        87412        4        87412        4        87412        0          0     
