 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   0.0       64669      100000       3          69    
   0.1        7659      100000       44       87510   
   0.2        7816      100000       39       87053   
   0.3        8254      100000       58       86480   
   0.4        8593      100000       62       85450   
   0.5        8743      100000       62       84709   
   0.6        8822      100000       69       84931   
   0.7        9006      100000       89       84114   
   0.8        9207      100000       90       84023   
   0.9        9294      100000       86       83673   
   1.0        9561      100000       86       82821   
   1.1        9764      100000      105       82737   
   1.2        9908      100000       87       82484   
   1.3       10134      100000      104       82392   
   1.4       10146      100000       99       82142   
   1.5       10428      100000       98       81388   
   1.6       10417      100000       95       81088   
   1.7       10649      100000      101       81266   
   1.8       10741      100000       93       80825   
   1.9       10834      100000       87       80530   
   2.0       10980      100000       88       80653   
   2.1       11126      100000       88       80036   
   2.2       11204      100000       89       79965   
   2.3       11145      100000       95       80458   
   2.4       11125      100000       91       80465   
   2.5       11403      100000       75       79970   
   2.6       11787      100000       70       79577   
   2.7       11459      100000       62       80063   
   2.8       11371      100000       55       80403   
   2.9       11549      100000       65       80381   
   3.0       11650      100000       45       80226   
   3.1       11630      100000       50       80315   
   3.2       11204      100000       46       80755   
   3.3       11473      100000       34       80905   
   3.4       11408      100000       40       80854   
   3.5       11390      100000       37       80946   
   3.6       11324      100000       36       81334   
   3.7       11426      100000       31       81103   
   3.8       11598      100000       32       81203   
   3.9       11228      100000       26       81603   
   4.0       11274      100000       28       81690   
   4.1       11346      100000       29       81626   
   4.2       11215      100000       31       81867   
   4.3       11163      100000       28       81684   
   4.4       11188      100000       23       81878   
   4.5       11233      100000       20       82123   
   4.6       11088      100000       23       81752   
   4.7       11459      100000       31       81772   
   4.8       11188      100000       27       81892   
   4.9       11154      100000       21       81953   
   5.0       11081      100000       23       81941   
   5.1       11313      100000       17       81776   
   5.2       11194      100000       24       81564   
   5.3       11450      100000       32       81491   
   5.4       11275      100000       21       81495   
   5.5       11236      100000       24       81537   
   5.6       11392      100000       23       81512   
   5.7       11216      100000       21       81713   
   5.8       11274      100000       25       81797   
   5.9       11256      100000       30       81815   
   6.0       11476      100000       27       81267   
   6.1       11396      100000       28       81507   
   6.2       11535      100000       20       81066   
   6.3       11411      100000       21       81270   
   6.4       11389      100000       21       81432   
   6.5       11458      100000       18       81418   
   6.6       11464      100000       18       81734   
   6.7       11354      100000       23       81606   
   6.8       11286      100000       21       81724   
   6.9       11194      100000       21       82067   
   7.0       11256      100000       20       82036   
   7.1       11105      100000       20       82233   
   7.2       11180      100000       19       82200   
   7.3       11230      100000       14       82153   
   7.4       11161      100000       23       82444   
   7.5       11212      100000       21       82414   
   7.6       11169      100000       13       82462   
   7.7       11088      100000       13       82490   
   7.8       11157      100000       12       82426   
   7.9       11432      100000       15       82193   
   8.0       11113      100000       17       82257   
   8.1       11221      100000       17       82384   
   8.2       11188      100000       18       82133   
   8.3       11409      100000       18       81816   
   8.4       11481      100000       22       81623   
   8.5       11334      100000       17       82000   
   8.6       11307      100000       15       81791   
   8.7       11385      100000       21       82187   
   8.8       11107      100000       21       82478   
   8.9       11244      100000       14       82170   
   9.0       11211      100000       25       82559   
   9.1       11320      100000       16       82131   
   9.2       11245      100000       20       82245   
   9.3       11315      100000       21       82024   
   9.4       11287      100000       26       82233   
