 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       83163      100000       0          0          0          0     
   0.1       12617      100000      407       75290        16       24985   
   0.2       12940      100000      417       74147        14       25096   
   0.3       13286      100000      392       73609        18       29243   
   0.4       13358      100000      399       72530        16       32852   
   0.5       13560      100000      367       72483        16       36757   
   0.6       13638      100000      396       71736        17       31300   
   0.7       13921      100000      399       71371        20       36645   
   0.8       14175      100000      386       70637        20       39224   
   0.9       14634      100000      409       69715        19       38241   
   1.0       15110      100000      376       68330        21       40076   
   1.1       15272      100000      383       68426        22       42485   
   1.2       15925      100000      377       67017        20       42342   
   1.3       16289      100000      337       66385        17       46733   
   1.4       16854      100000      315       65264        18       50584   
   1.5       17254      100000      234       64560        15       54577   
   1.6       17262      100000      193       65859        13       58640   
   1.7       17165      100000      123       67119        12       63329   
   1.8       16974      100000       66       68508        13       66737   
   1.9       16620      100000       49       70484        13       69149   
   2.0       16104      100000       29       72327        12       70778   
   2.1       15558      100000       34       74624        12       73290   
   2.2       15252      100000       23       75810        11       74268   
   2.3       14692      100000       25       77001        12       75955   
   2.4       14523      100000       18       77849        11       76806   
   2.5       14070      100000       14       78797        11       78441   
   2.6       13936      100000       17       79415        11       79161   
   2.7       13790      100000       15       79973        10       79138   
   2.8       13455      100000       14       80542        10       80122   
   2.9       13334      100000       12       80905        10       80848   
   3.0       13174      100000       11       81483        10       81452   
   3.1       13010      100000       11       81583        10       81561   
   3.2       13051      100000       10       81699        10       81699   
   3.3       12844      100000       10       81966        10       81966   
   3.4       12911      100000       10       81723        10       81723   
   3.5       12835      100000       10       81915        10       81915   
   3.6       12942      100000       10       81624        10       81624   
   3.7       13158      100000       10       81460        10       81460   
   3.8       12955      100000       9        81788        9        81788   
   3.9       12808      100000       11       81950        9        81891   
   4.0       12970      100000       11       81725        9        81678   
   4.1       12890      100000       11       81924        9        81873   
   4.2       12896      100000       9        81698        9        81698   
   4.3       12937      100000       11       81760        8        80902   
   4.4       13157      100000       11       81121        7        79694   
   4.5       13400      100000       12       80668        7        79171   
   4.6       13337      100000       8        80612        6        79638   
   4.7       13163      100000       9        80973        6        80389   
   4.8       13315      100000       7        81237        6        80884   
   4.9       13150      100000       7        81331        6        81306   
   5.0       13010      100000       6        81505        6        81505   
   5.1       12874      100000       6        81854        6        81854   
   5.2       12688      100000       6        82411        6        82411   
   5.3       12661      100000       6        82500        6        82500   
   5.4       12669      100000       7        82350        6        82327   
   5.5       12450      100000       6        82638        6        82638   
   5.6       12354      100000       6        82929        6        82929   
   5.7       12295      100000       7        83057        6        83034   
   5.8       12483      100000       6        82727        6        82727   
   5.9       12810      100000       6        82307        6        82307   
   6.0       12961      100000       6        81794        6        81794   
   6.1       13079      100000       6        81526        6        81526   
   6.2       12976      100000       6        81537        6        81537   
   6.3       12892      100000       7        81650        6        81614   
   6.4       12853      100000       6        81828        6        81828   
   6.5       12734      100000       7        82329        6        82306   
   6.6       12716      100000       7        82440        6        82419   
   6.7       12647      100000       6        82509        6        82509   
   6.8       12531      100000       6        82649        6        82649   
   6.9       12412      100000       7        82838        6        82813   
   7.0       12390      100000       7        82988        6        82957   
   7.1       12334      100000       8        83067        5        82237   
   7.2       12408      100000       7        83066        5        82619   
   7.3       12168      100000       9        83308        5        83122   
   7.4       12187      100000       5        83228        5        83228   
   7.5       12388      100000       5        83106        5        83106   
   7.6       12403      100000       7        82860        5        82817   
   7.7       12535      100000       6        82644        5        82612   
   7.8       12576      100000       5        82673        5        82673   
   7.9       12553      100000       5        82762        5        82762   
   8.0       12365      100000       6        82855        5        82832   
   8.1       12482      100000       5        82787        5        82787   
   8.2       12319      100000       5        83219        5        83219   
   8.3       12162      100000       5        83469        5        83469   
   8.4       12155      100000       5        83476        5        83476   
   8.5       12264      100000       5        83200        5        83200   
   8.6       12444      100000       5        83104        5        83104   
   8.7       12266      100000       5        83110        5        83110   
   8.8       12191      100000       5        83212        5        83212   
   8.9       12328      100000       5        83158        5        83158   
   9.0       12280      100000       5        83078        5        83078   
   9.1       12357      100000       5        82886        5        82886   
   9.2       12378      100000       5        83041        5        83041   
   9.3       12221      100000       5        83191        5        83191   
   9.4       12193      100000       5        83138        5        83138   
   9.5       12411      100000       5        82893        5        82893   
   9.6       12320      100000       6        82945        5        82924   
   9.7       12386      100000       5        83259        5        83259   
   9.8       12267      100000       5        83381        5        83381   
   9.9       12057      100000       5        83526        5        83526   
   10.0      12208      100000       5        83548        5        83548   
   10.1      11889      100000       6        83633        5        83606   
   10.2      11956      100000       5        83678        5        83678   
   10.3      11966      100000       5        83644        5        83644   
   10.4      12079      100000       5        83621        5        83621   
   10.5      11909      100000       6        83777        5        83753   
   10.6      12133      100000       5        83560        5        83560   
   10.7      12213      100000       5        83329        5        83329   
   10.8      12114      100000       5        83479        5        83479   
   10.9      12180      100000       5        83485        5        83485   
   11.0      12258      100000       5        83423        5        83423   
   11.1      12042      100000       5        83426        5        83426   
   11.2      12074      100000       5        83634        5        83634   
   11.3      12169      100000       5        83558        5        83558   
   11.4      12086      100000       5        83307        5        83307   
   11.5      12313      100000       5        83024        5        83024   
   11.6      12492      100000       5        82614        5        82614   
   11.7      12619      100000       5        82576        5        82576   
   11.8      12529      100000       5        82528        5        82528   
   11.9      12564      100000       5        82536        5        82536   
   12.0      12608      100000       5        82727        5        82727   
   12.1      12343      100000       5        83127        5        83127   
   12.2      12366      100000       5        83261        5        83261   
   12.3      12301      100000       5        83236        5        83236   
   12.4      12300      100000       5        83260        5        83260   
   12.5      12202      100000       5        83165        5        83165   
   12.6      12219      100000       5        83274        5        83274   
   12.7      12297      100000       5        83390        5        83390   
   12.8      12223      100000       5        83243        5        83243   
   12.9      12251      100000       5        83288        5        83288   
   13.0      12275      100000       5        83119        5        83119   
   13.1      12396      100000       5        82999        5        82999   
   13.2      12321      100000       5        82973        5        82973   
   13.3      12312      100000       5        83021        5        83021   
   13.4      12333      100000       6        83147        5        83125   
   13.5      12077      100000       5        83479        5        83479   
   13.6      12118      100000       5        83557        5        83557   
   13.7      12109      100000       5        83471        5        83471   
   13.8      11947      100000       5        83710        5        83710   
   13.9      12080      100000       6        83812        5        83791   
   14.0      12019      100000       5        83600        5        83600   
   14.1      12258      100000       5        83424        5        83424   
   14.2      12224      100000       5        83257        5        83257   
   14.3      12098      100000       5        83371        5        83371   
   14.4      12266      100000       5        83133        5        83133   
   14.5      12473      100000       5        82844        5        82844   
   14.6      12675      100000       5        82518        5        82518   
   14.7      12928      100000       5        82029        5        82029   
   14.8      12782      100000       5        82111        5        82111   
   14.9      12741      100000       5        82086        5        82086   
   15.0      12804      100000       5        82293        5        82293   
   15.1      12539      100000       5        82670        5        82670   
   15.2      12427      100000       6        82807        5        82784   
   15.3      12490      100000       6        82935        5        82911   
   15.4      12362      100000       5        82989        5        82989   
   15.5      12288      100000       5        83072        5        83072   
   15.6      12331      100000       5        83143        5        83143   
   15.7      12270      100000       5        83074        5        83074   
   15.8      12395      100000       5        83119        5        83119   
   15.9      12228      100000       5        83101        5        83101   
   16.0      12412      100000       5        82975        5        82975   
   16.1      12442      100000       6        82771        5        82749   
   16.2      12350      100000       5        83061        5        83061   
   16.3      12195      100000       5        83207        5        83207   
   16.4      12361      100000       5        83121        5        83121   
   16.5      12315      100000       5        82995        5        82995   
   16.6      12426      100000       5        82877        5        82877   
   16.7      12522      100000       6        82870        5        82848   
   16.8      12391      100000       5        82743        5        82743   
   16.9      12485      100000       5        82786        5        82786   
   17.0      12470      100000       6        82879        5        82856   
   17.1      12313      100000       4        83008        4        83008   
   17.2      12405      100000       4        83211        4        83211   
   17.3      12263      100000       5        83441        5        83441   
   17.4      12163      100000       5        83614        5        83614   
   17.5      12070      100000       5        83609        5        83609   
   17.6      12048      100000       5        83744        5        83744   
   17.7      12022      100000       5        83730        5        83730   
   17.8      12003      100000       5        83735        5        83735   
   17.9      12048      100000       6        83790        5        83769   
   18.0      12156      100000       5        83500        5        83500   
   18.1      12183      100000       5        83577        5        83577   
   18.2      12121      100000       5        83469        5        83469   
   18.3      12305      100000       5        83275        5        83275   
   18.4      12335      100000       5        83104        5        83104   
   18.5      12438      100000       5        82964        5        82964   
   18.6      12399      100000       5        82951        5        82951   
   18.7      12635      100000       5        82804        5        82804   
   18.8      12544      100000       5        82754        5        82754   
   18.9      12427      100000       5        82815        5        82815   
   19.0      12650      100000       5        82530        5        82530   
   19.1      12697      100000       6        82409        5        82384   
   19.2      12720      100000       5        82348        5        82348   
   19.3      12618      100000       5        82538        5        82538   
   19.4      12594      100000       5        82723        5        82723   
   19.5      12428      100000       5        82974        5        82974   
   19.6      12523      100000       5        83019        5        83019   
   19.7      12418      100000       5        82793        5        82793   
   19.8      12578      100000       5        82739        5        82739   
   19.9      12185      100000       6        83130        5        83109   
   20.0      12307      100000       7        83043        5        82998   
   20.1      12404      100000       5        82874        5        82874   
   20.2      12433      100000       5        83090        5        83090   
   20.3      12462      100000       6        82947        5        82925   
   20.4      12326      100000       5        82982        5        82982   
   20.5      12464      100000       5        82794        5        82794   
   20.6      12419      100000       6        82929        5        82908   
   20.7      12457      100000       5        82899        5        82899   
   20.8      12589      100000       5        82489        5        82489   
   20.9      12601      100000       5        82497        5        82497   
   21.0      12659      100000       6        82620        5        82597   
   21.1      12613      100000       5        82487        5        82487   
   21.2      12822      100000       5        82325        5        82325   
   21.3      12777      100000       5        82202        5        82202   
   21.4      12589      100000       5        82495        4        81597   
   21.5      12705      100000       5        82423        4        81744   
   21.6      12571      100000       4        82565        3        82083   
   21.7      12365      100000       5        82881        4        82655   
   21.8      12346      100000       4        83024        4        83024   
   21.9      12240      100000       4        83290        4        83290   
   22.0      12268      100000       7        83288        4        83224   
   22.1      12099      100000       4        83490        4        83490   
