 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       64669      100000       3          69         0          0     
   0.1        7243      100000      149       85533        6        75479   
   0.2        7862      100000      206       84282        9        71099   
   0.3        8594      100000      238       82115        14       66838   
   0.4        9600      100000      289       79453        18       61123   
   0.5       10632      100000      304       76536        19       59711   
   0.6       12013      100000      215       74091        12       61323   
   0.7       12339      100000      148       74245        15       68263   
   0.8       12208      100000       83       75838        15       73476   
   0.9       11859      100000       39       77502        11       76705   
   1.0       11948      100000       45       77685        8        75873   
   1.1       12244      100000       45       77212        8        76183   
   1.2       12039      100000       28       77742        8        76512   
   1.3       12156      100000       33       77837        8        76208   
   1.4       12190      100000       41       78152        7        76864   
   1.5       11892      100000       28       79154        8        78503   
   1.6       11659      100000       15       80347        6        80096   
   1.7       11744      100000       19       80510        7        80101   
   1.8       11377      100000       14       81637        7        80587   
   1.9       11543      100000       17       81188        6        80750   
   2.0       11500      100000       14       81332        5        80429   
   2.1       11116      100000       14       82660        4        82053   
   2.2       10838      100000       7        83827        4        83755   
   2.3       10399      100000       6        85032        3        84296   
   2.4        9622      100000       3        86697        3        86697   
   2.5        8822      100000       3        88264        3        88264   
   2.6        8345      100000       3        89062        3        89062   
   2.7        7879      100000       3        89785        3        89785   
   2.8        7602      100000       3        90330        3        90330   
   2.9        7656      100000       3        90343        3        90343   
   3.0        7617      100000       2        90437        2        90437   
   3.1        7861      100000       2        89902        2        89902   
   3.2        8043      100000       2        89558        2        89558   
   3.3        8184      100000       2        89602        2        89602   
   3.4        8149      100000       1        89362        1        89362   
   3.5        8461      100000       3        88936        1        88875   
   3.6        8375      100000       1        89094        1        89094   
   3.7        8215      100000       1        89285        1        89285   
   3.8        7980      100000       1        89609        1        89609   
   3.9        7837      100000       1        89982        1        89982   
   4.0        7688      100000       1        90355        1        90355   
   4.1        7594      100000       1        90376        1        90376   
   4.2        7714      100000       1        90143        1        90143   
   4.3        7581      100000       1        90289        1        90289   
   4.4        7799      100000       2        90130        2        90130   
   4.5        7750      100000       2        90187        2        90187   
   4.6        7542      100000       3        90462        3        90462   
   4.7        7563      100000       3        90383        3        90383   
   4.8        7839      100000       3        89894        3        89894   
   4.9        7945      100000       3        89712        3        89712   
   5.0        8016      100000       2        89629        2        89629   
   5.1        8213      100000       3        89399        3        89399   
   5.2        8179      100000       2        89450        2        89450   
   5.3        8194      100000       2        89552        2        89552   
   5.4        8279      100000       2        89173        2        89173   
   5.5        8126      100000       3        89366        3        89366   
   5.6        8129      100000       3        89424        3        89424   
   5.7        8330      100000       2        89120        2        89120   
   5.8        8303      100000       2        89279        2        89279   
   5.9        8089      100000       2        89548        2        89548   
   6.0        7815      100000       2        90092        2        90092   
   6.1        7645      100000       3        90193        2        90172   
   6.2        7711      100000       2        90074        2        90074   
   6.3        7869      100000       1        89989        1        89989   
   6.4        7944      100000       2        89827        2        89827   
   6.5        7949      100000       2        89909        2        89909   
   6.6        7958      100000       2        89675        2        89675   
   6.7        7969      100000       1        89712        1        89712   
   6.8        7829      100000       1        90045        1        90045   
   6.9        7551      100000       1        90439        1        90439   
   7.0        7351      100000       2        90767        2        90767   
