 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       75962      100000       0          0          0          0     
   0.1       36546      100000      647       27055        0          0     
   0.2       34304      100000      683       34452        0          0     
   0.3       33498      100000      657       37613        0          0     
   0.4       32955      100000      624       39093        0          0     
   0.5       32784      100000      614       40226        0          0     
   0.6       32250      100000      589       40707        0          0     
   0.7       31855      100000      538       41760        0          0     
   0.8       31751      100000      562       41927        0          0     
   0.9       31606      100000      541       43104        0          0     
   1.0       31539      100000      504       42515        0          0     
   1.1       31335      100000      495       43337        0          0     
   1.2       31262      100000      492       44375        0          0     
   1.3       31061      100000      485       44932        0          0     
   1.4       31315      100000      475       43745        1         1043   
   1.5       31170      100000      479       44413        0          0     
   1.6       30847      100000      476       45483        1         1091   
   1.7       30986      100000      487       44814        0          0     
   1.8       31168      100000      491       45096        0          0     
   1.9       30960      100000      448       44863        0          0     
   2.0       30877      100000      478       45257        1         1057   
   2.1       30829      100000      435       45398        1         1084   
   2.2       30817      100000      452       45413        1         1395   
   2.3       30526      100000      457       45589        2         2726   
   2.4       30772      100000      446       45728        1         1185   
   2.5       30973      100000      439       44424        2         2543   
   2.6       30686      100000      449       44870        0          0     
   2.7       31007      100000      492       44828        1         1145   
   2.8       30636      100000      449       44997        2         2574   
   2.9       30979      100000      476       45208        1         1960   
   3.0       31210      100000      461       44502        1         1185   
   3.1       31041      100000      460       44613        0          0     
   3.2       30879      100000      476       45367        1         1082   
   3.3       30717      100000      460       44869        2         2111   
   3.4       31162      100000      433       44235        1         1015   
   3.5       31015      100000      422       44072        3         3832   
   3.6       30857      100000      429       44610        2         3681   
   3.7       30867      100000      460       45935        0          0     
   3.8       30687      100000      436       44870        3         3330   
   3.9       30531      100000      442       45742        2         2269   
   4.0       30760      100000      437       45813        1         1054   
   4.1       30575      100000      441       45850        1         1078   
   4.2       30965      100000      445       45809        4         4778   
   4.3       30734      100000      414       45438        3         3764   
   4.4       30870      100000      443       45811        2         2247   
   4.5       30794      100000      453       44948        1         1165   
   4.6       30999      100000      460       44649        4         4214   
   4.7       30704      100000      446       44924        2         2455   
   4.8       30767      100000      408       45337        4         4433   
   4.9       30738      100000      435       45109        5         5928   
   5.0       30672      100000      439       45614        5         6311   
   5.1       30883      100000      429       44431        2         2378   
   5.2       30793      100000      415       45423        5         5925   
   5.3       30914      100000      450       44522        0          0     
   5.4       30536      100000      442       45013        2         2173   
   5.5       30685      100000      423       45473        4         5137   
   5.6       30684      100000      429       45746        2         2753   
   5.7       30520      100000      461       46293        4         4912   
   5.8       30402      100000      444       46034        3         4198   
   5.9       30774      100000      427       44502        3         4261   
   6.0       31132      100000      441       44198        2         2625   
   6.1       30885      100000      433       44987        4         5874   
   6.2       30686      100000      442       45711        3         4647   
   6.3       30686      100000      448       45712        1         1143   
   6.4       30508      100000      470       45632        2         2221   
   6.5       30696      100000      442       45761        1         1198   
   6.6       30858      100000      473       45209        0          0     
