 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   0.0       90953      100000       0          0     
   0.1       21551      100000      827       51070   
   0.2       21657      100000      814       52131   
   0.3       21623      100000      793       50863   
   0.4       21746      100000      810       52100   
   0.5       21468      100000      779       51699   
   0.6       21759      100000      766       51007   
   0.7       21732      100000      800       51573   
   0.8       21613      100000      792       51452   
   0.9       21671      100000      799       51593   
   1.0       21719      100000      840       51871   
   1.1       21556      100000      810       51395   
   1.2       21612      100000      802       51670   
   1.3       21600      100000      806       51490   
   1.4       21668      100000      799       51153   
   1.5       21629      100000      801       51822   
   1.6       21669      100000      782       50832   
   1.7       21685      100000      805       51798   
   1.8       21682      100000      828       51487   
   1.9       21759      100000      769       51098   
   2.0       21647      100000      795       51282   
   2.1       21786      100000      814       50487   
   2.2       21898      100000      776       51875   
   2.3       22013      100000      776       49778   
   2.4       22317      100000      744       50182   
   2.5       22068      100000      722       49739   
   2.6       22232      100000      719       50127   
   2.7       22575      100000      728       49673   
   2.8       22616      100000      680       48822   
   2.9       22684      100000      690       48806   
   3.0       23067      100000      664       48610   
   3.1       22882      100000      625       48985   
   3.2       23107      100000      646       48321   
   3.3       23200      100000      620       48530   
   3.4       23638      100000      589       47508   
   3.5       23578      100000      574       47698   
   3.6       23963      100000      540       46654   
   3.7       23933      100000      509       47025   
   3.8       24165      100000      463       46463   
   3.9       24288      100000      422       46310   
   4.0       24334      100000      413       46415   
   4.1       24677      100000      360       46240   
   4.2       24760      100000      344       46730   
   4.3       24771      100000      301       47472   
   4.4       24751      100000      262       47453   
   4.5       25063      100000      210       48070   
   4.6       24990      100000      187       49170   
   4.7       24768      100000      138       50085   
   4.8       24334      100000      137       52234   
   4.9       24443      100000       76       52524   
   5.0       24296      100000       52       54126   
   5.1       23700      100000       52       56386   
   5.2       23346      100000       35       58001   
   5.3       23154      100000       18       59747   
   5.4       22687      100000       17       61833   
   5.5       22133      100000       10       63615   
   5.6       21478      100000       11       65623   
   5.7       20993      100000       7        67340   
   5.8       20154      100000       6        69073   
   5.9       19561      100000       3        70703   
   6.0       19068      100000       1        72308   
   6.1       18287      100000       2        73894   
   6.2       17649      100000       1        75350   
   6.3       17041      100000       1        76651   
   6.4       16304      100000       1        77999   
   6.5       15662      100000       1        79157   
   6.6       15149      100000       1        80254   
   6.7       14555      100000       1        81177   
   6.8       14105      100000       1        81888   
   6.9       13882      100000       1        82494   
   7.0       13538      100000       1        82957   
   7.1       13179      100000       1        83492   
   7.2       12914      100000       1        83987   
   7.3       12758      100000       1        84215   
   7.4       12550      100000       1        84470   
   7.5       12495      100000       1        84588   
   7.6       12515      100000       1        84440   
   7.7       12634      100000       1        84296   
   7.8       12683      100000       1        84272   
   7.9       12789      100000       1        84131   
   8.0       12856      100000       1        83929   
   8.1       13050      100000       1        83711   
   8.2       13129      100000       1        83460   
   8.3       13161      100000       1        83473   
   8.4       13046      100000       1        83631   
   8.5       12999      100000       1        83692   
   8.6       13204      100000       1        83607   
   8.7       13216      100000       1        83435   
   8.8       13135      100000       1        83481   
   8.9       13131      100000       1        83408   
   9.0       13152      100000       1        83505   
   9.1       13073      100000       1        83646   
   9.2       12978      100000       1        83779   
   9.3       12802      100000       1        83987   
   9.4       12781      100000       1        84079   
   9.5       12860      100000       1        83883   
   9.6       12932      100000       1        83864   
   9.7       12871      100000       1        83920   
   9.8       12988      100000       1        83736   
   9.9       13076      100000       1        83646   
   10.0      13173      100000       1        83380   
   10.1      13251      100000       1        83184   
   10.2      13464      100000       1        83100   
   10.3      13438      100000       1        83040   
   10.4      13547      100000       1        83023   
   10.5      13288      100000       1        83292   
   10.6      13176      100000       1        83582   
   10.7      13146      100000       1        83579   
   10.8      12973      100000       1        83558   
   10.9      13085      100000       1        83432   
