 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       83163      100000       0          0          0          0     
   0.1       12440      100000      474       73940        12       18264   
   0.2       12556      100000      439       73616        18       29522   
   0.3       12635      100000      453       73162        17       29882   
   0.4       12958      100000      463       72215        16       26288   
   0.5       13230      100000      500       71299        17       26211   
   0.6       13417      100000      477       71385        16       27946   
   0.7       13414      100000      469       70913        17       33639   
   0.8       13670      100000      471       70386        16       32370   
   0.9       14466      100000      475       67943        15       30651   
   1.0       14923      100000      491       66686        12       30944   
   1.1       15298      100000      482       66049        11       34685   
   1.2       16141      100000      432       64465        8        37392   
   1.3       16631      100000      364       63403        9        44032   
   1.4       17033      100000      288       63464        8        48749   
   1.5       17508      100000      207       64497        8        54327   
   1.6       17141      100000      147       65841        7        59691   
   1.7       17016      100000       93       67736        6        63795   
   1.8       16498      100000       62       70625        5        68676   
   1.9       15864      100000       26       73081        5        72496   
   2.0       15108      100000       6        75893        4        75841   
   2.1       14218      100000       4        78406        4        78406   
   2.2       13557      100000       4        80301        4        80301   
   2.3       12950      100000       5        81637        4        81604   
   2.4       12558      100000       4        82751        4        82751   
   2.5       12041      100000       4        83797        4        83797   
   2.6       11489      100000       4        84610        4        84610   
   2.7       11229      100000       6        85079        5        85046   
   2.8       11053      100000       4        85302        4        85302   
   2.9       10878      100000       3        85671        3        85671   
   3.0       11013      100000       4        85752        4        85752   
   3.1       10918      100000       4        85719        4        85719   
   3.2       11012      100000       4        85633        4        85633   
   3.3       11256      100000       4        85251        4        85251   
   3.4       11103      100000       5        85242        5        85242   
   3.5       11471      100000       5        84686        5        84686   
   3.6       11264      100000       6        84991        5        84969   
   3.7       11236      100000       5        84947        5        84947   
   3.8       11417      100000       5        84820        4        84041   
   3.9       11578      100000       6        84400        4        84353   
   4.0       11390      100000       4        84841        4        84841   
   4.1       11251      100000       4        85165        4        85165   
   4.2       11211      100000       4        85124        4        85124   
   4.3       11271      100000       4        85104        4        85104   
   4.4       11025      100000       4        85598        4        85598   
   4.5       10842      100000       4        85740        4        85740   
   4.6       11014      100000       4        85594        4        85594   
   4.7       11082      100000       4        85390        4        85390   
   4.8       11060      100000       4        85504        4        85504   
   4.9       10928      100000       4        85638        4        85638   
   5.0       10994      100000       4        85610        4        85610   
   5.1       10991      100000       4        85787        4        85787   
   5.2       10915      100000       4        85704        4        85704   
   5.3       11051      100000       4        85347        4        85347   
   5.4       11229      100000       4        85291        4        85291   
   5.5       11148      100000       4        85195        4        85195   
   5.6       11318      100000       4        84991        4        84991   
   5.7       11337      100000       4        84758        4        84758   
   5.8       11601      100000       4        84511        4        84511   
   5.9       11584      100000       4        84441        4        84441   
   6.0       11602      100000       4        84399        4        84399   
   6.1       11664      100000       4        84278        4        84278   
   6.2       11629      100000       4        84493        4        84493   
   6.3       11429      100000       4        84762        4        84762   
   6.4       11275      100000       5        84999        4        84972   
   6.5       11075      100000       4        85232        4        85232   
   6.6       11061      100000       4        85511        4        85511   
   6.7       11151      100000       4        85363        4        85363   
   6.8       11075      100000       4        85533        4        85533   
   6.9       11158      100000       5        85480        4        85456   
   7.0       11040      100000       4        85600        4        85600   
   7.1       11048      100000       4        85344        4        85344   
   7.2       11045      100000       4        85431        4        85431   
   7.3       11453      100000       6        84474        3        83713   
   7.4       11836      100000       3        83989        3        83989   
   7.5       11564      100000       3        84517        3        84517   
   7.6       11531      100000       3        84643        3        84643   
   7.7       11227      100000       3        85226        3        85226   
   7.8       10966      100000       3        85788        3        85788   
   7.9       10768      100000       3        85963        3        85963   
   8.0       10888      100000       3        85730        3        85730   
   8.1       10821      100000       3        85796        3        85796   
   8.2       10818      100000       4        85919        3        85896   
   8.3       10671      100000       3        86114        3        86114   
   8.4       10742      100000       3        86143        3        86143   
   8.5       10601      100000       3        86465        3        86465   
   8.6       10463      100000       4        86694        3        86672   
