 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   18.6      15359      100000       5        78755   
   18.7      15119      100000       4        78676   
   18.8      15416      100000       4        78480   
   18.9      15434      100000       4        78331   
   19.0      15563      100000       5        78271   
   19.1      15395      100000       5        78344   
   19.2      15450      100000       4        78419   
   19.3      15385      100000       4        78406   
   19.4      15203      100000       4        78610   
   19.5      15348      100000       5        78609   
   19.6      15255      100000       4        78465   
   19.7      15213      100000       4        78702   
   19.8      15403      100000       4        78495   
   19.9      15339      100000       4        78390   
   20.0      15402      100000       4        78502   
   20.1      15401      100000       4        78218   
   20.2      15330      100000       4        78546   
   20.3      15304      100000       4        78689   
   20.4      15250      100000       5        78723   
   20.5      15214      100000       4        78908   
   20.6      15182      100000       4        78967   
   20.7      14993      100000       4        78898   
   20.8      15210      100000       4        78929   
   20.9      15377      100000       4        78633   
   21.0      15358      100000       4        78588   
   21.1      15301      100000       4        78709   
   21.2      15239      100000       4        78922   
   21.3      15037      100000       6        79366   
   21.4      14878      100000       4        79370   
   21.5      14895      100000       5        79509   
   21.6      15035      100000       4        79458   
   21.7      14851      100000       4        79554   
   21.8      14862      100000       4        79442   
   21.9      14931      100000       4        79151   
   22.0      15203      100000       4        79001   
   22.1      15120      100000       5        78825   
   22.2      15473      100000       5        78660   
   22.3      15226      100000       4        78529   
   22.4      15428      100000       4        78398   
   22.5      15574      100000       5        78332   
   22.6      15424      100000       4        78381   
   22.7      15543      100000       5        78419   
   22.8      15422      100000       5        78116   
   22.9      15661      100000       5        78010   
   23.0      15579      100000       5        77957   
   23.1      15605      100000       4        78096   
   23.2      15414      100000       4        78233   
   23.3      15490      100000       5        78065   
   23.4      15512      100000       5        78128   
   23.5      15331      100000       4        78234   
   23.6      15514      100000       4        78232   
   23.7      15303      100000       7        78413   
   23.8      15473      100000       4        78311   
   23.9      15430      100000       5        78349   
   24.0      15330      100000       4        78283   
   24.1      15459      100000       6        78242   
   24.2      15438      100000       6        78233   
   24.3      15445      100000       5        78280   
   24.4      15377      100000       4        78466   
   24.5      15309      100000       4        78446   
   24.6      15222      100000       4        78708   
   24.7      15257      100000       4        78469   
   24.8      15304      100000       4        78621   
   24.9      15418      100000       4        78457   
   25.0      15263      100000       4        78707   
   25.1      15179      100000       7        78755   
   25.2      15358      100000       4        78568   
   25.3      15346      100000       6        78661   
   25.4      15345      100000       5        78575   
   25.5      15402      100000       5        78492   
   25.6      15420      100000       4        78332   
   25.7      15288      100000       5        78473   
