 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       75962      100000       0          0          0          0     
   0.1        9447      100000      119       82944        7        74183   
   0.2        9915      100000      160       81644        7        65634   
   0.3       10380      100000      179       80719        12       63817   
   0.4       10424      100000      188       80047        11       65949   
   0.5       10818      100000      207       79349        8        65518   
   0.6       10994      100000      220       78284        17       65119   
   0.7       11230      100000      214       78238        13       63285   
   0.8       11465      100000      260       77751        15       59106   
   0.9       11885      100000      254       76798        17       60843   
   1.0       12391      100000      234       75586        21       59973   
   1.1       12923      100000      225       73989        22       59073   
   1.2       13222      100000      243       73846        18       60552   
   1.3       13659      100000      249       72928        22       57436   
   1.4       13824      100000      210       72969        20       62389   
   1.5       14072      100000      181       72863        21       64328   
   1.6       14379      100000      117       72401        22       66740   
   1.7       14064      100000      104       74526        20       70594   
   1.8       13936      100000       91       74982        20       70841   
   1.9       13685      100000       61       76006        19       73360   
   2.0       13423      100000       46       76975        18       74429   
   2.1       13168      100000       38       78475        14       76183   
   2.2       12760      100000       26       79292        13       76634   
   2.3       12583      100000       23       80001        12       76701   
   2.4       12583      100000       26       80272        11       77294   
   2.5       12596      100000       24       80130        12       77791   
   2.6       12678      100000       18       79994        13       78450   
   2.7       12631      100000       22       80339        13       78524   
   2.8       12590      100000       21       80573        13       79404   
   2.9       12499      100000       19       80466        12       79746   
   3.0       12285      100000       19       80577        11       80200   
   3.1       12319      100000       18       80850        12       80689   
   3.2       12534      100000       18       80887        12       80746   
   3.3       12370      100000       16       81011        12       80921   
   3.4       12010      100000       15       81725        11       81631   
   3.5       11895      100000       11       81922        11       81922   
   3.6       11926      100000       12       82160        11       82139   
   3.7       11955      100000       11       82082        11       82082   
   3.8       11926      100000       15       82097        11       81993   
   3.9       12043      100000       11       81975        11       81975   
   4.0       12056      100000       12       81976        11       81955   
   4.1       11845      100000       11       82323        11       82323   
   4.2       11987      100000       12       82311        11       82286   
   4.3       12056      100000       12       82232        9        82156   
   4.4       11978      100000       13       82036        9        81947   
   4.5       12082      100000       14       81913        10       81791   
   4.6       12075      100000       14       81772        10       81678   
   4.7       12135      100000       12       81626        10       81569   
   4.8       12137      100000       11       81568        9        81520   
   4.9       12332      100000       13       81201        11       81133   
   5.0       12114      100000       11       81370        10       81349   
   5.1       12158      100000       14       81649        10       81550   
   5.2       12085      100000       14       82018        10       81923   
   5.3       11912      100000       11       82123        9        82079   
   5.4       12082      100000       12       82116        9        81383   
   5.5       11920      100000       13       82359        9        81766   
   5.6       12029      100000       13       82139        10       81761   
   5.7       12003      100000       13       82142        10       82032   
   5.8       12075      100000       14       81930        11       81858   
   5.9       12134      100000       15       82178        11       82067   
   6.0       11932      100000       12       82355        11       82334   
   6.1       11940      100000       11       82461        11       82461   
   6.2       11828      100000       13       82268        10       82195   
   6.3       11946      100000       9        82357        9        82357   
   6.4       11745      100000       12       82569        9        82478   
   6.5       11807      100000       10       82567        9        82543   
   6.6       11961      100000       10       82423        10       82423   
   6.7       11934      100000       11       82328        9        82285   
   6.8       11828      100000       13       82506        10       82431   
   6.9       11891      100000       10       82306        10       82306   
   7.0       11700      100000       10       82564        10       82564   
   7.1       11951      100000       10       82451        10       82451   
   7.2       11864      100000       13       82699        9        82605   
   7.3       11708      100000       11       83039        10       83013   
   7.4       11577      100000       11       82978        8        82075   
   7.5       11741      100000       11       82655        8        81857   
   7.6       11905      100000       11       82333        9        81714   
   7.7       11906      100000       10       82398        8        81891   
   7.8       12103      100000       11       82096        9        81715   
   7.9       12265      100000       14       81614        9        81422   
   8.0       12376      100000       10       81341        8        81296   
   8.1       12439      100000       10       81514        8        81455   
   8.2       12277      100000       11       81724        8        81654   
   8.3       12109      100000       9        81906        8        81882   
   8.4       12037      100000       8        81980        8        81980   
   8.5       12160      100000       8        82122        7        82101   
   8.6       12077      100000       7        82225        7        82225   
   8.7       12027      100000       7        82449        7        82449   
   8.8       12036      100000       12       82365        8        82277   
   8.9       11909      100000       8        82308        7        82285   
   9.0       12013      100000       8        82283        7        82260   
   9.1       11910      100000       7        82328        7        82328   
   9.2       11955      100000       8        82495        7        82471   
   9.3       11818      100000       10       82656        7        82591   
   9.4       11969      100000       8        82474        7        82453   
   9.5       11990      100000       9        82302        7        82259   
   9.6       12173      100000       11       81873        6        80831   
   9.7       12056      100000       10       82048        6        81268   
   9.8       11774      100000       8        82537        6        81835   
   9.9       11880      100000       9        82778        6        82235   
   10.0      11856      100000       10       82823        6        82534   
   10.1      11738      100000       8        83016        6        82952   
   10.2      11649      100000       9        83166        6        83092   
   10.3      11632      100000       7        83376        6        83354   
   10.4      11561      100000       7        83491        6        83465   
   10.5      11364      100000       6        83726        6        83726   
   10.6      11391      100000       6        83890        6        83890   
   10.7      11185      100000       6        84060        6        84060   
   10.8      11347      100000       6        83760        6        83760   
   10.9      11515      100000       7        83627        6        83605   
   11.0      11450      100000       6        83475        6        83475   
   11.1      11584      100000       6        83362        6        83362   
   11.2      11391      100000       9        83441        6        83374   
   11.3      11583      100000       7        83240        6        83219   
   11.4      11552      100000       7        83432        6        83410   
   11.5      11508      100000       9        83354        6        83287   
   11.6      11626      100000       6        83438        6        83438   
   11.7      11585      100000       8        83453        6        83406   
   11.8      11662      100000       8        83152        6        83110   
   11.9      11684      100000       9        83307        6        83243   
   12.0      11727      100000       5        83181        5        83181   
   12.1      11663      100000       7        83210        6        83184   
   12.2      11637      100000       8        83333        6        83288   
   12.3      11489      100000       7        83422        6        83400   
   12.4      11663      100000       7        83158        6        83133   
   12.5      11848      100000       6        82926        6        82926   
   12.6      11804      100000       6        83041        6        83041   
   12.7      11734      100000       7        83268        6        83244   
   12.8      11664      100000       6        83455        6        83455   
   12.9      11633      100000       6        83269        6        83269   
   13.0      11728      100000       8        83268        6        83217   
   13.1      11575      100000       6        83321        6        83321   
   13.2      11735      100000       6        83167        5        83146   
   13.3      11697      100000       7        83088        5        83044   
   13.4      11624      100000       6        83234        5        83211   
   13.5      11608      100000       7        83262        5        83216   
   13.6      11694      100000       5        83115        5        83115   
   13.7      11708      100000       6        82872        5        82842   
   13.8      11761      100000       6        82838        5        82813   
   13.9      11619      100000       6        82899        5        82878   
   14.0      11707      100000       11       82992        5        82850   
   14.1      11639      100000       7        82939        5        82882   
   14.2      11871      100000       7        82787        5        82737   
   14.3      11965      100000       5        82619        5        82619   
   14.4      11912      100000       6        82484        4        81460   
   14.5      11983      100000       6        82514        4        81570   
   14.6      12026      100000       5        82407        4        81700   
   14.7      11844      100000       5        82676        4        82095   
   14.8      11845      100000       6        82671        4        82182   
   14.9      11773      100000       8        82796        5        82408   
   15.0      11740      100000       9        82863        5        82752   
   15.1      11655      100000       5        83082        5        83082   
   15.2      11754      100000       7        83144        5        83091   
   15.3      11704      100000       5        83338        5        83338   
   15.4      11566      100000       4        83646        4        83646   
   15.5      11232      100000       4        83934        4        83934   
   15.6      11364      100000       4        84027        4        84027   
   15.7      11258      100000       5        84145        4        84124   
   15.8      11307      100000       4        84108        4        84108   
   15.9      11298      100000       5        84111        4        84083   
   16.0      11253      100000       5        83908        4        83885   
   16.1      11352      100000       5        83793        4        83771   
   16.2      11434      100000       4        83820        4        83820   
   16.3      11472      100000       4        83816        4        83816   
   16.4      11432      100000       5        83863        4        83838   
   16.5      11439      100000       4        83877        4        83877   
   16.6      11416      100000       4        83623        4        83623   
   16.7      11561      100000       4        83707        4        83707   
   16.8      11456      100000       5        83680        4        83644   
   16.9      11439      100000       4        83844        4        83844   
   17.0      11394      100000       5        83847        4        83826   
   17.1      11360      100000       5        83997        4        83973   
   17.2      11263      100000       4        84005        4        84005   
   17.3      11304      100000       4        84087        4        84087   
   17.4      11496      100000       4        83663        4        83663   
   17.5      11436      100000       6        83781        4        83729   
   17.6      11355      100000       5        83845        4        83824   
   17.7      11279      100000       4        83846        4        83846   
   17.8      11357      100000       4        83803        4        83803   
   17.9      11297      100000       4        83897        4        83897   
   18.0      11347      100000       5        83823        4        83802   
   18.1      11346      100000       5        83886        4        83861   
   18.2      11150      100000       4        84123        4        84123   
   18.3      11237      100000       5        84160        4        84136   
   18.4      11410      100000       4        83971        4        83971   
   18.5      11228      100000       5        84175        4        84153   
   18.6      11357      100000       6        84060        4        84004   
   18.7      11419      100000       5        83775        4        83752   
   18.8      11385      100000       4        83934        4        83934   
