 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   0.0       87752      100000       0          0     
   0.1       16997      100000      670       65225   
   0.2       16945      100000      619       65276   
   0.3       17017      100000      620       64274   
   0.4       17293      100000      600       64342   
   0.5       17255      100000      573       63921   
   0.6       17241      100000      601       63772   
   0.7       17474      100000      563       63940   
   0.8       17575      100000      606       63647   
   0.9       17561      100000      578       63356   
   1.0       17655      100000      566       63169   
   1.1       17749      100000      564       62475   
   1.2       17663      100000      534       62373   
   1.3       17875      100000      601       62244   
   1.4       17843      100000      564       62343   
   1.5       18108      100000      573       61666   
   1.6       18517      100000      549       60613   
   1.7       18499      100000      550       60776   
   1.8       18585      100000      535       60551   
   1.9       19026      100000      508       59243   
   2.0       19178      100000      492       59754   
   2.1       19736      100000      494       58345   
   2.2       20024      100000      416       58061   
   2.3       20014      100000      402       58372   
   2.4       20215      100000      329       57780   
   2.5       20424      100000      284       58259   
   2.6       20198      100000      246       59810   
   2.7       20634      100000      167       59604   
   2.8       20326      100000      154       61656   
   2.9       19692      100000       95       63203   
   3.0       19344      100000       73       65025   
   3.1       19507      100000       41       66269   
   3.2       18673      100000       31       68351   
   3.3       18168      100000       15       70618   
   3.4       17368      100000       14       72778   
   3.5       16684      100000       12       74496   
   3.6       16312      100000       10       75609   
   3.7       16128      100000       8        76381   
   3.8       15684      100000       8        77095   
   3.9       15465      100000       7        78013   
   4.0       15247      100000       6        78407   
   4.1       15053      100000       7        78991   
   4.2       14691      100000       6        79478   
   4.3       14491      100000       6        79961   
   4.4       14634      100000       6        79853   
   4.5       14357      100000       6        80113   
   4.6       14426      100000       7        80076   
   4.7       14618      100000       6        79622   
   4.8       14712      100000       6        79680   
   4.9       14491      100000       6        79980   
   5.0       14461      100000       6        79927   
   5.1       14562      100000       6        79823   
   5.2       14548      100000       6        79941   
   5.3       14492      100000       8        79849   
   5.4       14497      100000       7        79837   
   5.5       14728      100000       6        79552   
   5.6       14573      100000       7        79536   
   5.7       14794      100000       6        79402   
   5.8       15000      100000       6        78928   
   5.9       15041      100000       6        78640   
   6.0       15097      100000       7        78675   
   6.1       15014      100000       6        78851   
   6.2       14995      100000       8        79106   
   6.3       14993      100000       10       78824   
   6.4       15103      100000       6        78894   
   6.5       15035      100000       7        78877   
   6.6       15098      100000       6        79054   
   6.7       14848      100000       7        79214   
   6.8       14979      100000       6        79288   
   6.9       14776      100000       6        79286   
   7.0       14746      100000       6        79497   
   7.1       14705      100000       6        79476   
   7.2       14723      100000       7        79376   
   7.3       14709      100000       9        79569   
   7.4       14778      100000       5        79277   
   7.5       14772      100000       6        79509   
   7.6       14710      100000       5        79537   
   7.7       14806      100000       6        79735   
   7.8       14625      100000       5        79764   
   7.9       14740      100000       5        79671   
   8.0       14676      100000       5        79596   
   8.1       14665      100000       6        79515   
   8.2       14743      100000       5        79670   
   8.3       14702      100000       5        79610   
   8.4       14729      100000       5        79494   
   8.5       14827      100000       6        79548   
   8.6       14733      100000       5        79669   
   8.7       14697      100000       5        79724   
   8.8       14471      100000       5        80088   
   8.9       14384      100000       5        80372   
   9.0       14264      100000       5        80554   
   9.1       14116      100000       5        80726   
   9.2       14394      100000       5        80239   
   9.3       14456      100000       8        79913   
   9.4       14660      100000       5        79481   
   9.5       14795      100000       7        79469   
   9.6       14706      100000       5        79586   
   9.7       14722      100000       7        79609   
   9.8       14638      100000       5        79882   
   9.9       14410      100000       5        80262   
   10.0      14158      100000       7        80711   
   10.1      14065      100000       5        80895   
   10.2      13969      100000       5        80930   
   10.3      14054      100000       5        81053   
   10.4      14008      100000       5        81042   
   10.5      14153      100000       5        80800   
   10.6      14153      100000       5        80677   
   10.7      14242      100000       6        80551   
   10.8      14072      100000       6        80515   
   10.9      14463      100000       5        80152   
   11.0      14646      100000       5        79940   
   11.1      14570      100000       7        79862   
   11.2      14620      100000       6        79744   
   11.3      14586      100000       6        79680   
   11.4      14632      100000       5        79493   
   11.5      14894      100000       5        79468   
   11.6      14725      100000       7        79632   
   11.7      14799      100000       5        79574   
   11.8      14910      100000       8        79470   
   11.9      14850      100000       5        79379   
   12.0      14640      100000       6        79452   
   12.1      14806      100000       6        79388   
   12.2      15010      100000       4        79090   
   12.3      14864      100000       3        79265   
   12.4      14855      100000       3        79440   
   12.5      14633      100000       3        79634   
   12.6      14664      100000       4        79910   
   12.7      14357      100000       3        80284   
   12.8      14360      100000       3        80420   
   12.9      14292      100000       3        80678   
   13.0      14116      100000       3        80799   
   13.1      14046      100000       3        80987   
   13.2      13842      100000       3        81212   
   13.3      13936      100000       3        81141   
   13.4      13793      100000       3        81397   
   13.5      13746      100000       4        81618   
   13.6      13677      100000       3        81622   
   13.7      13694      100000       3        81543   
   13.8      13760      100000       3        81530   
   13.9      13857      100000       3        81270   
   14.0      13968      100000       3        81110   
   14.1      14048      100000       3        80863   
   14.2      13931      100000       3        80988   
   14.3      14100      100000       4        80756   
   14.4      14365      100000       3        80418   
   14.5      14312      100000       3        80539   
   14.6      14367      100000       3        80653   
   14.7      14201      100000       3        80594   
   14.8      13950      100000       3        80661   
   14.9      14228      100000       4        80822   
   15.0      14022      100000       3        80914   
   15.1      14134      100000       4        80786   
   15.2      14299      100000       4        80585   
   15.3      14417      100000       3        80098   
   15.4      14435      100000       2        80166   
   15.5      14505      100000       2        80082   
   15.6      14453      100000       2        80288   
   15.7      14282      100000       2        80646   
   15.8      14091      100000       2        80909   
   15.9      13861      100000       2        81410   
   16.0      13909      100000       2        81415   
   16.1      13719      100000       3        81545   
   16.2      13753      100000       2        81622   
   16.3      13697      100000       3        81668   
   16.4      13615      100000       2        81519   
   16.5      13710      100000       2        81507   
   16.6      13709      100000       2        81496   
   16.7      13964      100000       2        81372   
   16.8      13913      100000       2        81233   
   16.9      14084      100000       2        80961   
   17.0      13904      100000       2        81114   
   17.1      14107      100000       2        81215   
   17.2      13955      100000       2        81155   
   17.3      13814      100000       2        81345   
   17.4      13886      100000       2        81425   
   17.5      13677      100000       2        81656   
   17.6      13623      100000       2        81854   
   17.7      13624      100000       3        81837   
   17.8      13679      100000       2        81820   
   17.9      13743      100000       2        81687   
   18.0      13726      100000       2        81508   
   18.1      13772      100000       3        81523   
   18.2      13651      100000       2        81538   
   18.3      13626      100000       2        81874   
   18.4      13699      100000       2        81774   
   18.5      13770      100000       2        81552   
   18.6      13770      100000       3        81703   
   18.7      13651      100000       2        81863   
   18.8      13563      100000       2        82061   
   18.9      13639      100000       2        82034   
   19.0      13566      100000       2        81805   
   19.1      13521      100000       2        81956   
   19.2      13723      100000       2        81569   
   19.3      13766      100000       2        81701   
   19.4      13683      100000       2        81678   
   19.5      13809      100000       2        81598   
   19.6      13875      100000       2        81581   
   19.7      13809      100000       2        81632   
   19.8      13724      100000       2        81612   
   19.9      13744      100000       2        81653   
   20.0      13765      100000       2        81459   
   20.1      13913      100000       2        81530   
   20.2      13874      100000       2        81520   
   20.3      13578      100000       2        81620   
   20.4      13701      100000       2        81764   
   20.5      13656      100000       2        82047   
   20.6      13513      100000       2        81896   
   20.7      13548      100000       2        81938   
   20.8      13571      100000       2        82015   
   20.9      13596      100000       2        82037   
   21.0      13444      100000       2        82026   
   21.1      13456      100000       2        82106   
   21.2      13437      100000       2        82229   
   21.3      13422      100000       3        82216   
   21.4      13307      100000       2        82368   
   21.5      13248      100000       2        82473   
   21.6      13448      100000       2        82257   
   21.7      13381      100000       2        82252   
   21.8      13318      100000       2        82410   
   21.9      13285      100000       2        82425   
   22.0      13317      100000       2        82516   
   22.1      13266      100000       2        82605   
   22.2      13213      100000       2        82718   
   22.3      13118      100000       2        82883   
   22.4      13174      100000       2        82841   
   22.5      13114      100000       2        82819   
   22.6      13161      100000       2        82762   
   22.7      13178      100000       3        82695   
   22.8      13251      100000       2        82555   
   22.9      13174      100000       2        82613   
   23.0      13335      100000       2        82494   
   23.1      13200      100000       3        82735   
   23.2      13170      100000       2        82721   
   23.3      13207      100000       3        82652   
   23.4      13265      100000       2        82497   
   23.5      13341      100000       2        82401   
   23.6      13241      100000       3        82538   
   23.7      13396      100000       2        82373   
   23.8      13298      100000       2        82398   
   23.9      13358      100000       2        82259   
   24.0      13294      100000       2        82297   
   24.1      13362      100000       2        82328   
   24.2      13380      100000       2        82344   
   24.3      13360      100000       4        82290   
   24.4      13332      100000       2        82231   
   24.5      13423      100000       3        82338   
   24.6      13389      100000       2        82425   
   24.7      13289      100000       2        82549   
   24.8      13228      100000       2        82475   
   24.9      13256      100000       2        82608   
   25.0      13075      100000       2        82665   
   25.1      13203      100000       2        82545   
   25.2      13278      100000       2        82469   
   25.3      13244      100000       2        82356   
   25.4      13404      100000       2        82206   
   25.5      13417      100000       2        82369   
   25.6      13350      100000       2        82272   
   25.7      13421      100000       2        82173   
   25.8      13406      100000       2        82303   
   25.9      13487      100000       2        82067   
   26.0      13512      100000       2        82070   
   26.1      13483      100000       2        82065   
   26.2      13474      100000       2        81888   
   26.3      13690      100000       2        81705   
   26.4      13679      100000       2        81698   
   26.5      13573      100000       2        81901   
   26.6      13536      100000       2        81882   
   26.7      13663      100000       2        81929   
   26.8      13605      100000       2        81979   
   26.9      13437      100000       2        82001   
   27.0      13576      100000       2        81966   
   27.1      13618      100000       2        81907   
   27.2      13624      100000       2        81858   
   27.3      13601      100000       2        81952   
   27.4      13499      100000       3        81878   
   27.5      13558      100000       3        81881   
   27.6      13418      100000       2        82075   
   27.7      13294      100000       2        82258   
   27.8      13564      100000       2        82136   
   27.9      13568      100000       2        82136   
   28.0      13332      100000       2        82224   
   28.1      13336      100000       2        82161   
   28.2      13346      100000       2        82298   
   28.3      13277      100000       2        82374   
   28.4      13366      100000       2        82346   
   28.5      13307      100000       2        82333   
   28.6      13465      100000       2        82157   
   28.7      13568      100000       2        81753   
   28.8      13808      100000       2        81517   
   28.9      13876      100000       2        81384   
   29.0      13951      100000       2        81033   
   29.1      14104      100000       3        80969   
   29.2      14026      100000       3        81274   
   29.3      13937      100000       2        81129   
   29.4      14099      100000       2        81143   
   29.5      14004      100000       2        81181   
   29.6      13905      100000       2        81315   
   29.7      13816      100000       3        81472   
   29.8      13947      100000       2        81306   
   29.9      13933      100000       2        81236   
   30.0      14020      100000       2        81197   
   30.1      13851      100000       2        81457   
   30.2      13860      100000       2        81435   
   30.3      13707      100000       2        81736   
   30.4      13525      100000       2        82066   
   30.5      13354      100000       2        82324   
   30.6      13457      100000       2        82363   
   30.7      13171      100000       2        82568   
   30.8      13199      100000       2        82536   
   30.9      13189      100000       2        82579   
   31.0      13242      100000       2        82561   
   31.1      13359      100000       2        82473   
   31.2      13215      100000       2        82547   
   31.3      13297      100000       2        82494   
   31.4      13399      100000       3        82392   
   31.5      13413      100000       2        82328   
   31.6      13396      100000       2        82392   
   31.7      13338      100000       2        82390   
   31.8      13359      100000       2        82475   
   31.9      13222      100000       2        82420   
   32.0      13397      100000       2        82150   
   32.1      13536      100000       2        81926   
   32.2      13559      100000       2        81912   
   32.3      13673      100000       2        81774   
   32.4      13824      100000       2        81545   
   32.5      13780      100000       2        81590   
   32.6      13737      100000       2        81652   
   32.7      13690      100000       2        81694   
   32.8      13698      100000       2        81868   
   32.9      13443      100000       2        82030   
   33.0      13432      100000       2        82111   
   33.1      13500      100000       2        82233   
   33.2      13363      100000       2        82196   
   33.3      13431      100000       2        82196   
   33.4      13409      100000       2        82276   
   33.5      13428      100000       2        82285   
   33.6      13595      100000       2        82230   
   33.7      13375      100000       2        82249   
   33.8      13642      100000       2        82014   
   33.9      13623      100000       2        81864   
   34.0      13665      100000       2        81844   
   34.1      13617      100000       2        81820   
   34.2      13519      100000       2        81813   
