 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       93103      100000       0          0          0          0     
   0.1       37617      100000      691       25435        0          0     
   0.2       36641      100000      656       28366        0          0     
   0.3       36545      100000      631       29509        0          0     
   0.4       35997      100000      660       31577        0          0     
   0.5       36297      100000      634       30750        0          0     
   0.6       36175      100000      636       31217        0          0     
   0.7       36240      100000      609       29955        0          0     
   0.8       36466      100000      611       30505        0          0     
   0.9       36392      100000      589       30091        0          0     
   1.0       35876      100000      600       31458        0          0     
   1.1       36343      100000      597       30606        0          0     
   1.2       36149      100000      614       30827        0          0     
   1.3       36222      100000      592       30863        0          0     
   1.4       36438      100000      596       30560        0          0     
   1.5       36227      100000      595       30816        0          0     
   1.6       35893      100000      608       32339        0          0     
   1.7       35772      100000      602       32162        0          0     
   1.8       35984      100000      591       31285        0          0     
   1.9       35989      100000      598       31583        0          0     
   2.0       35878      100000      583       31197        0          0     
   2.1       35894      100000      593       32222        0          0     
   2.2       35872      100000      576       31708        0          0     
   2.3       35893      100000      588       31781        0          0     
   2.4       35988      100000      588       31657        0          0     
   2.5       35785      100000      591       31432        0          0     
   2.6       36157      100000      580       31008        0          0     
   2.7       36279      100000      604       31183        0          0     
   2.8       35961      100000      602       30957        0          0     
   2.9       36098      100000      607       31306        0          0     
   3.0       36066      100000      594       31865        0          0     
   3.1       36013      100000      591       31487        0          0     
   3.2       36236      100000      601       31402        0          0     
   3.3       36026      100000      608       31175        0          0     
   3.4       36173      100000      580       31005        0          0     
   3.5       36600      100000      577       30273        0          0     
   3.6       36224      100000      609       30900        0          0     
   3.7       36181      100000      603       30873        0          0     
   3.8       36132      100000      574       30953        0          0     
   3.9       36019      100000      557       30291        0          0     
   4.0       35916      100000      586       32242        0          0     
   4.1       36060      100000      604       31712        0          0     
   4.2       35879      100000      578       31811        0          0     
   4.3       36084      100000      609       32042        0          0     
   4.4       35695      100000      623       32286        0          0     
   4.5       36169      100000      597       31133        0          0     
   4.6       36028      100000      589       31176        0          0     
   4.7       36189      100000      609       31649        0          0     
   4.8       35872      100000      581       31557        0          0     
   4.9       35884      100000      605       32109        0          0     
   5.0       36244      100000      591       30544        0          0     
   5.1       36028      100000      583       30758        0          0     
   5.2       35884      100000      586       30933        0          0     
   5.3       35884      100000      605       31667        0          0     
   5.4       35827      100000      607       32060        0          0     
   5.5       36074      100000      627       31041        0          0     
   5.6       36378      100000      585       30265        0          0     
   5.7       36226      100000      565       30838        0          0     
   5.8       36068      100000      604       31043        0          0     
   5.9       36146      100000      596       30786        0          0     
   6.0       36119      100000      604       31508        0          0     
   6.1       36090      100000      570       31047        0          0     
   6.2       35887      100000      593       31404        0          0     
   6.3       35841      100000      588       31331        0          0     
   6.4       36073      100000      568       30544        0          0     
   6.5       36061      100000      600       31350        0          0     
   6.6       36155      100000      547       30534        0          0     
   6.7       36375      100000      599       31016        0          0     
   6.8       35942      100000      550       31040        0          0     
   6.9       36252      100000      578       31004        0          0     
   7.0       35740      100000      584       32245        0          0     
   7.1       36365      100000      573       31352        0          0     
   7.2       35973      100000      599       31303        0          0     
   7.3       35869      100000      612       31470        0          0     
   7.4       35920      100000      609       31560        0          0     
   7.5       35865      100000      596       31710        0          0     
   7.6       35902      100000      614       31629        0          0     
   7.7       36028      100000      591       31374        0          0     
   7.8       35939      100000      614       31218        0          0     
   7.9       35873      100000      619       32219        0          0     
   8.0       35948      100000      580       31344        0          0     
   8.1       36180      100000      597       31123        0          0     
   8.2       36223      100000      601       30993        0          0     
   8.3       35974      100000      590       32485        0          0     
   8.4       36109      100000      593       31422        0          0     
   8.5       36016      100000      595       31821        0          0     
   8.6       35862      100000      599       31450        0          0     
   8.7       36163      100000      558       31596        0          0     
   8.8       36437      100000      582       30992        0          0     
   8.9       35947      100000      593       31473        0          0     
   9.0       35924      100000      598       31830        0          0     
   9.1       35854      100000      578       31237        0          0     
   9.2       36265      100000      587       31215        0          0     
   9.3       36292      100000      578       30957        0          0     
   9.4       35765      100000      629       32098        0          0     
   9.5       36102      100000      591       30919        0          0     
   9.6       36123      100000      615       30858        0          0     
   9.7       36110      100000      606       31315        0          0     
   9.8       36216      100000      600       31402        0          0     
   9.9       35764      100000      594       31567        0          0     
   10.0      36099      100000      596       31003        0          0     
   10.1      36170      100000      600       31316        0          0     
   10.2      35905      100000      601       31162        0          0     
