 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       69190      100000      1471       9064        75        863         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        7560      100000      784       90371       349       87642        55       81834        22       79666        6        76721        5        76115        1        65256        1        65256        1        65256   
   0.2        8148      100000      933       89768       408       86340        75       79737        40       77436        12       71971        9        69919        3        60303        3        60303        0          0     
   0.3        8889      100000      1030      88697       478       85175       101       77905        48       74151        19       68471        15       65930        4        39897        2        26171        0          0     
   0.4        9625      100000      1166      87828       582       84101       111       75380        61       71838        30       65801        24       61903        2        17134        1        11727        0          0     
   0.5       11004      100000      1492      86190       692       81057       117       70068        57       65935        25       59713        20       56224        2        12526        0          0          0          0     
   0.6       12110      100000      1536      84531       650       78874        69       68127        31       65586        21       64114        19       62843        4        27234        0          0          0          0     
   0.7       12547      100000      1320      83634       490       78337        42       70634        22       69317        18       68588        16       67208        4        31527        0          0          0          0     
   0.8       12554      100000      1139      83480       360       78555        18       73178        12       72820        10       72412        10       72412        5        56789        4        50723        0          0     
   0.9       12183      100000      864       83936       227       79921        10       76669        9        76598        9        76598        9        76598        6        65671        4        54285        0          0     
   1.0       12154      100000      781       83968       194       80261        11       77431        10       77352        10       77352        9        76578        5        61900        4        55468        0          0     
   1.1       12295      100000      794       83650       187       79842        11       77341        11       77341        10       77035        10       77035        6        63824        3        45208        0          0     
   1.2       12201      100000      802       83921       187       80071        8        77492        8        77492        8        77492        8        77492        6        70945        3        52034        0          0     
   1.3       12260      100000      726       83914       165       80422        11       78285        10       78217        9        78092        8        77466        6        73586        3        51816        0          0     
   1.4       12139      100000      661       84068       133       80802        7        79040        7        79040        7        79040        7        79040        5        75503        2        53596        0          0     
   1.5       11930      100000      502       84322        94       81839        10       80661        10       80661        9        80547        8        79962        5        72604        3        55985        0          0     
   1.6       11652      100000      490       84861        88       82447        8        81262        6        81120        4        80517        4        80517        4        80517        3        71309        0          0     
   1.7       10964      100000      362       85844        59       84027        5        83347        5        83347        5        83347        5        83347        4        79465        2        60545        0          0     
   1.8       10179      100000      272       86972        19       85497        5        85337        5        85337        5        85337        5        85337        4        81651        2        62277        0          0     
   1.9        9817      100000      229       87558        30       86393        5        86013        5        86013        5        86013        5        86013        4        83048        2        63535        0          0     
   2.0        9692      100000      235       87711        37       86523        5        86120        5        86120        5        86120        5        86120        4        84307        3        74628        0          0     
   2.1        9700      100000      238       87701        28       86440        5        86103        5        86103        5        86103        4        85455        4        85455        2        65868        0          0     
   2.2        9654      100000      196       87832        22       86821        4        86585        4        86585        4        86585        4        86585        4        86585        2        67295        0          0     
   2.3        9068      100000      126       88620        8        87944        4        87885        4        87885        4        87885        4        87885        4        87885        2        68906        0          0     
   2.4        8720      100000      117       89195        10       88581        3        88493        3        88493        3        88493        3        88493        3        88493        3        88493        0          0     
   2.5        8603      100000      107       89333        5        88751        2        88717        2        88717        2        88717        2        88717        2        88717        2        88717        1        70968   
   2.6        8295      100000      100       89718        5        89157        2        89124        2        89124        2        89124        2        89124        2        89124        2        89124        1        71803   
   2.7        8249      100000      100       89778        8        89242        2        89175        2        89175        2        89175        2        89175        2        89175        2        89175        1        72380   
   2.8        8250      100000       93       89893        6        89397        2        89352        2        89352        2        89352        2        89352        2        89352        2        89352        1        73169   
   2.9        8088      100000       89       90025        7        89546        2        89493        2        89493        2        89493        2        89493        2        89493        2        89493        1        73746   
   3.0        8226      100000       76       89757        6        89351        3        89313        3        89313        3        89313        3        89313        3        89313        1        74145        1        74145   
   3.1        8401      100000      105       89596        6        89013        3        88977        3        88977        3        88977        3        88977        3        88977        1        74509        1        74509   
   3.2        8389      100000      119       89552        11       88911        3        88820        3        88820        3        88820        3        88820        3        88820        1        74946        1        74946   
