 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       79367      100000      461        2578        4          44         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1       30828      100000      3099      61570       1493      51399       288       26291        87       12560        0          0          0          0          0          0          0          0          0          0     
   0.2       28676      100000      2588      64437       1232      55788       307       36909       140       24934        2         1212        0          0          0          0          0          0          0          0     
   0.3       27564      100000      2331      65661       1115      57957       293       41612       161       32363        5         2964        0          0          0          0          0          0          0          0     
   0.4       27447      100000      2201      65788       984       58088       296       44417       145       33931        7         5009        1         1310        0          0          0          0          0          0     
   0.5       26868      100000      2042      66418       945       59425       262       45522       150       37572        9         6232        0          0          0          0          0          0          0          0     
   0.6       26750      100000      2024      66438       885       59225       248       46428       143       39176        13        9654        2         2063        0          0          0          0          0          0     
   0.7       26580      100000      2034      66830       906       59701       233       46555       148       40595        19       13431        3         3820        0          0          0          0          0          0     
   0.8       26557      100000      1975      66675       869       59759       220       47459       132       41689        22       17103        3         3853        0          0          0          0          0          0     
   0.9       26472      100000      1945      66861       833       59788       198       47650       131       43041        24       18988        6         7595        0          0          0          0          0          0     
   1.0       26443      100000      1873      66792       795       60023       206       48893       122       43114        19       18385        4         7725        0          0          0          0          0          0     
   1.1       26020      100000      1851      67327       808       60688       204       49220       132       44221        28       21374        5         6315        0          0          0          0          0          0     
   1.2       25899      100000      1773      67542       763       61131       205       50563       128       45001        29       22155        3         3382        0          0          0          0          0          0     
   1.3       25758      100000      1763      67497       721       60869       196       50719       127       46034        29       23602        4         5375        0          0          0          0          0          0     
   1.4       25848      100000      1746      67589       742       61131       177       50716       106       46058        33       29307        6         9153        0          0          0          0          0          0     
   1.5       25762      100000      1718      67584       690       61102       176       51264       114       47009        35       28745        7         9031        0          0          0          0          0          0     
   1.6       25629      100000      1705      67798       699       61405       171       51379       105       46822        30       28402        9        13888        0          0          0          0          0          0     
   1.7       26007      100000      1749      67333       745       60957       184       50190       124       45847        25       21931        8         9884        0          0          0          0          0          0     
   1.8       25794      100000      1843      67747       782       61055       179       49685       113       44951        29       24490        8         9969        0          0          0          0          0          0     
   1.9       26276      100000      1836      67017       780       60363       170       49206       106       44849        26       25782        9        13142        0          0          0          0          0          0     
