 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       90953      100000       0          0          0          0     
   0.1       35460      100000      753       30504        0          0     
   0.2       33773      100000      727       36131        0          0     
   0.3       33323      100000      691       37476        0          0     
   0.4       32964      100000      671       38544        0          0     
   0.5       32999      100000      625       38291        0          0     
   0.6       32922      100000      606       39181        0          0     
   0.7       32990      100000      604       39509        0          0     
   0.8       32569      100000      567       39798        0          0     
   0.9       32826      100000      561       39619        0          0     
   1.0       33001      100000      579       39084        0          0     
   1.1       32564      100000      589       40494        0          0     
   1.2       32625      100000      592       39974        0          0     
   1.3       32493      100000      581       40667        0          0     
   1.4       32453      100000      585       40040        0          0     
   1.5       32582      100000      594       40323        0          0     
   1.6       32521      100000      575       40337        0          0     
   1.7       32460      100000      557       40575        0          0     
   1.8       32721      100000      559       40645        0          0     
   1.9       32476      100000      547       41009        1         1367   
   2.0       32358      100000      574       41039        1         1213   
   2.1       32648      100000      576       40720        0          0     
   2.2       32419      100000      566       41382        0          0     
   2.3       32680      100000      537       40179        0          0     
   2.4       32169      100000      549       41533        0          0     
   2.5       32408      100000      550       40371        0          0     
   2.6       32512      100000      542       40576        0          0     
   2.7       32590      100000      560       40395        1         1114   
   2.8       33055      100000      541       39642        0          0     
   2.9       32218      100000      524       40885        1         1334   
   3.0       32618      100000      532       40281        0          0     
   3.1       32717      100000      508       39881        0          0     
   3.2       32495      100000      518       40330        0          0     
   3.3       32291      100000      494       40784        0          0     
   3.4       32673      100000      498       40441        1         1049   
   3.5       32500      100000      557       41269        0          0     
   3.6       32364      100000      530       40450        0          0     
   3.7       32578      100000      518       40427        0          0     
   3.8       32208      100000      529       41729        1         1037   
   3.9       32232      100000      531       41736        0          0     
   4.0       32042      100000      541       41961        1         1077   
   4.1       32436      100000      529       41127        0          0     
   4.2       32085      100000      540       41691        0          0     
   4.3       32097      100000      525       41453        3         3952   
   4.4       32245      100000      537       40360        0          0     
   4.5       32391      100000      521       40815        1         1148   
   4.6       32543      100000      523       40754        0          0     
   4.7       32482      100000      513       40389        2         2304   
   4.8       32687      100000      526       40555        2         2223   
   4.9       32506      100000      515       40323        1         1004   
   5.0       32681      100000      531       40183        1         1123   
   5.1       32275      100000      511       41063        0          0     
   5.2       32078      100000      504       41470        0          0     
   5.3       32213      100000      528       40951        0          0     
   5.4       32498      100000      547       40253        0          0     
   5.5       32434      100000      511       40050        0          0     
   5.6       32377      100000      516       40642        0          0     
   5.7       32800      100000      507       39950        1         1152   
   5.8       32534      100000      519       40458        0          0     
   5.9       32527      100000      541       40826        0          0     
   6.0       32421      100000      523       40217        0          0     
   6.1       32757      100000      543       40153        1         1133   
   6.2       32385      100000      551       40694        1         1010   
   6.3       32673      100000      526       40076        1         1030   
   6.4       32535      100000      554       40042        0          0     
   6.5       32157      100000      545       40965        0          0     
   6.6       32356      100000      562       40901        1         1015   
   6.7       32100      100000      542       41195        1         1076   
   6.8       32586      100000      532       40334        1         1048   
   6.9       32061      100000      537       40731        0          0     
   7.0       32475      100000      540       41142        0          0     
   7.1       32366      100000      535       41375        1         1014   
   7.2       32077      100000      529       41523        1         1114   
   7.3       32723      100000      539       40813        0          0     
   7.4       32415      100000      535       40961        1         1080   
   7.5       32389      100000      512       40287        1         1117   
   7.6       32490      100000      526       40162        1         1115   
   7.7       32457      100000      536       40249        2         2232   
   7.8       32230      100000      530       41058        1         1196   
   7.9       31900      100000      521       41567        1         1270   
   8.0       32265      100000      529       41663        2         2088   
   8.1       32645      100000      516       40726        1         1302   
   8.2       32418      100000      496       40731        1         1127   
   8.3       32418      100000      523       40780        2         2342   
   8.4       32451      100000      523       40798        0          0     
   8.5       32571      100000      541       40561        0          0     
   8.6       32172      100000      517       40925        2         2169   
   8.7       32342      100000      525       41150        1         1165   
   8.8       32551      100000      522       40097        0          0     
   8.9       32439      100000      508       40123        1         1097   
   9.0       32143      100000      535       40993        1         1264   
   9.1       32213      100000      565       41701        1         1010   
   9.2       32293      100000      547       40727        1         1228   
   9.3       32420      100000      554       40859        1         1189   
   9.4       32670      100000      523       40166        2         2392   
   9.5       32477      100000      534       40297        1         1143   
   9.6       32339      100000      511       40698        1         1051   
   9.7       32418      100000      539       40315        1         1162   
   9.8       32371      100000      482       40535        1         1082   
   9.9       32539      100000      498       40243        4         4420   
   10.0      32408      100000      527       40910        2         2372   
   10.1      32452      100000      542       40541        2         2148   
   10.2      32475      100000      520       40346        1         1029   
   10.3      32391      100000      533       40796        3         3280   
   10.4      32142      100000      523       41270        3         3205   
   10.5      32407      100000      524       40916        2         2146   
   10.6      32118      100000      523       40955        2         2103   
   10.7      32639      100000      492       40284        2         2357   
   10.8      32373      100000      549       40892        2         2436   
   10.9      32592      100000      499       39977        2         2267   
   11.0      32355      100000      517       40843        2         3053   
   11.1      32098      100000      524       41736        2         3201   
   11.2      31921      100000      500       41702        3         3656   
   11.3      32300      100000      499       40811        4         4906   
   11.4      32369      100000      483       40409        3         4048   
   11.5      32248      100000      506       41766        3         4098   
   11.6      32468      100000      495       40890        3         3740   
   11.7      32465      100000      513       40510        3         3844   
   11.8      32530      100000      520       40868        3         3876   
   11.9      32141      100000      526       41251        3         3868   
   12.0      32716      100000      496       40284        3         3545   
   12.1      32380      100000      496       40502        3         3861   
   12.2      32395      100000      503       40246        3         3771   
   12.3      32608      100000      518       40167        3         3700   
   12.4      32518      100000      526       41603        4         4917   
   12.5      32143      100000      507       41165        4         4875   
   12.6      32448      100000      532       40996        4         5106   
   12.7      32287      100000      519       41083        5         6452   
   12.8      32525      100000      511       40068        3         4019   
   12.9      32533      100000      534       40271        3         3913   
   13.0      32525      100000      553       40600        4         5033   
   13.1      32118      100000      515       41139        4         5088   
   13.2      32594      100000      535       40831        4         5401   
   13.3      32528      100000      519       40752        3         4202   
   13.4      32521      100000      509       40555        3         4710   
   13.5      32217      100000      488       40484        4         5663   
   13.6      32498      100000      496       40514        4         5607   
   13.7      32228      100000      487       41041        4         5725   
   13.8      32507      100000      487       40700        4         5946   
   13.9      32447      100000      511       40446        4         5578   
