 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       93103      100000       0          0          0          0     
   0.1       29413      100000      791       36423        0          0     
   0.2       28945      100000      772       38367        0          0     
   0.3       29030      100000      775       38161        0          0     
   0.4       29038      100000      761       38686        0          0     
   0.5       29185      100000      751       37615        0          0     
   0.6       29210      100000      768       37298        0          0     
   0.7       29243      100000      730       37447        0          0     
   0.8       29147      100000      768       37293        0          0     
   0.9       29183      100000      755       38047        0          0     
   1.0       29187      100000      731       37209        0          0     
   1.1       29155      100000      717       37355        0          0     
   1.2       28952      100000      765       38329        0          0     
   1.3       28927      100000      744       38053        0          0     
   1.4       29103      100000      740       37879        0          0     
   1.5       29384      100000      737       37374        0          0     
   1.6       29039      100000      741       37438        0          0     
   1.7       29257      100000      757       37123        0          0     
   1.8       29342      100000      734       37122        0          0     
   1.9       29261      100000      730       36987        0          0     
   2.0       29161      100000      787       38003        0          0     
   2.1       29318      100000      735       37890        0          0     
   2.2       29152      100000      751       37987        0          0     
   2.3       29210      100000      760       37835        0          0     
   2.4       29330      100000      748       37036        0          0     
   2.5       29297      100000      762       37368        0          0     
   2.6       29101      100000      734       38235        0          0     
   2.7       29184      100000      772       38334        0          0     
   2.8       28948      100000      788       37802        0          0     
   2.9       29147      100000      767       37383        0          0     
   3.0       29240      100000      706       36928        0          0     
   3.1       28913      100000      766       38549        0          0     
   3.2       29409      100000      748       37635        0          0     
   3.3       29033      100000      771       37936        0          0     
   3.4       29064      100000      759       37368        0          0     
   3.5       28996      100000      754       37896        0          0     
   3.6       29201      100000      756       38248        0          0     
   3.7       29106      100000      751       37479        0          0     
   3.8       29043      100000      749       38398        0          0     
   3.9       28748      100000      747       37669        0          0     
   4.0       29085      100000      732       38025        0          0     
   4.1       29226      100000      737       37967        0          0     
   4.2       28849      100000      788       38724        0          0     
   4.3       29316      100000      721       37101        0          0     
   4.4       29096      100000      756       37695        0          0     
   4.5       29087      100000      750       37666        0          0     
   4.6       28904      100000      733       38427        0          0     
   4.7       29151      100000      727       37563        0          0     
   4.8       29172      100000      763       37555        0          0     
   4.9       29210      100000      762       38026        0          0     
   5.0       29163      100000      721       37181        0          0     
   5.1       28877      100000      748       38192        0          0     
   5.2       29020      100000      802       39322        0          0     
   5.3       29186      100000      759       37415        0          0     
   5.4       29217      100000      748       37942        0          0     
   5.5       29038      100000      735       37659        0          0     
   5.6       29185      100000      722       37148        0          0     
   5.7       28962      100000      777       38395        0          0     
   5.8       29030      100000      784       38231        0          0     
   5.9       28933      100000      771       38252        0          0     
   6.0       29045      100000      777       37698        0          0     
   6.1       29559      100000      770       37258        0          0     
   6.2       29036      100000      738       38360        0          0     
   6.3       29057      100000      763       38061        0          0     
