 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   0.0       64669      100000       3          69    
   0.1        6910      100000       41       88846   
   0.2        7566      100000       55       87151   
   0.3        7925      100000       65       86185   
   0.4        8082      100000       66       85894   
   0.5        8481      100000       89       84711   
   0.6        8819      100000       85       84032   
   0.7        9105      100000       86       83071   
   0.8        9241      100000       98       83364   
   0.9        9518      100000       93       82747   
   1.0        9898      100000       88       81626   
   1.1       10089      100000      103       81193   
   1.2       10455      100000       94       80396   
   1.3       10300      100000      102       80648   
   1.4       10525      100000      103       80718   
   1.5       10688      100000      101       80174   
   1.6       10748      100000       96       80205   
   1.7       11219      100000       86       79618   
   1.8       11000      100000       97       80435   
   1.9       10953      100000       86       80494   
   2.0       11162      100000       63       80179   
   2.1       11226      100000       70       80360   
   2.2       11054      100000       62       80725   
   2.3       11191      100000       62       80749   
   2.4       11171      100000       43       80873   
   2.5       11164      100000       40       80965   
   2.6       11197      100000       36       81273   
   2.7       11056      100000       36       81820   
   2.8       11082      100000       23       82048   
   2.9       10752      100000       23       82566   
   3.0       10693      100000       16       82775   
   3.1       10701      100000       17       83239   
   3.2       10542      100000       14       83467   
   3.3       10707      100000       13       83357   
   3.4       10413      100000       15       83574   
   3.5       10720      100000       17       83375   
   3.6       10738      100000       12       83351   
   3.7       10754      100000       16       83066   
   3.8       10662      100000       16       83124   
   3.9       10698      100000       18       83017   
   4.0       10677      100000       17       83418   
   4.1       10696      100000       16       83376   
   4.2       10726      100000       13       83371   
   4.3       10554      100000       14       83618   
   4.4       10566      100000       13       83532   
   4.5       10832      100000       12       83457   
   4.6       10873      100000       12       83244   
   4.7       10794      100000       8        83334   
   4.8       10764      100000       14       83464   
   4.9       10693      100000       16       83639   
   5.0       10661      100000       19       83462   
   5.1       10696      100000       15       83373   
   5.2       10741      100000       16       83568   
   5.3       10717      100000       13       83401   
   5.4       10978      100000       10       83129   
   5.5       10605      100000       12       83680   
   5.6       10760      100000       11       83549   
   5.7       10593      100000       16       83536   
   5.8       10725      100000       15       83244   
   5.9       10736      100000       17       83528   
   6.0       10700      100000       13       83423   
   6.1       10728      100000       15       83586   
   6.2       10776      100000       9        83486   
   6.3       10570      100000       14       83753   
   6.4       10689      100000       16       83603   
   6.5       10590      100000       11       83781   
   6.6       10674      100000       10       83745   
   6.7       10480      100000       11       84103   
   6.8       10340      100000       11       84307   
   6.9       10466      100000       9        84123   
   7.0       10560      100000       9        83727   
   7.1       10535      100000       20       83867   
   7.2       10842      100000       16       83424   
   7.3       10916      100000       14       82978   
   7.4       10844      100000       16       83189   
   7.5       10950      100000       15       82883   
   7.6       10857      100000       14       83166   
   7.7       10781      100000       13       83277   
   7.8       10697      100000       13       83592   
   7.9       10618      100000       14       83593   
   8.0       10602      100000       16       83982   
   8.1       10596      100000       14       83996   
   8.2       10481      100000       12       84146   
   8.3       10889      100000       14       83622   
   8.4       10691      100000       10       83565   
   8.5       10823      100000       12       83362   
   8.6       10863      100000       11       83190   
   8.7       10896      100000       12       83156   
   8.8       10858      100000       12       82810   
   8.9       11062      100000       12       82770   
   9.0       10761      100000       17       82723   
   9.1       11045      100000       15       82721   
   9.2       10997      100000       13       82791   
   9.3       11030      100000       13       83006   
   9.4       10963      100000       16       83111   
   9.5       10843      100000       12       83292   
   9.6       10887      100000       12       83273   
   9.7       10803      100000       16       83618   
   9.8       10697      100000       14       83611   
   9.9       10652      100000       18       83883   
   10.0      10591      100000       15       83845   
   10.1      10710      100000       10       83841   
   10.2      10633      100000       11       84211   
   10.3      10345      100000       13       84427   
   10.4      10309      100000       10       84692   
   10.5      10405      100000       14       84625   
   10.6      10440      100000       9        84571   
   10.7      10510      100000       13       84270   
   10.8      10688      100000       12       84189   
   10.9      10482      100000       13       84278   
   11.0      10394      100000       13       84429   
   11.1      10487      100000       8        84373   
   11.2      10536      100000       16       84375   
   11.3      10671      100000       12       83891   
   11.4      10486      100000       11       83954   
   11.5      10472      100000       12       84024   
   11.6      10659      100000       17       83761   
   11.7      10841      100000       11       83482   
   11.8      10644      100000       12       83803   
   11.9      10650      100000       8        83793   
