 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   0.0       93103      100000       0          0     
   0.1       27267      100000      848       38370   
   0.2       27336      100000      827       37200   
   0.3       27313      100000      845       38016   
   0.4       27363      100000      793       36852   
   0.5       27582      100000      811       37657   
   0.6       27332      100000      802       37614   
   0.7       27289      100000      819       37489   
   0.8       27403      100000      813       36785   
   0.9       27422      100000      825       38370   
   1.0       27479      100000      851       38052   
   1.1       27389      100000      810       36681   
   1.2       27180      100000      814       37279   
   1.3       27096      100000      788       36933   
   1.4       27401      100000      805       37089   
   1.5       27541      100000      835       37590   
   1.6       27578      100000      808       36873   
   1.7       27478      100000      810       37314   
   1.8       27223      100000      849       37860   
   1.9       27427      100000      833       37643   
   2.0       27268      100000      803       37640   
   2.1       27463      100000      794       36608   
   2.2       27492      100000      775       36926   
   2.3       27752      100000      782       35805   
   2.4       27691      100000      828       36822   
   2.5       27361      100000      816       37344   
   2.6       27382      100000      781       37188   
   2.7       27401      100000      791       37527   
   2.8       27367      100000      816       36773   
   2.9       27497      100000      825       37500   
   3.0       27315      100000      791       36594   
   3.1       27408      100000      858       38261   
   3.2       27433      100000      793       36933   
   3.3       27524      100000      835       37281   
   3.4       27043      100000      830       37524   
   3.5       27215      100000      803       36968   
   3.6       27213      100000      823       38351   
   3.7       27591      100000      808       36105   
   3.8       27288      100000      809       37530   
   3.9       26985      100000      791       38045   
   4.0       27241      100000      829       37845   
   4.1       27232      100000      816       37488   
   4.2       27280      100000      796       37811   
   4.3       27233      100000      849       37888   
   4.4       27364      100000      824       37400   
   4.5       27325      100000      827       36879   
   4.6       27369      100000      822       38233   
   4.7       27434      100000      796       36845   
   4.8       27485      100000      830       37670   
   4.9       27434      100000      810       36984   
   5.0       27277      100000      797       37305   
   5.1       27140      100000      811       38731   
   5.2       27613      100000      809       37472   
   5.3       27414      100000      813       36983   
   5.4       27288      100000      835       38310   
   5.5       27258      100000      819       37563   
   5.6       27394      100000      813       36959   
   5.7       27506      100000      834       37044   
   5.8       27575      100000      820       36597   
   5.9       27660      100000      802       37398   
   6.0       27449      100000      804       37033   
   6.1       27563      100000      817       37782   
   6.2       27591      100000      807       37982   
   6.3       27169      100000      799       37628   
   6.4       27142      100000      789       37043   
   6.5       27452      100000      776       36925   
   6.6       27138      100000      835       38337   
   6.7       27209      100000      832       38275   
   6.8       27473      100000      785       36646   
   6.9       27113      100000      819       37576   
   7.0       27288      100000      827       38147   
   7.1       27326      100000      819       38123   
   7.2       27245      100000      841       38194   
   7.3       27317      100000      827       38378   
   7.4       27398      100000      825       36382   
   7.5       27278      100000      823       37385   
   7.6       27271      100000      829       37685   
   7.7       27316      100000      773       37045   
   7.8       27077      100000      810       37587   
   7.9       27380      100000      826       37230   
   8.0       27335      100000      805       37165   
   8.1       27455      100000      807       37613   
   8.2       27270      100000      842       37511   
   8.3       27173      100000      835       38225   
   8.4       27628      100000      770       36420   
   8.5       27776      100000      817       36532   
   8.6       27555      100000      801       36975   
   8.7       27058      100000      796       37638   
   8.8       27290      100000      845       38793   
   8.9       27278      100000      833       37578   
   9.0       27323      100000      816       37883   
   9.1       27378      100000      844       37613   
   9.2       27562      100000      807       36200   
   9.3       27129      100000      821       38457   
   9.4       27396      100000      819       37500   
   9.5       27815      100000      814       37272   
   9.6       27452      100000      809       37549   
   9.7       27238      100000      810       37383   
   9.8       27489      100000      806       37781   
   9.9       27507      100000      795       36994   
   10.0      27302      100000      817       37653   
   10.1      27315      100000      793       37169   
   10.2      27488      100000      788       37225   
   10.3      27179      100000      807       38056   
   10.4      27301      100000      830       38102   
   10.5      27275      100000      837       36838   
   10.6      27245      100000      830       37639   
   10.7      27595      100000      790       37233   
   10.8      27157      100000      841       37117   
   10.9      27368      100000      797       37146   
   11.0      27540      100000      805       37479   
   11.1      27330      100000      810       36993   
   11.2      27151      100000      809       36970   
   11.3      27298      100000      831       37719   
   11.4      27402      100000      800       36968   
   11.5      27366      100000      811       37455   
   11.6      27359      100000      809       36887   
   11.7      27273      100000      782       37514   
   11.8      27021      100000      830       38061   
   11.9      27589      100000      794       36394   
   12.0      27321      100000      793       37341   
   12.1      27512      100000      874       38618   
   12.2      27317      100000      823       37651   
   12.3      27267      100000      790       36642   
   12.4      27344      100000      808       37220   
   12.5      27194      100000      782       37369   
   12.6      27398      100000      815       37635   
   12.7      27419      100000      768       36921   
   12.8      27471      100000      807       36944   
   12.9      27213      100000      828       37532   
   13.0      27389      100000      790       36956   
   13.1      27164      100000      822       37837   
   13.2      27269      100000      788       37119   
   13.3      27269      100000      814       37204   
   13.4      27452      100000      830       36949   
   13.5      27426      100000      796       36868   
   13.6      27398      100000      813       36906   
   13.7      27217      100000      842       37912   
   13.8      27072      100000      826       38028   
   13.9      27269      100000      811       37623   
   14.0      27392      100000      779       36309   
   14.1      27274      100000      796       37148   
   14.2      27339      100000      803       37364   
   14.3      27490      100000      823       37293   
   14.4      27257      100000      807       37589   
   14.5      27352      100000      808       37117   
   14.6      27346      100000      853       37456   
   14.7      27481      100000      807       37168   
   14.8      27560      100000      822       37787   
   14.9      27682      100000      795       36409   
