 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   0.0       90953      100000       0          0     
   0.1       21019      100000      864       50839   
   0.2       21322      100000      883       51813   
   0.3       21320      100000      875       51139   
   0.4       21477      100000      861       49924   
   0.5       21218      100000      828       50086   
   0.6       21314      100000      866       50796   
   0.7       21169      100000      831       51507   
   0.8       21409      100000      830       51314   
   0.9       21311      100000      832       50767   
   1.0       21376      100000      829       51036   
   1.1       21088      100000      862       51250   
   1.2       21314      100000      893       50735   
   1.3       21026      100000      877       51280   
   1.4       21465      100000      839       50775   
   1.5       21133      100000      839       51349   
   1.6       21323      100000      858       50901   
   1.7       21366      100000      832       51260   
   1.8       21398      100000      821       50790   
   1.9       20927      100000      849       51427   
   2.0       21178      100000      838       50654   
   2.1       21111      100000      839       51439   
   2.2       21452      100000      873       50242   
   2.3       20964      100000      870       52206   
   2.4       21326      100000      791       50411   
   2.5       21291      100000      857       51135   
   2.6       21426      100000      826       50314   
   2.7       21096      100000      855       51019   
   2.8       21512      100000      844       49884   
   2.9       21227      100000      835       50809   
   3.0       21261      100000      861       51334   
   3.1       21214      100000      839       51086   
   3.2       21446      100000      854       50818   
   3.3       21331      100000      849       50949   
   3.4       21290      100000      836       51466   
   3.5       21240      100000      837       50859   
   3.6       21543      100000      865       50561   
   3.7       21209      100000      871       51122   
   3.8       21290      100000      857       51143   
   3.9       21388      100000      852       51517   
   4.0       21443      100000      829       51002   
   4.1       21276      100000      856       50608   
   4.2       21205      100000      901       52199   
   4.3       21142      100000      852       51649   
   4.4       21227      100000      854       51178   
   4.5       21090      100000      868       51342   
   4.6       21067      100000      852       50635   
   4.7       21082      100000      837       51661   
   4.8       21290      100000      863       50902   
   4.9       21335      100000      849       50444   
   5.0       21525      100000      825       50298   
   5.1       21374      100000      838       50480   
   5.2       21344      100000      843       50676   
   5.3       21125      100000      836       50882   
   5.4       21280      100000      803       51002   
   5.5       21401      100000      840       50957   
   5.6       21140      100000      850       50947   
   5.7       21212      100000      841       50800   
   5.8       21428      100000      844       50034   
   5.9       21220      100000      840       51927   
   6.0       21108      100000      853       51564   
   6.1       21262      100000      848       50922   
   6.2       21363      100000      816       50844   
   6.3       21338      100000      888       50732   
   6.4       21261      100000      825       51178   
   6.5       21212      100000      859       50681   
   6.6       21105      100000      891       51895   
   6.7       21143      100000      803       51219   
   6.8       21249      100000      834       51291   
   6.9       21244      100000      821       50786   
   7.0       21313      100000      864       51657   
   7.1       21249      100000      823       50376   
   7.2       21157      100000      858       51346   
   7.3       21121      100000      868       51195   
   7.4       21148      100000      842       51012   
   7.5       21516      100000      819       50337   
   7.6       21315      100000      856       51069   
   7.7       20956      100000      877       51932   
   7.8       21159      100000      826       51117   
   7.9       21352      100000      807       50538   
   8.0       21354      100000      858       50528   
   8.1       21116      100000      808       50244   
   8.2       21243      100000      841       50513   
   8.3       21435      100000      835       50750   
   8.4       21289      100000      871       51885   
   8.5       21476      100000      857       50511   
   8.6       21274      100000      827       51230   
   8.7       21247      100000      842       51198   
   8.8       21140      100000      854       51966   
   8.9       21302      100000      853       51129   
   9.0       21470      100000      852       51267   
   9.1       21174      100000      849       50543   
   9.2       21569      100000      859       50011   
   9.3       21394      100000      858       50515   
   9.4       21219      100000      855       51339   
   9.5       21308      100000      844       50646   
   9.6       21498      100000      840       50341   
   9.7       20994      100000      868       51967   
   9.8       21440      100000      804       51198   
   9.9       21280      100000      855       50862   
   10.0      21397      100000      856       51009   
   10.1      21249      100000      844       50860   
   10.2      21382      100000      827       51121   
   10.3      21218      100000      836       51371   
   10.4      21348      100000      891       51123   
   10.5      21269      100000      865       51123   
   10.6      21398      100000      868       51140   
   10.7      21326      100000      845       51399   
   10.8      21338      100000      857       50852   
   10.9      21441      100000      843       50345   
   11.0      21129      100000      840       50963   
   11.1      21264      100000      831       50911   
   11.2      21191      100000      830       50775   
   11.3      21168      100000      858       51566   
   11.4      21325      100000      860       51075   
   11.5      21187      100000      849       51738   
   11.6      21604      100000      866       50883   
   11.7      21281      100000      883       50940   
   11.8      21136      100000      848       51681   
   11.9      21304      100000      849       49989   
   12.0      21339      100000      838       51198   
   12.1      21295      100000      856       51308   
   12.2      21234      100000      840       50831   
   12.3      21323      100000      877       51060   
   12.4      21441      100000      824       50530   
   12.5      21094      100000      839       51324   
   12.6      21448      100000      866       50325   
   12.7      21158      100000      853       50704   
   12.8      21120      100000      857       50839   
   12.9      21371      100000      867       50821   
   13.0      21346      100000      829       50956   
   13.1      21396      100000      852       50985   
   13.2      21476      100000      851       50417   
   13.3      21421      100000      846       50289   
   13.4      21293      100000      858       51288   
   13.5      21536      100000      838       50592   
   13.6      21226      100000      832       51477   
   13.7      21298      100000      843       51454   
   13.8      21232      100000      834       51349   
   13.9      21264      100000      819       50506   
   14.0      21439      100000      890       50530   
   14.1      21377      100000      884       50778   
   14.2      21366      100000      843       50496   
   14.3      21240      100000      824       51535   
   14.4      21425      100000      899       50641   
   14.5      21174      100000      861       51344   
   14.6      21367      100000      814       50327   
   14.7      21355      100000      848       50254   
   14.8      21338      100000      857       51628   
   14.9      21291      100000      828       50879   
   15.0      21127      100000      814       50911   
   15.1      21481      100000      846       50700   
   15.2      21192      100000      830       50828   
   15.3      21043      100000      888       52000   
   15.4      21329      100000      847       50737   
   15.5      21297      100000      850       51265   
   15.6      21488      100000      869       50639   
   15.7      21270      100000      847       50655   
   15.8      21177      100000      856       50813   
   15.9      21443      100000      848       49821   
   16.0      21354      100000      829       50494   
   16.1      21203      100000      824       51131   
   16.2      21377      100000      820       50221   
   16.3      21281      100000      835       50611   
   16.4      21079      100000      853       51060   
   16.5      21274      100000      878       51838   
   16.6      21302      100000      863       51064   
   16.7      21372      100000      855       50710   
   16.8      21085      100000      871       51687   
   16.9      21371      100000      832       50803   
   17.0      21260      100000      838       51275   
   17.1      21193      100000      827       51138   
   17.2      21229      100000      883       51507   
   17.3      21377      100000      858       50522   
   17.4      21367      100000      863       50687   
   17.5      21213      100000      859       51221   
   17.6      21542      100000      840       50458   
   17.7      21377      100000      863       50614   
   17.8      21346      100000      830       49760   
   17.9      21258      100000      880       51343   
   18.0      21261      100000      848       51656   
   18.1      21240      100000      866       50842   
   18.2      21149      100000      866       51410   
   18.3      21344      100000      863       51377   
   18.4      21278      100000      841       51559   
   18.5      21112      100000      875       51106   
   18.6      21075      100000      856       51221   
   18.7      21285      100000      849       50873   
   18.8      21351      100000      831       50299   
   18.9      21084      100000      850       51054   
   19.0      21348      100000      854       51299   
   19.1      21031      100000      874       52002   
   19.2      21360      100000      867       50722   
   19.3      21351      100000      828       50466   
   19.4      21238      100000      861       51333   
   19.5      21190      100000      866       51801   
   19.6      21288      100000      833       50992   
   19.7      21259      100000      826       50817   
   19.8      21299      100000      836       50638   
   19.9      21476      100000      818       50760   
   20.0      21209      100000      843       51153   
   20.1      21273      100000      882       51299   
   20.2      21499      100000      857       50227   
   20.3      21445      100000      875       50962   
   20.4      21364      100000      828       50672   
   20.5      21292      100000      814       50754   
   20.6      21100      100000      798       50949   
   20.7      21382      100000      824       50944   
   20.8      21426      100000      821       50110   
   20.9      21417      100000      866       50716   
   21.0      21225      100000      833       50866   
   21.1      21308      100000      853       51177   
   21.2      21396      100000      853       50900   
   21.3      21358      100000      916       50990   
   21.4      21360      100000      831       51225   
   21.5      21163      100000      907       51849   
   21.6      21455      100000      827       51353   
   21.7      21310      100000      881       50661   
   21.8      21138      100000      860       51391   
   21.9      21357      100000      856       50441   
   22.0      21206      100000      790       50244   
   22.1      21249      100000      843       50405   
   22.2      21259      100000      868       50535   
   22.3      21301      100000      853       50976   
   22.4      21207      100000      873       51786   
   22.5      21386      100000      859       51250   
   22.6      21188      100000      848       51688   
   22.7      21293      100000      831       51284   
   22.8      21352      100000      858       50965   
   22.9      21389      100000      860       50692   
   23.0      21411      100000      814       51338   
   23.1      21249      100000      850       50613   
   23.2      20983      100000      833       51613   
   23.3      21767      100000      817       49649   
   23.4      21222      100000      828       51062   
   23.5      21269      100000      828       51663   
   23.6      21220      100000      820       50931   
   23.7      21303      100000      830       50265   
   23.8      21425      100000      855       50390   
   23.9      21447      100000      816       50391   
   24.0      21370      100000      810       50594   
   24.1      21174      100000      848       50962   
   24.2      21183      100000      860       51325   
   24.3      21191      100000      852       51170   
   24.4      21182      100000      822       50839   
   24.5      21215      100000      846       51029   
   24.6      21205      100000      858       51327   
   24.7      21352      100000      807       50353   
   24.8      21540      100000      833       50051   
   24.9      21216      100000      852       50691   
   25.0      21138      100000      845       51495   
   25.1      21478      100000      838       50181   
   25.2      21275      100000      842       51143   
   25.3      21222      100000      846       50868   
   25.4      21309      100000      848       51553   
   25.5      21338      100000      846       50843   
   25.6      21089      100000      881       51745   
   25.7      21472      100000      840       49313   
   25.8      21322      100000      839       50982   
   25.9      20847      100000      881       52951   
   26.0      21410      100000      814       50877   
   26.1      21404      100000      856       51225   
   26.2      21110      100000      875       51657   
   26.3      21205      100000      814       50350   
   26.4      21233      100000      808       50701   
   26.5      21196      100000      873       51505   
   26.6      21244      100000      845       51591   
   26.7      21325      100000      852       50658   
   26.8      21174      100000      878       51392   
   26.9      21225      100000      842       51313   
   27.0      21213      100000      839       51058   
   27.1      21339      100000      880       50994   
   27.2      20963      100000      832       52061   
   27.3      21067      100000      839       51917   
   27.4      21281      100000      857       51594   
   27.5      21155      100000      850       52030   
   27.6      21425      100000      874       50142   
   27.7      21446      100000      835       50035   
   27.8      21107      100000      838       51260   
   27.9      21420      100000      845       50716   
   28.0      21437      100000      843       51280   
   28.1      21507      100000      863       50524   
   28.2      21144      100000      874       51298   
   28.3      21269      100000      837       50368   
   28.4      21427      100000      837       50233   
   28.5      21316      100000      867       50732   
   28.6      21181      100000      841       50886   
   28.7      21274      100000      860       51372   
   28.8      21448      100000      839       50725   
   28.9      21194      100000      833       50743   
   29.0      21417      100000      848       50440   
   29.1      21210      100000      830       50471   
   29.2      21146      100000      822       50765   
   29.3      21159      100000      881       51465   
   29.4      21480      100000      850       50453   
   29.5      21376      100000      855       51199   
   29.6      21216      100000      862       51070   
   29.7      21117      100000      848       51057   
   29.8      21365      100000      840       50243   
   29.9      21278      100000      845       51376   
   30.0      21083      100000      841       51531   
   30.1      21520      100000      825       50507   
   30.2      21372      100000      847       50428   
   30.3      21111      100000      827       51804   
   30.4      21258      100000      866       51467   
   30.5      21182      100000      868       51459   
   30.6      21156      100000      792       50198   
   30.7      21103      100000      861       51705   
   30.8      21312      100000      853       51354   
