 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   15.0      27167      100000      843       37679        0          0     
   15.1      27264      100000      788       36076        0          0     
   15.2      27166      100000      797       37645        0          0     
   15.3      27281      100000      811       37099        0          0     
   15.4      26820      100000      855       37687        0          0     
   15.5      27053      100000      811       37708        0          0     
   15.6      26944      100000      821       36962        0          0     
   15.7      27275      100000      855       37230        0          0     
   15.8      27189      100000      857       37953        0          0     
   15.9      27237      100000      832       36653        0          0     
   16.0      27150      100000      792       36288        0          0     
   16.1      27356      100000      812       36561        0          0     
   16.2      27192      100000      805       37080        0          0     
   16.3      27404      100000      802       36842        0          0     
   16.4      27224      100000      816       36788        0          0     
   16.5      27315      100000      810       37072        0          0     
   16.6      27147      100000      811       36943        0          0     
   16.7      26896      100000      856       37794        0          0     
   16.8      27045      100000      833       36764        0          0     
   16.9      27326      100000      837       36379        0          0     
   17.0      27285      100000      820       36354        0          0     
   17.1      27425      100000      802       36160        0          0     
   17.2      27309      100000      826       36710        0          0     
   17.3      26982      100000      847       37934        0          0     
   17.4      27025      100000      833       37279        0          0     
   17.5      27162      100000      821       36616        0          0     
   17.6      26960      100000      782       35650        0          0     
   17.7      27248      100000      819       36774        0          0     
   17.8      26996      100000      838       36635        0          0     
   17.9      27074      100000      838       36715        0          0     
   18.0      27057      100000      819       37053        0          0     
   18.1      27039      100000      815       37043        0          0     
   18.2      27115      100000      819       36797        0          0     
   18.3      26983      100000      842       36914        0          0     
   18.4      27409      100000      858       36593        0          0     
   18.5      27156      100000      833       36932        0          0     
   18.6      27025      100000      822       38143        0          0     
   18.7      27196      100000      809       36482        0          0     
   18.8      27229      100000      843       36878        0          0     
   18.9      27106      100000      850       37829        0          0     
   19.0      26974      100000      816       37084        0          0     
   19.1      27501      100000      794       35652        0          0     
   19.2      26943      100000      818       37408        0          0     
   19.3      27051      100000      841       37264        0          0     
   19.4      27390      100000      804       36034        0          0     
   19.5      27058      100000      848       37305        0          0     
   19.6      27302      100000      818       36767        0          0     
   19.7      27175      100000      834       36899        0          0     
   19.8      27064      100000      828       37021        0          0     
   19.9      27208      100000      798       37007        0          0     
   20.0      27054      100000      813       37430        0          0     
   20.1      27425      100000      791       35982        0          0     
   20.2      27081      100000      791       36907        0          0     
   20.3      27252      100000      781       36251        0          0     
   20.4      27294      100000      787       36050        0          0     
   20.5      26965      100000      809       36926        0          0     
   20.6      27022      100000      797       36689        0          0     
   20.7      27211      100000      844       37155        0          0     
   20.8      27119      100000      846       36714        0          0     
   20.9      27238      100000      816       36322        0          0     
   21.0      27085      100000      843       38073        0          0     
   21.1      27185      100000      812       37663        0          0     
   21.2      27247      100000      806       36707        0          0     
   21.3      27216      100000      838       36957        0          0     
   21.4      27086      100000      843       37121        0          0     
   21.5      27317      100000      828       36841        0          0     
   21.6      27310      100000      867       36967        0          0     
   21.7      27197      100000      810       36384        0          0     
   21.8      27009      100000      833       37679        0          0     
   21.9      27347      100000      802       37237        0          0     
   22.0      27113      100000      870       38346        0          0     
   22.1      27194      100000      808       37925        0          0     
   22.2      27057      100000      814       37072        0          0     
   22.3      27170      100000      827       37111        0          0     
   22.4      27202      100000      830       37026        0          0     
   22.5      27168      100000      832       37103        0          0     
   22.6      27113      100000      837       37453        0          0     
   22.7      27162      100000      818       36535        0          0     
   22.8      27233      100000      815       36682        0          0     
   22.9      26852      100000      813       37005        0          0     
   23.0      26892      100000      827       37955        0          0     
   23.1      27136      100000      820       37349        0          0     
   23.2      27073      100000      819       37173        0          0     
   23.3      27282      100000      812       36908        0          0     
   23.4      27261      100000      829       36878        0          0     
   23.5      27123      100000      818       36409        0          0     
   23.6      26934      100000      844       38004        0          0     
   23.7      27081      100000      805       37457        0          0     
   23.8      27069      100000      815       36619        0          0     
   23.9      27131      100000      815       36615        0          0     
   24.0      27242      100000      793       36546        0          0     
   24.1      27001      100000      827       37258        0          0     
   24.2      27282      100000      799       37004        0          0     
   24.3      27100      100000      808       37905        0          0     
   24.4      27317      100000      809       36037        0          0     
   24.5      27332      100000      839       37048        0          0     
   24.6      27114      100000      831       37257        0          0     
   24.7      27262      100000      832       37484        0          0     
   24.8      26916      100000      841       37967        0          0     
   24.9      27384      100000      796       35760        0          0     
   25.0      27209      100000      820       36811        0          0     
   25.1      27259      100000      829       36596        0          0     
   25.2      27132      100000      825       37396        0          0     
   25.3      27166      100000      838       37456        0          0     
   25.4      27250      100000      830       36883        0          0     
   25.5      27348      100000      837       37120        0          0     
   25.6      26963      100000      805       37154        0          0     
   25.7      27139      100000      804       36347        0          0     
   25.8      27214      100000      809       37167        0          0     
   25.9      27121      100000      802       37043        0          0     
   26.0      27074      100000      807       37690        0          0     
   26.1      27024      100000      856       37588        0          0     
   26.2      27185      100000      808       37434        0          0     
   26.3      27157      100000      817       37339        0          0     
   26.4      27324      100000      811       35284        0          0     
   26.5      27048      100000      826       37252        0          0     
   26.6      27051      100000      829       37434        0          0     
   26.7      27136      100000      796       36457        0          0     
   26.8      27176      100000      799       37129        0          0     
   26.9      27268      100000      828       37166        0          0     
   27.0      27055      100000      818       36710        0          0     
   27.1      26966      100000      830       37698        0          0     
   27.2      27023      100000      847       37174        0          0     
   27.3      27087      100000      798       36697        0          0     
   27.4      27147      100000      846       37121        0          0     
   27.5      27352      100000      816       36906        0          0     
   27.6      27211      100000      800       36158        0          0     
   27.7      27080      100000      816       36858        0          0     
   27.8      27003      100000      807       37625        0          0     
   27.9      27298      100000      817       37083        0          0     
   28.0      27229      100000      797       36901        0          0     
   28.1      27255      100000      826       37359        0          0     
   28.2      27098      100000      810       37142        0          0     
   28.3      26995      100000      818       37005        0          0     
   28.4      27191      100000      834       37120        0          0     
   28.5      27012      100000      815       37180        0          0     
   28.6      26731      100000      810       37094        0          0     
   28.7      27038      100000      853       38189        0          0     
   28.8      27130      100000      805       36860        0          0     
   28.9      27004      100000      822       36864        0          0     
   29.0      26963      100000      806       37815        0          0     
   29.1      27112      100000      807       36423        0          0     
   29.2      27089      100000      819       37604        0          0     
   29.3      27175      100000      824       37338        0          0     
   29.4      27031      100000      844       37853        0          0     
   29.5      26983      100000      813       36822        0          0     
   29.6      26908      100000      795       36843        0          0     
   29.7      27218      100000      814       36905        0          0     
   29.8      27127      100000      824       37059        0          0     
   29.9      26872      100000      838       38410        0          0     
   30.0      27264      100000      789       37443        0          0     
   30.1      27268      100000      813       36721        0          0     
   30.2      27284      100000      833       36990        0          0     
   30.3      27170      100000      802       37138        0          0     
   30.4      27241      100000      822       37301        0          0     
   30.5      27243      100000      837       36619        0          0     
   30.6      27210      100000      787       36551        0          0     
   30.7      26935      100000      822       37862        0          0     
   30.8      27270      100000      823       37282        0          0     
   30.9      27354      100000      795       37020        0          0     
   31.0      27355      100000      812       35661        0          0     
   31.1      26913      100000      799       37848        0          0     
   31.2      27231      100000      835       37116        0          0     
   31.3      27262      100000      825       36729        0          0     
   31.4      27249      100000      818       36506        0          0     
   31.5      27220      100000      812       36227        0          0     
   31.6      27035      100000      844       37755        0          0     
   31.7      27070      100000      817       37134        0          0     
   31.8      27045      100000      792       36423        0          0     
   31.9      27439      100000      838       36187        0          0     
   32.0      27248      100000      815       36214        0          0     
   32.1      27358      100000      822       36158        0          0     
   32.2      27198      100000      827       37129        0          0     
   32.3      27122      100000      852       37327        0          0     
   32.4      26980      100000      831       37600        0          0     
   32.5      27313      100000      836       36162        0          0     
   32.6      27023      100000      826       37342        0          0     
   32.7      26979      100000      817       36673        0          0     
   32.8      27085      100000      801       36973        0          0     
   32.9      27328      100000      790       35874        0          0     
   33.0      27199      100000      804       36813        0          0     
   33.1      27362      100000      812       36468        0          0     
   33.2      27333      100000      787       35929        0          0     
   33.3      26979      100000      843       37370        0          0     
   33.4      26934      100000      800       36924        0          0     
   33.5      26996      100000      836       37549        0          0     
   33.6      26895      100000      788       37089        0          0     
   33.7      27025      100000      828       37287        0          0     
   33.8      27207      100000      827       36214        0          0     
   33.9      27044      100000      832       37956        0          0     
   34.0      26971      100000      808       36864        0          0     
   34.1      27149      100000      830       36818        0          0     
   34.2      27159      100000      796       36988        0          0     
   34.3      27128      100000      836       37587        0          0     
   34.4      27149      100000      802       36365        0          0     
   34.5      27070      100000      817       37413        0          0     
   34.6      27220      100000      823       36364        0          0     
   34.7      27033      100000      825       36934        0          0     
   34.8      27250      100000      842       36675        0          0     
   34.9      27264      100000      832       37155        0          0     
   35.0      27157      100000      834       37127        0          0     
   35.1      26989      100000      855       37959        0          0     
   35.2      27160      100000      860       38046        0          0     
   35.3      27290      100000      861       37347        0          0     
   35.4      27230      100000      811       35868        0          0     
   35.5      27136      100000      834       37718        0          0     
   35.6      27430      100000      799       36636        0          0     
   35.7      27184      100000      806       36421        0          0     
   35.8      27213      100000      822       37186        0          0     
   35.9      27206      100000      810       36384        0          0     
   36.0      27056      100000      845       37740        0          0     
   36.1      27204      100000      800       35975        0          0     
   36.2      27099      100000      849       37828        0          0     
   36.3      27136      100000      804       36906        0          0     
   36.4      27214      100000      810       35904        0          0     
   36.5      27388      100000      795       36092        0          0     
   36.6      27314      100000      811       36577        0          0     
   36.7      26839      100000      809       36523        0          0     
