 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       64669      100000       3          69         0          0     
   0.1        7049      100000       69       86986        1        82281   
   0.2        7430      100000       94       86048        1        80786   
   0.3        8117      100000      128       84209        4        76206   
   0.4        8715      100000      178       82836        9        70404   
   0.5        9373      100000      182       81339        12       71776   
   0.6        9731      100000      206       80223        15       68289   
   0.7       10484      100000      185       78622        17       69071   
   0.8       11055      100000      152       77832        22       71816   
   0.9       11561      100000      163       77258        21       69134   
   1.0       11802      100000       99       77377        17       73413   
   1.1       11604      100000       83       78340        16       74979   
   1.2       11399      100000       54       79489        15       77436   
   1.3       11236      100000       34       80728        16       79664   
   1.4       11006      100000       24       81460        14       81105   
   1.5       10787      100000       17       82575        12       82419   
   1.6       10706      100000       20       82826        11       82569   
   1.7       10727      100000       24       82694        12       80866   
   1.8       10785      100000       17       82677        7        80663   
   1.9       10773      100000       19       82491        7        80190   
   2.0       10926      100000       17       82686        10       81211   
   2.1       10765      100000       16       83060        11       82291   
   2.2       10692      100000       13       83616        11       83379   
   2.3       10578      100000       16       84057        10       82965   
   2.4       10155      100000       14       84802        11       84110   
   2.5        9980      100000       14       85301        11       84823   
   2.6       10031      100000       14       85165        10       85052   
   2.7        9777      100000       12       85767        11       85738   
   2.8        9779      100000       12       85880        11       85851   
   2.9        9819      100000       11       85730        11       85730   
   3.0       10011      100000       14       85369        12       85316   
   3.1       10329      100000       12       84821        10       83882   
   3.2       10189      100000       14       84755        9        83713   
   3.3       10402      100000       13       84485        9        84164   
   3.4       10247      100000       9        84659        8        84636   
   3.5       10075      100000       9        85281        9        85281   
   3.6        9928      100000       8        85913        8        85913   
   3.7        9599      100000       8        86264        8        86264   
   3.8        9398      100000       8        86595        8        86595   
   3.9        9467      100000       8        86705        8        86705   
   4.0        9436      100000       8        86626        7        85857   
   4.1        9423      100000       10       86545        8        86027   
   4.2        9583      100000       10       86524        8        86221   
   4.3        9622      100000       8        86308        8        86308   
   4.4        9479      100000       8        86537        6        85524   
   4.5        9583      100000       7        86635        5        85683   
   4.6        9504      100000       7        86519        5        85823   
   4.7        9532      100000       9        86321        4        86037   
   4.8        9602      100000       7        86070        5        86027   
   4.9        9683      100000       7        86219        5        86161   
   5.0        9605      100000       6        86414        5        86388   
   5.1        9443      100000       5        86883        5        86883   
   5.2        9204      100000       5        87075        5        87075   
   5.3        9175      100000       5        87406        5        87406   
   5.4        9108      100000       6        87406        5        87384   
   5.5        9032      100000       5        87523        5        87523   
   5.6        9324      100000       5        87273        5        87273   
   5.7        9159      100000       6        87392        5        87371   
   5.8        9398      100000       6        86985        5        86943   
   5.9        9380      100000       5        86826        5        86826   
   6.0        9420      100000       5        86668        5        86668   
   6.1        9349      100000       5        86980        4        86957   
   6.2        9398      100000       4        86748        4        86748   
   6.3        9351      100000       4        86951        4        86951   
   6.4        9309      100000       5        87043        4        87019   
   6.5        9131      100000       5        87301        5        87301   
   6.6        9078      100000       4        87321        4        87321   
   6.7        9330      100000       3        86865        3        86865   
   6.8        9440      100000       6        86764        4        86712   
   6.9        9370      100000       4        86880        4        86880   
   7.0        9264      100000       5        87218        4        87195   
   7.1        9305      100000       4        86978        4        86978   
   7.2        9422      100000       3        86802        3        86802   
   7.3        9275      100000       4        87070        4        87070   
   7.4        9220      100000       4        87163        4        87163   
   7.5        9296      100000       4        87131        4        87131   
   7.6        9154      100000       4        87430        4        87430   
   7.7        9183      100000       4        87306        4        87306   
   7.8        9046      100000       4        87619        4        87619   
   7.9        9071      100000       4        87624        4        87624   
   8.0        9072      100000       4        87473        4        87473   
   8.1        9181      100000       4        87372        4        87372   
   8.2        9240      100000       5        87211        4        87185   
   8.3        9284      100000       4        87292        4        87292   
   8.4        9214      100000       6        87093        4        87041   
   8.5        9298      100000       4        86819        4        86819   
   8.6        9427      100000       6        86820        4        86774   
   8.7        9555      100000       4        86499        4        86499   
