 Timestep   N_clusts  all_parts  thr_clusts thr_parts 
   0.0       87752      100000       0          0     
   0.1       17957      100000      636       64112   
   0.2       17809      100000      606       64550   
   0.3       17584      100000      554       64247   
   0.4       18112      100000      538       62852   
   0.5       18136      100000      550       63017   
   0.6       18291      100000      559       63309   
   0.7       18152      100000      541       63420   
   0.8       18324      100000      529       62927   
   0.9       18191      100000      538       63029   
   1.0       18022      100000      516       63405   
   1.1       18237      100000      535       62653   
   1.2       18487      100000      541       62659   
   1.3       18462      100000      535       62725   
   1.4       18528      100000      549       61921   
   1.5       18583      100000      555       62384   
   1.6       18721      100000      523       61622   
   1.7       18677      100000      522       61760   
   1.8       19073      100000      511       61025   
   1.9       19209      100000      499       60895   
   2.0       19600      100000      495       60202   
   2.1       19425      100000      451       60060   
   2.2       20027      100000      422       58964   
   2.3       19716      100000      416       58989   
   2.4       20124      100000      414       58902   
   2.5       20153      100000      374       58653   
   2.6       20477      100000      350       58983   
   2.7       20429      100000      306       59323   
   2.8       20578      100000      290       59602   
   2.9       20422      100000      275       60226   
   3.0       20600      100000      240       60529   
   3.1       20509      100000      207       61314   
   3.2       20382      100000      172       61894   
   3.3       20256      100000      157       63116   
   3.4       20025      100000      121       63619   
   3.5       19688      100000      107       64915   
   3.6       19465      100000       85       65983   
   3.7       19149      100000       71       67351   
   3.8       18823      100000       61       68150   
   3.9       18658      100000       46       69411   
   4.0       18210      100000       39       70503   
   4.1       17989      100000       31       71194   
   4.2       17988      100000       30       71635   
   4.3       17565      100000       23       72278   
   4.4       17476      100000       18       72941   
   4.5       17280      100000       17       73331   
   4.6       17123      100000       21       73939   
   4.7       16842      100000       17       74564   
   4.8       16802      100000       17       74727   
   4.9       16696      100000       16       74947   
   5.0       16666      100000       12       75151   
   5.1       16730      100000       13       75530   
   5.2       16729      100000       12       75096   
   5.3       16777      100000       13       75198   
   5.4       16558      100000       12       75453   
   5.5       16345      100000       13       75721   
   5.6       16491      100000       9        75760   
   5.7       16521      100000       11       75895   
   5.8       16320      100000       11       75904   
   5.9       16363      100000       11       76090   
   6.0       16299      100000       11       76186   
   6.1       16490      100000       10       75696   
   6.2       16536      100000       13       75632   
   6.3       16551      100000       12       75703   
   6.4       16535      100000       9        75600   
   6.5       16525      100000       11       75708   
   6.6       16568      100000       12       75331   
   6.7       16460      100000       12       75548   
   6.8       16535      100000       13       75379   
   6.9       16728      100000       13       75224   
   7.0       16742      100000       14       75023   
   7.1       16784      100000       13       75185   
   7.2       16652      100000       11       75030   
   7.3       16565      100000       12       75409   
   7.4       16577      100000       10       75534   
   7.5       16620      100000       11       75487   
   7.6       16594      100000       12       75315   
   7.7       16646      100000       11       75250   
   7.8       16731      100000       17       75178   
   7.9       16924      100000       12       74822   
   8.0       16796      100000       11       74813   
   8.1       16974      100000       11       74890   
   8.2       16742      100000       13       75096   
   8.3       16793      100000       10       74968   
   8.4       16694      100000       13       75524   
   8.5       16720      100000       12       75393   
   8.6       16525      100000       11       75630   
   8.7       16374      100000       8        76000   
   8.8       16474      100000       9        76268   
   8.9       16323      100000       9        76333   
   9.0       16348      100000       8        76322   
   9.1       16101      100000       10       76766   
   9.2       15948      100000       9        77087   
   9.3       16036      100000       9        77097   
   9.4       16158      100000       10       76873   
   9.5       16238      100000       9        76564   
   9.6       16188      100000       10       76190   
   9.7       16419      100000       12       76029   
   9.8       16535      100000       11       75701   
   9.9       16742      100000       10       75430   
   10.0      16643      100000       12       75291   
   10.1      16757      100000       8        75102   
   10.2      16820      100000       9        74929   
   10.3      16778      100000       8        74911   
   10.4      16731      100000       9        74997   
   10.5      16808      100000       11       74998   
   10.6      16577      100000       10       75409   
   10.7      16635      100000       11       75414   
   10.8      16592      100000       7        75537   
   10.9      16568      100000       8        75795   
   11.0      16423      100000       7        76119   
   11.1      16305      100000       10       76542   
   11.2      16109      100000       7        76731   
   11.3      16024      100000       9        76807   
   11.4      16179      100000       5        76846   
   11.5      16061      100000       6        76782   
   11.6      15942      100000       6        76931   
   11.7      15848      100000       6        77295   
   11.8      15773      100000       7        77404   
   11.9      15899      100000       8        77278   
   12.0      16123      100000       6        77121   
   12.1      16082      100000       6        76930   
   12.2      16012      100000       6        76900   
   12.3      16042      100000       7        76870   
   12.4      16152      100000       6        76744   
   12.5      16254      100000       5        76617   
   12.6      16093      100000       5        76960   
   12.7      16073      100000       4        77070   
   12.8      16044      100000       4        77333   
   12.9      15987      100000       6        77243   
   13.0      15986      100000       5        77328   
   13.1      16036      100000       4        77303   
   13.2      15917      100000       5        77163   
   13.3      15976      100000       4        77078   
   13.4      16044      100000       4        77287   
   13.5      15655      100000       5        77535   
   13.6      15710      100000       4        77487   
   13.7      15728      100000       4        77561   
   13.8      15804      100000       5        77561   
   13.9      15615      100000       4        77819   
   14.0      15735      100000       5        77896   
   14.1      15686      100000       7        77927   
   14.2      15803      100000       4        77799   
   14.3      15692      100000       4        77855   
   14.4      15651      100000       4        78057   
   14.5      15661      100000       6        78046   
   14.6      15560      100000       4        78026   
   14.7      15601      100000       5        77840   
   14.8      15538      100000       6        78018   
   14.9      15625      100000       4        78064   
   15.0      15530      100000       4        78185   
   15.1      15569      100000       5        78133   
   15.2      15651      100000       4        78178   
   15.3      15636      100000       4        77916   
   15.4      15701      100000       5        77864   
   15.5      15592      100000       4        77820   
   15.6      15764      100000       5        77765   
   15.7      15652      100000       6        77970   
   15.8      15549      100000       5        78125   
   15.9      15550      100000       5        78372   
   16.0      15485      100000       4        78153   
   16.1      15621      100000       5        78023   
   16.2      15607      100000       5        77912   
   16.3      15668      100000       4        77771   
   16.4      15584      100000       4        77835   
   16.5      15804      100000       5        77527   
   16.6      15909      100000       4        77394   
   16.7      15823      100000       4        77590   
   16.8      15791      100000       4        77758   
   16.9      15805      100000       4        77674   
   17.0      15714      100000       6        77565   
   17.1      15770      100000       5        77737   
   17.2      15583      100000       4        77756   
   17.3      15745      100000       6        77871   
   17.4      15665      100000       4        77826   
   17.5      15559      100000       4        77878   
   17.6      15707      100000       4        77925   
   17.7      15943      100000       5        77675   
   17.8      15762      100000       4        77704   
   17.9      15880      100000       5        77617   
   18.0      15809      100000       5        77671   
   18.1      15911      100000       4        77504   
   18.2      15850      100000       6        77376   
   18.3      16019      100000       4        77466   
   18.4      15949      100000       5        77359   
   18.5      15860      100000       4        77365   
   18.6      15938      100000       4        77305   
   18.7      15885      100000       4        77481   
   18.8      15747      100000       5        77603   
   18.9      15862      100000       6        77710   
   19.0      15593      100000       7        77855   
   19.1      15678      100000       4        77887   
   19.2      15435      100000       4        78117   
   19.3      15459      100000       5        78360   
   19.4      15455      100000       4        78298   
   19.5      15377      100000       4        78371   
   19.6      15389      100000       4        78508   
   19.7      15394      100000       4        78364   
   19.8      15496      100000       4        78472   
   19.9      15691      100000       4        78053   
   20.0      15550      100000       5        78115   
   20.1      15610      100000       6        77873   
   20.2      15612      100000       4        77910   
   20.3      15693      100000       5        77949   
   20.4      15594      100000       4        77970   
   20.5      15646      100000       4        77934   
   20.6      15581      100000       5        77792   
   20.7      15830      100000       4        77480   
   20.8      15865      100000       5        77418   
   20.9      15921      100000       5        77242   
   21.0      16012      100000       4        77226   
   21.1      15941      100000       6        77341   
   21.2      16038      100000       4        77298   
   21.3      15866      100000       5        77334   
   21.4      15905      100000       8        77291   
   21.5      16030      100000       4        77113   
   21.6      16221      100000       5        76831   
   21.7      16243      100000       5        76670   
   21.8      16119      100000       7        76651   
   21.9      16081      100000       5        76770   
   22.0      16082      100000       3        76966   
   22.1      16040      100000       4        77070   
   22.2      16079      100000       3        77285   
   22.3      15895      100000       3        77405   
   22.4      15977      100000       3        77478   
   22.5      15883      100000       3        77427   
   22.6      15858      100000       3        77373   
   22.7      15991      100000       3        77347   
   22.8      15816      100000       5        77417   
   22.9      15805      100000       3        77654   
   23.0      15663      100000       3        77854   
   23.1      15633      100000       3        77987   
   23.2      15436      100000       5        78400   
   23.3      15529      100000       4        78317   
   23.4      15381      100000       4        78505   
   23.5      15574      100000       3        78373   
   23.6      15501      100000       3        78522   
   23.7      15473      100000       4        78566   
   23.8      15397      100000       4        78557   
   23.9      15359      100000       4        78570   
   24.0      15474      100000       3        78428   
   24.1      15445      100000       3        78431   
   24.2      15443      100000       3        78432   
   24.3      15536      100000       3        78259   
   24.4      15416      100000       4        78185   
   24.5      15427      100000       3        78249   
   24.6      15421      100000       3        78269   
   24.7      15446      100000       3        78412   
   24.8      15370      100000       3        78530   
   24.9      15276      100000       4        78553   
   25.0      15443      100000       3        78445   
   25.1      15427      100000       4        78710   
   25.2      15287      100000       3        78709   
   25.3      15220      100000       3        78825   
   25.4      15183      100000       5        78869   
   25.5      15232      100000       3        78756   
   25.6      15189      100000       4        78883   
   25.7      15202      100000       3        78748   
   25.8      15222      100000       3        78558   
   25.9      15428      100000       4        78292   
   26.0      15582      100000       4        78258   
   26.1      15444      100000       4        78349   
   26.2      15470      100000       3        78328   
   26.3      15459      100000       4        78354   
   26.4      15520      100000       5        78224   
   26.5      15573      100000       3        78185   
   26.6      15506      100000       4        78401   
   26.7      15305      100000       3        78582   
   26.8      15311      100000       3        78605   
   26.9      15402      100000       4        78812   
   27.0      15393      100000       5        78696   
   27.1      15297      100000       4        78663   
   27.2      15354      100000       3        78702   
   27.3      15291      100000       3        78633   
   27.4      15379      100000       4        78473   
   27.5      15529      100000       4        78480   
   27.6      15445      100000       3        78394   
   27.7      15321      100000       3        78484   
   27.8      15484      100000       4        78452   
   27.9      15373      100000       3        78409   
   28.0      15547      100000       4        78227   
   28.1      15551      100000       3        78166   
   28.2      15718      100000       3        77970   
   28.3      15736      100000       4        77905   
   28.4      15681      100000       4        77834   
   28.5      15575      100000       3        78053   
   28.6      15643      100000       4        77917   
   28.7      15758      100000       5        77670   
   28.8      15892      100000       3        77391   
   28.9      16082      100000       5        77164   
   29.0      16110      100000       3        77214   
   29.1      15922      100000       4        77392   
   29.2      15694      100000       3        77445   
   29.3      16011      100000       5        77444   
   29.4      15979      100000       3        77434   
   29.5      15844      100000       3        77605   
   29.6      15801      100000       3        77787   
   29.7      15557      100000       3        78173   
   29.8      15447      100000       4        78146   
   29.9      15675      100000       3        78083   
   30.0      15711      100000       3        77820   
   30.1      15606      100000       4        77935   
   30.2      15594      100000       4        77883   
   30.3      15614      100000       3        77854   
   30.4      15641      100000       3        77858   
   30.5      15596      100000       3        77796   
   30.6      15690      100000       4        77653   
   30.7      15761      100000       3        77693   
   30.8      15908      100000       3        77342   
   30.9      15845      100000       4        77505   
   31.0      15625      100000       3        77631   
   31.1      15751      100000       3        77739   
   31.2      15672      100000       4        77732   
   31.3      15704      100000       3        77751   
   31.4      15741      100000       3        77832   
   31.5      15754      100000       3        77944   
   31.6      15778      100000       4        77908   
   31.7      15564      100000       3        77879   
   31.8      15529      100000       4        78108   
   31.9      15687      100000       4        78040   
   32.0      15549      100000       3        78031   
   32.1      15572      100000       3        78149   
   32.2      15611      100000       3        78217   
   32.3      15441      100000       4        78188   
   32.4      15640      100000       3        78214   
   32.5      15603      100000       3        78278   
   32.6      15511      100000       3        78355   
   32.7      15401      100000       3        78527   
   32.8      15215      100000       3        78667   
   32.9      15266      100000       3        78801   
   33.0      15343      100000       3        78723   
   33.1      15264      100000       3        78742   
   33.2      15272      100000       3        78764   
   33.3      15339      100000       3        78633   
   33.4      15355      100000       3        78579   
   33.5      15284      100000       4        78706   
   33.6      15277      100000       3        78717   
   33.7      15529      100000       4        78427   
   33.8      15601      100000       5        78316   
   33.9      15419      100000       4        78428   
   34.0      15492      100000       3        78343   
   34.1      15553      100000       4        78247   
   34.2      15440      100000       3        78306   
   34.3      15612      100000       3        78115   
   34.4      15402      100000       3        78106   
   34.5      15698      100000       3        78060   
   34.6      15680      100000       3        77947   
   34.7      15741      100000       4        77754   
   34.8      15864      100000       3        77629   
   34.9      15689      100000       3        77754   
   35.0      15694      100000       3        78023   
   35.1      15683      100000       3        78321   
   35.2      15299      100000       3        78568   
   35.3      15334      100000       4        78678   
   35.4      15409      100000       3        78770   
   35.5      15273      100000       3        78906   
   35.6      15139      100000       3        78952   
   35.7      15182      100000       4        79073   
   35.8      15235      100000       3        78961   
   35.9      15102      100000       3        79068   
   36.0      15025      100000       4        79144   
   36.1      15081      100000       3        79232   
   36.2      15088      100000       4        79283   
   36.3      15148      100000       3        79099   
