 Timestep   N_clusts  all_parts  thr_clusts thr_parts  thr_c1000  thr_p1000 
   0.0       90953      100000       0          0          0          0     
   0.1       22136      100000      792       51689        0          0     
   0.2       22060      100000      799       52424        0          0     
   0.3       22255      100000      771       51638        0          0     
   0.4       22371      100000      801       51767        0          0     
   0.5       22045      100000      798       52458        0          0     
   0.6       22049      100000      797       52899        0          0     
   0.7       21995      100000      743       52169        1         1112   
   0.8       22109      100000      745       51439        1         1202   
   0.9       22123      100000      739       51650        2         2763   
   1.0       22173      100000      731       51594        1         1511   
   1.1       22405      100000      774       51374        1         1767   
   1.2       22231      100000      736       51677        1         1962   
   1.3       22068      100000      759       51231        1         2377   
   1.4       22278      100000      730       50928        1         2584   
   1.5       22430      100000      770       51484        1         2768   
   1.6       22310      100000      706       50910        1         3296   
   1.7       22483      100000      720       50878        3         6152   
   1.8       22399      100000      761       51923        1         4359   
   1.9       22608      100000      721       51295        1         4805   
   2.0       22682      100000      688       50577        2         6631   
   2.1       22884      100000      674       49776        2         8046   
   2.2       22572      100000      714       51328        1         7089   
   2.3       22694      100000      719       50645        1         7742   
   2.4       23006      100000      659       50089        1         8497   
   2.5       22734      100000      667       50077        1         9288   
   2.6       23066      100000      671       49780        1        10147   
   2.7       23383      100000      632       49363        1        11116   
   2.8       23093      100000      627       49538        1        12198   
   2.9       23294      100000      672       49696        1        13192   
   3.0       23261      100000      631       49833        1        14244   
   3.1       23889      100000      624       48994        1        15465   
   3.2       23601      100000      612       49142        1        16573   
   3.3       23916      100000      555       48459        1        17778   
   3.4       23816      100000      549       48366        1        18980   
   3.5       23936      100000      547       49100        1        20199   
   3.6       23993      100000      545       48414        1        21462   
   3.7       24200      100000      543       48226        1        22728   
   3.8       24142      100000      525       48332        1        23977   
   3.9       24541      100000      466       47631        1        25357   
   4.0       24402      100000      454       48605        1        26715   
   4.1       24591      100000      418       47893        1        28194   
   4.2       24585      100000      406       48119        1        29541   
   4.3       24755      100000      382       48022        1        30998   
   4.4       24540      100000      377       48887        1        32388   
   4.5       24843      100000      352       48350        1        33873   
