 Timestep    Gas_A      Gas_B     Gas_tot    Dense_A    Dense_B   Dense_tot   Lc_numA    Lc_numB    Lg_clust     MCS       sigALL     sigAA      sigAB      sigBB      phiEff   Lc_area_A  Lc_area_B   lc_area   den_area_A den_area_B  den_area   Box_area 
1650000.00   35980        0        35980      14020        0        14020       747         0         747        237       0.9582     0.9582     0.0000     0.0000      0.44     474.1858    0.0000    474.1858  9239.8124    0.0000   9239.8124   78539.82 
1700000.00   35889        0        35889      14111        0        14111       1057        0         1057       235       0.9272     0.9272     0.0000     0.0000      0.44     692.4845    0.0000    692.4845  9283.6027    0.0000   9283.6027   78539.82 
1750000.00   34848        0        34848      15152        0        15152       952         0         952        233       0.9391     0.9391     0.0000     0.0000      0.44     620.0699    0.0000    620.0699  9993.6713    0.0000   9993.6713   78539.82 
1800000.00   35481        0        35481      14519        0        14519       890         0         890        230       0.9408     0.9408     0.0000     0.0000      0.44     559.3274    0.0000    559.3274  9560.1073    0.0000   9560.1073   78539.82 
1850000.00   35515        0        35515      14485        0        14485       898         0         898        229       0.9267     0.9267     0.0000     0.0000      0.44     559.8773    0.0000    559.8773  9525.1602    0.0000   9525.1602   78539.82 
1900000.00   35949        0        35949      14051        0        14051       1298        0         1298       250       0.9514     0.9514     0.0000     0.0000      0.44     816.4415    0.0000    816.4415  9230.5820    0.0000   9230.5820   78539.82 
1950000.00   35992        0        35992      14008        0        14008       1266        0         1266       250       0.9419     0.9419     0.0000     0.0000      0.44     791.6083    0.0000    791.6083  9199.2797    0.0000   9199.2797   78539.82 
2000000.00   35989        0        35989      14011        0        14011       1415        0         1415       259       0.9452     0.9452     0.0000     0.0000      0.44     889.1817    0.0000    889.1817  9213.8587    0.0000   9213.8587   78539.82 
2050000.00   36547        0        36547      13453        0        13453       1351        0         1351       249       0.9490     0.9490     0.0000     0.0000      0.44     841.1204    0.0000    841.1204  8831.7715    0.0000   8831.7715   78539.82 
2100000.00   35501        0        35501      14499        0        14499       1311        0         1311       233       0.9443     0.9443     0.0000     0.0000      0.44     807.4757    0.0000    807.4757  9529.0330    0.0000   9529.0330   78539.82 
