 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   85.0      195546    1000000     29709      751363     13931      649774      1402      407979      277       331903       3        292927       1        291555       1        291555       1        291555       1        291555  
   86.7      196286    1000000     29729      750286     13840      647683      1435      407448      268       329586       1        291745       1        291745       1        291745       1        291745       1        291745  
   88.3      195748    1000000     29674      751352     13951      649761      1384      405148      272       330959       2        291364       1        290853       1        290853       1        290853       1        290853  
   90.0      196039    1000000     30004      751653     14024      648528      1358      403686      256       329729       1        290989       1        290989       1        290989       1        290989       1        290989  
   91.7      196797    1000000     29966      750157     13896      646471      1385      402530      251       326099       2        290382       1        289833       1        289833       1        289833       1        289833  
   93.3      195578    1000000     29864      751946     13960      649437      1415      406157      286       330848       2        290300       1        289659       1        289659       1        289659       1        289659  
   95.0      196472    1000000     29755      749867     14059      648691      1368      403856      274       329930       2        291219       1        290716       1        290716       1        290716       1        290716  
   96.7      195927    1000000     29895      751649     14000      648860      1401      405699      289       330717       4        288823       1        286772       1        286772       1        286772       1        286772  
   98.3      195739    1000000     29878      751035     13982      648530      1412      404667      298       330407       2        289351       2        289351       1        287989       1        287989       1        287989  
  100.0      195421    1000000     29902      752261     14073      649911      1455      406024      300       328892       4        285622       1        283375       1        283375       1        283375       1        283375  
  101.7      196495    1000000     29708      750567     14066      649589      1383      402907      283       330191       4        289373       2        288307       1        287152       1        287152       1        287152  
  103.3      195928    1000000     30015      750941     14023      647913      1381      402603      293       329781       6        288708       2        286295       1        285191       1        285191       1        285191  
  105.0      196759    1000000     29979      750162     14195      648455      1389      400760      279       326695       6        287329       1        283734       1        283734       1        283734       1        283734  
  106.7      196228    1000000     30068      751469     14169      648925      1411      402174      297       328099       5        285829       1        283084       1        283084       1        283084       1        283084  
  108.3      196897    1000000     29993      750090     14254      648796      1419      400971      290       326008       4        283378       2        281798       1        279867       1        279867       1        279867  
  110.0      196549    1000000     30097      749800     14071      646449      1407      401984      292       327297       3        284165       1        282967       1        282967       1        282967       1        282967  
  111.7      196815    1000000     29837      750160     14081      648322      1379      400064      282       326043       1        284144       1        284144       1        284144       1        284144       1        284144  
  113.3      196859    1000000     30061      749768     14179      647279      1415      399734      300       325130       6        283030       1        279903       1        279903       1        279903       1        279903  
  115.0      196660    1000000     29841      750177     14092      648706      1406      401662      299       327907       4        283835       1        282235       1        282235       1        282235       1        282235  
  116.7      197130    1000000     30045      749371     14050      646062      1400      399647      304       325598       4        281042       3        280393       1        276903       1        276903       1        276903  
  118.3      196605    1000000     30009      750724     14158      648480      1450      402780      311       326621       2        281449       1        280673       1        280673       1        280673       1        280673  
  120.0      197009    1000000     29783      750229     13989      648661      1480      404374      325       327680       4        281946       1        280063       1        280063       1        280063       1        280063  
  121.7      196572    1000000     29875      750669     14128      649167      1481      403454      312       325779       4        281652       1        279361       1        279361       1        279361       1        279361  
  123.3      196728    1000000     30029      750599     14324      649429      1452      398551      299       322018       3        279696       2        278887       1        277836       1        277836       1        277836  
  125.0      196587    1000000     30088      750602     14104      647525      1465      402105      335       327087       3        279582       3        279582       1        277091       1        277091       1        277091  
  126.7      196546    1000000     30188      750627     14208      647400      1432      399905      308       325219       4        279331       1        277708       1        277708       1        277708       1        277708  
  128.3      197156    1000000     30188      749521     14122      645808      1461      401077      315       324859       4        279990       2        278899       1        277486       1        277486       1        277486  
  130.0      197335    1000000     30082      749320     14333      647625      1454      397103      314       320782       5        276908       1        273959       1        273959       1        273959       1        273959  
  131.7      196933    1000000     30007      750092     14227      647867      1458      400016      313       322873       3        278700       2        278178       1        276250       1        276250       1        276250  
  133.3      196840    1000000     29903      749912     14237      648746      1492      402363      318       323720       3        278280       2        277774       1        276743       1        276743       1        276743  
  135.0      197085    1000000     30286      750312     14272      646985      1473      398807      307       320889       4        275652       2        274374       1        269643       1        269643       1        269643  
  136.7      197222    1000000     30024      749793     14290      648071      1461      399397      313       322582       4        276699       2        275538       1        273780       1        273780       1        273780  
  138.3      197015    1000000     29749      750106     14262      649866      1485      400414      314       322170       5        276392       3        275008       1        269151       1        269151       1        269151  
  140.0      196699    1000000     30100      750270     14254      647872      1456      398253      309       321322       3        274149       2        273449       1        271364       1        271364       1        271364  
  141.7      197600    1000000     30261      749426     14126      645252      1452      399473      322       324837       2        276379       2        276379       1        275294       1        275294       1        275294  
  143.3      197057    1000000     30206      749506     14241      646510      1482      399021      298       319793       3        275267       1        274014       1        274014       1        274014       1        274014  
  145.0      197862    1000000     30130      748927     14175      645544      1491      399516      300       319186       3        274856       1        273757       1        273757       1        273757       1        273757  
  146.7      197532    1000000     30151      749053     14066      645465      1487      401182      290       320634       4        277628       3        277049       1        273040       1        273040       1        273040  
  148.3      198263    1000000     30125      747865     14141      644552      1493      400252      323       322116       3        274891       1        273655       1        273655       1        273655       1        273655  
  150.0      197726    1000000     29928      748452     14159      646663      1478      398199      308       319678       5        275394       2        273116       1        271491       1        271491       1        271491  
  151.7      197383    1000000     30124      749744     14215      647142      1507      401339      310       320753       5        273519       3        272170       1        266713       1        266713       1        266713  
  153.3      197847    1000000     29967      747626     14247      646015      1521      399737      340       320607       3        271464       1        270266       1        270266       1        270266       1        270266  
  155.0      196536    1000000     30202      751200     14192      647928      1477      399997      349       324008       3        273154       1        272032       1        272032       1        272032       1        272032  
  156.7      197198    1000000     30248      749891     14242      646409      1523      400885      312       318996       7        275523       1        272005       1        272005       1        272005       1        272005  
  158.3      198248    1000000     30103      747684     14238      645295      1541      398622      296       315184       2        271787       1        270961       1        270961       1        270961       1        270961  
  160.0      197350    1000000     30238      749833     14376      647557      1535      399608      355       321680       3        271135       2        270536       1        268280       1        268280       1        268280  
  161.7      197548    1000000     30218      748961     14255      645939      1520      399417      321       318747       2        273079       2        273079       1        271563       1        271563       1        271563  
  163.3      198135    1000000     30338      748527     14422      645818      1510      396083      314       316048       6        270500       2        268303       1        266508       1        266508       1        266508  
  165.0      198484    1000000     30595      748388     14307      643022      1444      391982      299       315995       3        270595       1        269353       1        269353       1        269353       1        269353  
  166.7      198311    1000000     30332      747896     14273      644338      1521      397310      324       316853       5        270115       2        268344       1        266030       1        266030       1        266030  
  168.3      197209    1000000     30140      749331     14212      646569      1528      397862      305       316250       6        270736       2        268462       2        268462       1        262224       1        262224  
  170.0      197169    1000000     29989      749383     14356      648289      1545      399277      327       317647       3        266973       2        266386       1        264757       1        264757       1        264757  
  171.7      197844    1000000     30303      749014     14354      646126      1487      396250      327       318501       6        270889       2        268615       1        266508       1        266508       1        266508  
  173.3      197529    1000000     30014      748569     14300      646876      1517      398483      323       317328       5        270819       2        269152       1        267223       1        267223       1        267223  
  175.0      198297    1000000     30289      748145     14300      645213      1533      397058      337       316972       6        269650       2        267248       1        265493       1        265493       1        265493  
  176.7      198262    1000000     30233      748052     14170      644227      1540      398062      320       316014       6        269526       3        267842       2        264101       1        255203       1        255203  
  178.3      198371    1000000     30422      748713     14368      645048      1502      395335      345       318003       3        267952       1        266802       1        266802       1        266802       1        266802  
  180.0      197470    1000000     30086      749129     14138      646314      1547      399473      372       321330       1        265731       1        265731       1        265731       1        265731       1        265731  
  181.7      197986    1000000     30241      749056     14144      645346      1535      400396      361       322193       3        266843       1        265489       1        265489       1        265489       1        265489  
  183.3      197006    1000000     30188      750363     14314      648056      1570      401648      335       318272       2        266687       1        266043       1        266043       1        266043       1        266043  
  185.0      198063    1000000     30173      748620     14229      645724      1507      399145      356       321955       5        266535       1        263774       1        263774       1        263774       1        263774  
  186.7      197075    1000000     30189      750255     14234      647315      1560      400927      368       320751       2        264932       2        264932       1        261642       1        261642       1        261642  
  188.3      197954    1000000     30470      749217     14378      645564      1498      395913      347       317996       3        266068       1        264815       1        264815       1        264815       1        264815  
  190.0      198190    1000000     30418      748494     14445      645527      1535      395446      351       316639       5        264729       3        263675       2        259372       1        253945       1        253945  
  191.7      197416    1000000     30204      748864     14284      646272      1537      398050      370       319827       3        266255       1        265163       1        265163       1        265163       1        265163  
  193.3      198217    1000000     30433      747943     14294      643912      1534      395424      330       314673       1        264206       1        264206       1        264206       1        264206       1        264206  
  195.0      197675    1000000     30160      748374     14211      645437      1502      394962      374       319352       4        264263       2        262813       1        260823       1        260823       1        260823  
  196.7      197045    1000000     30388      750064     14368      646647      1553      397608      342       316548       4        265270       2        263949       1        261762       1        261762       1        261762  
  198.3      197092    1000000     30403      750614     14492      647935      1579      397806      329       313885       7        265068       4        262922       1        256676       1        256676       1        256676  
  200.0      197314    1000000     30293      749497     14467      647311      1539      395461      360       316241       4        262585       1        260988       1        260988       1        260988       1        260988  
  201.7      197741    1000000     30187      748700     14395      646755      1560      396982      338       314888       5        264622       2        262555       2        262555       1        253362       1        253362  
  203.3      197478    1000000     30285      749576     14380      646731      1529      396150      381       319183       3        261941       2        261335       1        257933       1        257933       1        257933  
  205.0      197686    1000000     30193      749346     14493      648019      1553      396496      345       316239       3        264337       2        263584       1        262290       1        262290       1        262290  
  206.7      197395    1000000     30374      750457     14369      647207      1552      396723      358       316603       4        263273       2        261856       1        260145       1        260145       1        260145  
  208.3      197989    1000000     30211      748848     14471      647464      1549      395662      343       314531       6        263638       3        261636       2        257964       1        252592       1        252592  
  210.0      197212    1000000     30388      750052     14413      646902      1588      399578      363       318099       7        262929       3        259997       2        255465       2        255465       1        224441  
  211.7      197521    1000000     30329      749483     14215      645491      1587      399785      373       319187       5        262422       1        259954       1        259954       1        259954       1        259954  
  213.3      197752    1000000     30289      749032     14365      646419      1567      397428      367       316692       4        262729       4        262729       1        255260       1        255260       1        255260  
  215.0      198221    1000000     30288      748595     14381      645954      1572      395326      357       313596       6        261188       2        258703       1        257303       1        257303       1        257303  
  216.7      197689    1000000     30764      749937     14451      644452      1486      390702      353       313718       5        262033       2        259957       2        259957       2        259957       1        237736  
  218.3      197760    1000000     30441      749389     14349      645332      1561      396216      378       317501       6        261166       4        259939       1        250579       1        250579       1        250579  
  220.0      197571    1000000     30492      749326     14535      646545      1578      395688      336       312766       10       264530       3        259557       1        253176       1        253176       1        253176  
