 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   5.6       19097      100000      855       75614       168       71315        15       69063        14       69010        14       69010        12       67681        6        51768        2        24059        0          0     
   5.7       19254      100000      835       75475       163       71315        14       69345        14       69345        13       68871        12       68150        6        52431        2        24346        0          0     
   5.8       18914      100000      810       75721       164       71696        14       69636        14       69636        13       69224        12       68527        6        52936        2        24499        0          0     
   5.9       19039      100000      822       75436       153       71284        14       69437        14       69437        13       69177        12       68564        6        53217        2        24524        0          0     
   6.0       18925      100000      811       75723       139       71493        14       69791        14       69791        13       69645        12       69063        6        53752        2        24759        0          0     
   6.1       19096      100000      793       75574       154       71669        12       69724        12       69724        11       69244        11       69244        6        58420        2        29187        0          0     
   6.2       19059      100000      743       75693       145       71977        13       70246        13       70246        12       69810        12       69810        6        54657        2        25144        0          0     
   6.3       18986      100000      722       75618       127       71919        12       70378        12       70378        11       70036        11       70036        6        59416        2        29752        0          0     
   6.4       18867      100000      761       75866       136       72011        13       70339        13       70339        12       70092        11       69201        6        55345        3        35476        0          0     
   6.5       19063      100000      720       75490       136       71910        13       70323        13       70323        12       70203        11       69388        6        55608        3        35597        0          0     
   6.6       18913      100000      697       75735       131       72215        12       70559        12       70559        12       70559        11       69745        6        56148        3        35915        0          0     
   6.7       18739      100000      722       75948       127       72335        12       70830        12       70830        12       70830        11       70048        6        56467        3        36214        0          0     
   6.8       18600      100000      727       76426       119       72676        12       71282        12       71282        12       71282        10       69625        6        57014        3        36587        0          0     
   6.9       18393      100000      647       76491       105       73123        12       71848        12       71848        12       71848        10       70339        6        57799        3        37033        0          0     
   7.0       18550      100000      651       76430        96       73040        11       71843        11       71843        10       71413        8        69523        5        57978        3        43132        0          0     
   7.1       18398      100000      607       76391       112       73365        11       72028        11       72028        10       71615        8        69994        5        58414        3        43598        0          0     
   7.2       18258      100000      636       76737       106       73470        11       72212        11       72212        10       71875        8        70287        5        58619        3        43753        0          0     
   7.3       18196      100000      603       76664       110       73677        11       72363        11       72363        10       72051        8        70593        5        58829        3        43909        0          0     
   7.4       18135      100000      628       76915       124       73776        12       72317        12       72317        11       72158        9        70888        6        59099        3        38157        0          0     
   7.5       18437      100000      655       76655       113       73344        11       72031        11       72031        11       72031        9        70923        6        59273        3        38327        0          0     
   7.6       18447      100000      672       76618       116       73213        11       71836        11       71836        9        70963        9        70963        6        59347        3        38417        0          0     
   7.7       18441      100000      599       76292       121       73366        10       71857        10       71857        8        71080        8        71080        5        59550        3        44493        0          0     
   7.8       18427      100000      663       76517       118       73233        11       71754        11       71754        9        71258        9        71258        6        59718        3        38601        0          0     
   7.9       18191      100000      687       76636       101       73001        10       71765        10       71765        9        71536        9        71536        6        60031        3        38946        0          0     
   8.0       18501      100000      668       76458       107       73041        9        71732        8        71644        8        71644        8        71644        5        60116        3        45018        0          0     
   8.1       18428      100000      662       76489       106       73103        8        71751        8        71751        8        71751        8        71751        5        60142        3        45082        0          0     
