 Timestep      c1         p1         c5         p5        c10        p10        c50        p50        c100       p100       c500       p500      c1000      p1000      c5000      p5000      c10000     p10000     c50000     p50000  
   0.0       79367      100000      461        2578        4          44         0          0          0          0          0          0          0          0          0          0          0          0          0          0     
   0.1        9843      100000      1216      87806       613       83991       146       74873       102       71727        35       57528        17       44029        2        16526        0          0          0          0     
   0.2       10048      100000      1288      87453       635       83288       138       73141        91       69723        32       56835        19       47473        1         8164        0          0          0          0     
   0.3       10353      100000      1354      87109       662       82621       162       72936        86       67722        28       56829        16       47079        3        25692        1        12241        0          0     
   0.4       10593      100000      1393      86827       711       82444       177       72086        95       66404        28       54008        18       46754        1         5440        0          0          0          0     
   0.5       11128      100000      1509      86059       767       81283       162       69400        87       64102        26       51557        20       46761        0          0          0          0          0          0     
   0.6       11930      100000      1700      85273       858       79875       175       66402        77       59370        23       49136        16       43719        2        10277        0          0          0          0     
   0.7       12661      100000      1768      84172       876       78447       141       64338        69       59497        20       49950        12       44015        3        17996        0          0          0          0     
   0.8       13996      100000      1847      82443       831       75872       136       62484        52       56839        15       50479        10       46931        6        34631        0          0          0          0     
   0.9       14534      100000      1818      81502       796       74950        83       61396        35       58179        12       54120        12       54120        5        33424        0          0          0          0     
   1.0       15216      100000      1741      80264       631       73275        40       62698        18       61208        9        59568        8        58856        6        50931        2        23358        0          0     
   1.1       15518      100000      1377      79572       422       73442        18       67042        9        66504        8        66332        8        66332        7        62659        2        25877        0          0     
   1.2       14644      100000      978       80640       226       75951        8        72729        8        72729        8        72729        8        72729        7        68481        3        39143        0          0     
   1.3       13866      100000      683       81825       119       78291        7        76848        7        76848        7        76848        7        76848        7        76848        4        56088        0          0     
   1.4       13101      100000      434       82861        62       80609        7        79925        7        79925        7        79925        7        79925        7        79925        4        59137        0          0     
   1.5       12147      100000      389       84238        43       82125        6        81658        6        81658        6        81658        6        81658        6        81658        4        68014        0          0     
   1.6       11643      100000      287       85127        35       83627        6        83259        6        83259        6        83259        6        83259        6        83259        4        69522        0          0     
   1.7       11373      100000      266       85375        21       83906        5        83729        5        83729        5        83729        5        83729        5        83729        4        76879        0          0     
   1.8       11600      100000      252       85066        31       83740        6        83394        6        83394        6        83394        6        83394        6        83394        4        70438        0          0     
   1.9       11342      100000      277       85622        25       84111        6        83889        6        83889        6        83889        6        83889        6        83889        4        71346        0          0     
   2.0       11393      100000      299       85426        40       83885        7        83416        7        83416        6        83202        6        83202        6        83202        4        70894        0          0     
   2.1       11539      100000      259       85212        31       83823        6        83504        6        83504        6        83504        6        83504        6        83504        4        71718        0          0     
   2.2       11282      100000      228       85603        15       84360        5        84242        5        84242        5        84242        5        84242        5        84242        3        72918        0          0     
   2.3       10877      100000      210       86411        17       85278        5        85141        5        85141        5        85141        5        85141        5        85141        3        73981        0          0     
   2.4       10708      100000      209       86538        21       85419        5        85220        5        85220        5        85220        5        85220        5        85220        3        74650        0          0     
   2.5       10775      100000      173       86406        14       85480        5        85378        5        85378        5        85378        5        85378        4        80738        3        75495        0          0     
   2.6       10724      100000      186       86465        15       85437        5        85299        5        85299        5        85299        5        85299        3        76098        3        76098        0          0     
   2.7       10593      100000      205       86616        18       85530        5        85372        5        85372        5        85372        5        85372        3        76838        3        76838        0          0     
   2.8       10627      100000      215       86555        23       85414        6        85194        5        85121        5        85121        5        85121        3        77644        3        77644        0          0     
   2.9       10946      100000      254       86156        37       84854        6        84399        6        84399        6        84399        5        83466        3        78630        3        78630        0          0     
   3.0       11351      100000      267       85367        34       83946        6        83583        6        83583        4        82976        4        82976        3        79863        3        79863        0          0     
   3.1       11329      100000      229       85527        18       84276        4        84100        4        84100        4        84100        4        84100        3        81421        3        81421        0          0     
   3.2       10931      100000      216       86004        21       84845        5        84592        5        84592        5        84592        3        82861        3        82861        3        82861        0          0     
   3.3       10926      100000      213       86063        23       84940        3        84572        3        84572        3        84572        3        84572        3        84572        3        84572        0          0     
   3.4       10477      100000      146       86893        12       86103        3        86001        3        86001        3        86001        3        86001        3        86001        3        86001        0          0     
   3.5        9645      100000      107       88011        9        87435        3        87372        3        87372        3        87372        3        87372        3        87372        3        87372        0          0     
   3.6        8952      100000       99       89121        7        88583        3        88542        3        88542        3        88542        3        88542        3        88542        3        88542        0          0     
   3.7        8369      100000       62       89804        7        89501        3        89445        3        89445        3        89445        3        89445        3        89445        3        89445        0          0     
   3.8        8338      100000       69       89941        5        89572        3        89548        3        89548        3        89548        3        89548        3        89548        3        89548        0          0     
   3.9        8421      100000       65       89832        5        89484        3        89462        3        89462        3        89462        3        89462        3        89462        3        89462        0          0     
   4.0        8736      100000       63       89289        5        88956        3        88935        3        88935        3        88935        3        88935        3        88935        3        88935        0          0     
   4.1        8915      100000       94       89086        8        88608        3        88557        3        88557        3        88557        3        88557        3        88557        3        88557        0          0     
   4.2        8985      100000      100       89032        5        88478        3        88451        3        88451        3        88451        3        88451        3        88451        3        88451        0          0     
   4.3        9149      100000       81       88805        5        88374        3        88348        3        88348        3        88348        3        88348        3        88348        3        88348        0          0     
   4.4        9476      100000       99       88348        6        87812        3        87770        3        87770        3        87770        3        87770        3        87770        3        87770        0          0     
   4.5        9504      100000       89       88099        10       87636        3        87563        3        87563        3        87563        3        87563        3        87563        3        87563        0          0     
   4.6        9663      100000       98       88075        7        87562        3        87513        3        87513        3        87513        3        87513        3        87513        3        87513        0          0     
   4.7        9568      100000      115       88105        7        87488        3        87443        3        87443        3        87443        3        87443        3        87443        3        87443        0          0     
   4.8        9541      100000       99       88246        6        87695        3        87659        3        87659        3        87659        3        87659        3        87659        3        87659        0          0     
   4.9        9305      100000       98       88443        8        87935        3        87882        3        87882        3        87882        3        87882        3        87882        3        87882        0          0     
   5.0        9136      100000       96       88739        10       88247        3        88169        3        88169        3        88169        3        88169        3        88169        3        88169        0          0     
   5.1        9249      100000       96       88705        8        88196        3        88144        3        88144        3        88144        3        88144        3        88144        3        88144        0          0     
   5.2        9505      100000      118       88281        8        87654        3        87602        3        87602        3        87602        3        87602        3        87602        3        87602        0          0     
   5.3        9713      100000       96       88036        8        87531        3        87471        3        87471        3        87471        3        87471        3        87471        3        87471        0          0     
   5.4        9760      100000      118       87959        9        87328        3        87239        3        87239        3        87239        3        87239        3        87239        3        87239        0          0     
   5.5        9703      100000       99       88005        6        87471        3        87439        3        87439        3        87439        3        87439        3        87439        3        87439        0          0     
   5.6        9647      100000      100       87987        6        87432        3        87392        3        87392        3        87392        3        87392        3        87392        3        87392        0          0     
   5.7        9754      100000       90       87875        4        87390        3        87380        3        87380        3        87380        3        87380        3        87380        3        87380        0          0     
   5.8        9770      100000      130       87817        11       87155        3        87066        3        87066        3        87066        3        87066        3        87066        3        87066        0          0     
   5.9        9601      100000      105       88132        6        87571        3        87539        3        87539        3        87539        3        87539        3        87539        3        87539        0          0     
   6.0        9477      100000       83       88293        6        87855        3        87824        3        87824        3        87824        3        87824        3        87824        3        87824        1        50642   
   6.1        9495      100000      111       88258        5        87644        3        87622        3        87622        3        87622        3        87622        3        87622        3        87622        1        51059   
   6.2        9403      100000       92       88361        8        87874        3        87821        3        87821        3        87821        3        87821        3        87821        3        87821        1        51792   
   6.3        9244      100000       81       88632        4        88192        3        88180        3        88180        3        88180        3        88180        3        88180        3        88180        1        52468   
   6.4        9253      100000       82       88641        4        88195        3        88185        3        88185        3        88185        3        88185        3        88185        3        88185        1        52738   
   6.5        9301      100000       89       88516        8        88059        3        87986        3        87986        3        87986        3        87986        3        87986        3        87986        1        52766   
   6.6        9170      100000       96       88754        3        88226        3        88226        3        88226        3        88226        3        88226        3        88226        2        78463        1        53294   
   6.7        9000      100000       69       88984        4        88606        3        88595        3        88595        3        88595        3        88595        3        88595        2        79221        1        53854   
   6.8        9035      100000       84       88957        8        88525        3        88464        3        88464        3        88464        3        88464        3        88464        2        79565        1        54469   
   6.9        9130      100000       86       88842        6        88358        3        88328        3        88328        3        88328        3        88328        3        88328        2        79830        1        54783   
   7.0        9413      100000      118       88278        7        87614        3        87570        3        87570        3        87570        3        87570        3        87570        2        79719        1        55120   
   7.1        9635      100000      104       88048        7        87470        3        87424        3        87424        3        87424        3        87424        3        87424        2        80036        1        55639   
   7.2        9699      100000      119       87984        8        87327        3        87276        3        87276        3        87276        3        87276        3        87276        2        80069        1        56005   
   7.3        9593      100000      110       88196        10       87625        3        87548        3        87548        3        87548        3        87548        3        87548        2        80508        1        56531   
   7.4        9309      100000       81       88550        7        88127        3        88082        3        88082        3        88082        3        88082        3        88082        2        81261        1        56999   
   7.5        9127      100000       71       88786        4        88414        3        88403        3        88403        3        88403        3        88403        3        88403        2        81874        1        57387   
   7.6        9025      100000       73       88885        4        88498        3        88488        3        88488        3        88488        3        88488        3        88488        2        82426        1        57777   
   7.7        9099      100000       97       88805        8        88291        3        88236        3        88236        3        88236        3        88236        3        88236        2        82599        1        57827   
   7.8        9064      100000       99       88799        5        88261        3        88239        3        88239        3        88239        3        88239        3        88239        2        83005        1        58127   
   7.9        9218      100000       92       88797        6        88319        3        88287        3        88287        3        88287        3        88287        2        83298        2        83298        1        58420   
   8.0        9254      100000      102       88550        7        87996        3        87954        3        87954        3        87954        3        87954        2        83295        2        83295        1        58665   
   8.1        9518      100000      100       88328        9        87798        3        87735        3        87735        3        87735        3        87735        2        83572        2        83572        1        58944   
   8.2        9644      100000      108       88071        10       87505        3        87426        3        87426        3        87426        3        87426        2        83781        2        83781        1        59200   
   8.3        9803      100000      138       87714        9        86967        3        86896        3        86896        3        86896        3        86896        2        83832        2        83832        1        59104   
   8.4        9773      100000      106       87836        8        87273        3        87215        3        87215        3        87215        3        87215        2        84581        2        84581        1        59475   
   8.5        9765      100000      101       87854        8        87326        3        87273        3        87273        3        87273        3        87273        2        85318        2        85318        1        59993   
   8.6        9799      100000      102       87945        7        87399        3        87335        3        87335        3        87335        3        87335        2        85864        2        85864        1        60380   
   8.7        9710      100000      111       87952        7        87347        3        87306        3        87306        3        87306        2        86539        2        86539        2        86539        1        60773   
   8.8        9823      100000      111       87848        7        87237        3        87194        3        87194        2        87024        2        87024        2        87024        2        87024        1        61178   
   8.9        9649      100000       74       88182        3        87771        2        87761        2        87761        2        87761        2        87761        2        87761        2        87761        1        61628   
   9.0        9101      100000       92       88836        5        88316        2        88286        2        88286        2        88286        2        88286        2        88286        2        88286        1        62029   
   9.1        8807      100000       94       89323        5        88808        2        88778        2        88778        2        88778        2        88778        2        88778        2        88778        1        62359   
   9.2        8814      100000       55       89333        3        89037        2        89027        2        89027        2        89027        2        89027        2        89027        2        89027        1        62475   
   9.3        8575      100000       50       89627        5        89361        2        89328        2        89328        2        89328        2        89328        2        89328        2        89328        1        62716   
   9.4        8358      100000       60       89803        2        89461        2        89461        2        89461        2        89461        2        89461        2        89461        2        89461        1        62852   
   9.5        8551      100000       66       89668        5        89314        2        89283        2        89283        2        89283        2        89283        2        89283        2        89283        1        62929   
   9.6        8226      100000       61       90068        3        89742        2        89727        2        89727        2        89727        2        89727        2        89727        2        89727        1        63100   
   9.7        8152      100000       46       90215        3        89972        2        89961        2        89961        2        89961        2        89961        2        89961        2        89961        1        63336   
   9.8        8074      100000       48       90380        2        90119        2        90119        2        90119        2        90119        2        90119        2        90119        2        90119        1        63638   
   9.9        7901      100000       35       90521        3        90338        2        90327        2        90327        2        90327        2        90327        2        90327        2        90327        1        63908   
   10.0       8031      100000       50       90313        2        90046        2        90046        2        90046        2        90046        2        90046        2        90046        2        90046        1        63880   
   10.1       8299      100000       57       89852        6        89563        2        89515        2        89515        2        89515        2        89515        2        89515        2        89515        1        63790   
   10.2       8779      100000       73       89216        6        88825        2        88781        2        88781        2        88781        2        88781        2        88781        2        88781        1        63551   
   10.3       8995      100000       72       89082        3        88680        2        88670        2        88670        2        88670        2        88670        2        88670        2        88670        1        63632   
   10.4       8800      100000       85       89254        8        88814        2        88750        2        88750        2        88750        2        88750        2        88750        2        88750        1        63785   
   10.5       9040      100000       85       88988        2        88514        2        88514        2        88514        2        88514        2        88514        2        88514        2        88514        1        63713   
   10.6       9117      100000       76       88866        6        88462        2        88412        2        88412        2        88412        2        88412        2        88412        2        88412        1        63797   
   10.7       9175      100000       93       88851        3        88348        2        88336        2        88336        2        88336        2        88336        2        88336        2        88336        1        63959   
   10.8       9330      100000       88       88585        3        88105        2        88093        2        88093        2        88093        2        88093        2        88093        2        88093        1        63929   
   10.9       9194      100000       82       88759        3        88307        2        88295        2        88295        2        88295        2        88295        2        88295        2        88295        1        64195   
   11.0       9052      100000       66       88891        4        88531        2        88508        2        88508        2        88508        2        88508        2        88508        2        88508        1        64391   
   11.1       8883      100000       75       89254        4        88859        2        88836        2        88836        2        88836        2        88836        2        88836        2        88836        1        64656   
   11.2       8698      100000       64       89432        2        89083        2        89083        2        89083        2        89083        2        89083        2        89083        2        89083        1        64780   
   11.3       8439      100000       53       89732        2        89446        2        89446        2        89446        2        89446        2        89446        2        89446        2        89446        1        65086   
   11.4       8347      100000       61       89944        2        89612        2        89612        2        89612        2        89612        2        89612        2        89612        2        89612        1        65350   
   11.5       8530      100000       75       89696        4        89271        2        89247        2        89247        2        89247        2        89247        2        89247        2        89247        1        65432   
   11.6       8782      100000       76       89314        4        88911        2        88889        2        88889        2        88889        2        88889        2        88889        2        88889        1        65405   
   11.7       9049      100000       84       89049        6        88604        2        88559        2        88559        2        88559        2        88559        2        88559        2        88559        1        65502   
   11.8       8941      100000       77       89040        2        88605        2        88605        2        88605        2        88605        2        88605        2        88605        2        88605        1        65839   
   11.9       8893      100000       67       89156        5        88806        2        88773        2        88773        2        88773        2        88773        2        88773        2        88773        1        66177   
   12.0       8694      100000       59       89435        4        89117        2        89096        2        89096        2        89096        2        89096        2        89096        2        89096        1        66584   
   12.1       8465      100000       70       89692        5        89313        2        89280        2        89280        2        89280        2        89280        2        89280        2        89280        1        66967   
   12.2       8603      100000       62       89593        5        89277        2        89244        2        89244        2        89244        2        89244        2        89244        2        89244        1        67186   
   12.3       8467      100000       62       89800        4        89462        2        89437        2        89437        2        89437        2        89437        2        89437        2        89437        1        67391   
   12.4       8700      100000       78       89329        7        88923        2        88863        2        88863        2        88863        2        88863        2        88863        2        88863        1        67092   
   12.5       8963      100000       97       88984        4        88426        2        88406        2        88406        2        88406        2        88406        2        88406        2        88406        1        66681   
   12.6       9205      100000       72       88819        4        88448        2        88425        2        88425        2        88425        2        88425        2        88425        2        88425        1        66746   
   12.7       8858      100000       62       89165        4        88836        2        88814        2        88814        2        88814        2        88814        2        88814        2        88814        1        67077   
   12.8       8718      100000       61       89475        3        89139        2        89129        2        89129        2        89129        2        89129        2        89129        2        89129        1        67371   
   12.9       8556      100000       60       89706        2        89375        2        89375        2        89375        2        89375        2        89375        2        89375        2        89375        1        67752   
   13.0       8382      100000       58       89781        2        89455        2        89455        2        89455        2        89455        2        89455        2        89455        2        89455        1        67890   
   13.1       8332      100000       56       89920        5        89627        2        89594        2        89594        2        89594        2        89594        2        89594        2        89594        1        68143   
   13.2       8600      100000       57       89588        8        89311        2        89228        2        89228        2        89228        2        89228        2        89228        2        89228        1        68025   
