             TauR                           MSD              
            41.000                     250768.810780         
            41.167                     252477.394829         
            41.333                     254191.707541         
            41.500                     255903.291294         
            41.666                     257623.421080         
            41.833                     259333.304063         
            42.000                     261042.494477         
            42.166                     262732.931768         
            42.333                     264401.368628         
            42.500                     266049.882579         
            42.666                     267685.149905         
            42.833                     269314.588774         
            43.000                     270933.947766         
            43.166                     272532.121143         
            43.333                     274112.635658         
            43.500                     275698.057033         
            43.666                     277295.540573         
            43.833                     278893.737428         
            44.000                     280495.887597         
            44.166                     282106.087864         
            44.333                     283735.762747         
            44.500                     285399.162467         
            44.666                     287101.445284         
            44.833                     288833.568775         
            45.000                     290599.633375         
            45.166                     292374.709611         
            45.333                     294136.307099         
            45.500                     295892.906171         
            45.666                     297640.017042         
            45.833                     299382.279730         
            46.000                     301106.594174         
            46.166                     302803.375524         
            46.333                     304495.298854         
            46.500                     306202.215305         
            46.666                     307938.400095         
            46.833                     309696.913925         
            47.000                     311469.045077         
            47.166                     313241.468436         
            47.333                     315024.641773         
            47.500                     316807.749533         
            47.666                     318581.859738         
            47.833                     320355.196429         
            48.000                     322154.337324         
            48.166                     323962.621312         
            48.333                     325759.022712         
            48.500                     327562.188472         
            48.666                     329364.306186         
            48.833                     331161.443115         
            49.000                     332974.120541         
            49.166                     334788.066697         
            49.333                     336598.574990         
            49.500                     338419.453856         
            49.666                     340282.620585         
            49.833                     342172.389371         
            50.000                     344093.230838         
            50.166                     346025.389467         
            50.333                     347966.999190         
            50.500                     349906.980619         
            50.666                     351831.158258         
            50.833                     353739.553756         
            51.000                     355649.134341         
            51.166                     357557.097780         
            51.333                     359456.206946         
            51.500                     361389.447232         
            51.666                     363361.392527         
            51.833                     365371.760747         
            52.000                     367392.207510         
            52.166                     369420.024200         
            52.333                     371445.631292         
            52.500                     373427.036641         
            52.666                     375375.685343         
            52.833                     377306.229415         
            53.000                     379226.606419         
            53.166                     381132.384470         
            53.333                     383019.344913         
            53.500                     384884.681427         
            53.666                     386713.508103         
            53.833                     388526.562198         
            54.000                     390337.576388         
            54.166                     392157.483169         
            54.333                     393968.296242         
            54.500                     395751.059499         
            54.666                     397507.616881         
            54.833                     399247.291448         
            55.000                     400971.986760         
            55.166                     402690.123873         
            55.333                     404410.761381         
            55.500                     406141.790740         
            55.666                     407883.314384         
            55.833                     409611.809726         
            56.000                     411339.872642         
            56.166                     413058.757557         
            56.333                     414765.649461         
            56.500                     416470.502992         
            56.666                     418158.586975         
            56.833                     419847.451683         
            57.000                     421533.171848         
            57.166                     423211.416689         
            57.333                     424888.918984         
            57.500                     426570.577047         
            57.666                     428260.060242         
            57.833                     429968.831386         
            58.000                     431699.413960         
            58.166                     433456.587820         
            58.333                     435241.939793         
            58.500                     437032.270510         
            58.666                     438848.045504         
            58.833                     440688.456972         
            59.000                     442532.619686         
            59.166                     444379.846975         
            59.333                     446230.603111         
            59.500                     448089.946367         
            59.666                     449963.187286         
            59.833                     451854.426954         
            60.000                     453765.451451         
            60.166                     455680.843847         
            60.333                     457614.582214         
            60.500                     459552.755650         
            60.666                     461481.880666         
            60.833                     463386.957539         
            61.000                     465285.057592         
            61.166                     467196.982374         
            61.333                     469097.158241         
            61.500                     470989.091401         
            61.666                     472874.843023         
            61.833                     474753.584667         
            62.000                     476640.594872         
            62.166                     478523.984702         
            62.333                     480400.430557         
            62.500                     482266.102532         
            62.666                     484088.045561         
            62.833                     485874.535687         
            63.000                     487651.208851         
            63.166                     489433.114828         
            63.333                     491204.347679         
            63.500                     492974.443344         
            63.666                     494742.635259         
            63.833                     496497.844016         
            64.000                     498231.655570         
            64.166                     499944.780139         
            64.333                     501639.530905         
            64.500                     503321.444171         
            64.666                     504983.585366         
            64.833                     506614.089532         
            65.000                     508245.195381         
            65.166                     509873.795626         
            65.333                     511509.065972         
            65.500                     513156.155264         
            65.666                     514806.120701         
            65.833                     516452.281312         
            66.000                     518084.441096         
            66.166                     519705.773650         
            66.333                     521337.018015         
            66.500                     522991.259946         
            66.666                     524660.351349         
            66.833                     526327.092532         
            67.000                     528005.231851         
            67.166                     529690.530689         
            67.333                     531378.300509         
            67.500                     533066.797989         
            67.666                     534764.272603         
            67.833                     536468.768531         
            68.000                     538168.787593         
            68.166                     539876.885181         
            68.333                     541576.174311         
            68.500                     543277.046526         
            68.666                     544993.549992         
            68.833                     546723.230290         
            69.000                     548461.928963         
            69.166                     550219.038021         
            69.333                     551986.342285         
            69.500                     553783.356526         
            69.666                     555627.291819         
            69.833                     557487.894526         
            70.000                     559361.733333         
            70.166                     561228.351745         
            70.333                     563081.994768         
            70.500                     564938.735929         
            70.666                     566814.242072         
            70.833                     568677.605384         
            71.000                     570551.529511         
            71.166                     572457.079257         
            71.333                     574389.673005         
            71.500                     576342.359957         
            71.666                     578296.074407         
            71.833                     580257.148343         
            72.000                     582204.757034         
            72.166                     584117.745517         
            72.333                     586022.402851         
            72.500                     587919.347995         
            72.666                     589805.913167         
            72.833                     591708.019254         
            73.000                     593627.134336         
            73.166                     595571.864461         
            73.333                     597521.114846         
            73.500                     599464.218108         
            73.666                     601392.739360         
            73.833                     603321.737007         
            74.000                     605245.487874         
            74.166                     607158.665016         
            74.333                     609093.455277         
            74.500                     611047.400255         
            74.666                     613012.389059         
            74.833                     614975.765749         
            75.000                     616957.717074         
            75.166                     618953.067790         
            75.333                     620956.128608         
            75.500                     622965.331098         
            75.666                     624983.936056         
            75.833                     627009.040324         
            76.000                     629053.928859         
            76.166                     631103.709805         
            76.333                     633149.101195         
            76.500                     635196.307842         
            76.666                     637271.813736         
            76.833                     639355.770548         
            77.000                     641448.035896         
            77.166                     643547.497529         
            77.333                     645631.181389         
            77.500                     647711.091040         
            77.666                     649791.875077         
            77.833                     651875.497918         
            78.000                     653969.392430         
            78.166                     656076.209973         
            78.333                     658194.633763         
            78.500                     660316.470464         
            78.666                     662442.678591         
            78.833                     664578.976672         
            79.000                     666706.360404         
            79.166                     668832.391520         
            79.333                     670971.216891         
            79.500                     673144.172945         
            79.666                     675357.418834         
            79.833                     677586.346102         
            80.000                     679809.509959         
            80.166                     682016.760666         
            80.333                     684212.135634         
            80.500                     686415.473592         
            80.666                     688657.000869         
            80.833                     690926.175142         
            81.000                     693205.586690         
            81.166                     695469.994127         
            81.333                     697729.227390         
            81.500                     699984.578555         
            81.666                     702253.525997         
            81.833                     704527.308785         
            82.000                     706815.287259         
            82.166                     709099.946356         
            82.333                     711364.951754         
            82.500                     713601.692644         
            82.666                     715805.802775         
            82.833                     717976.424139         
            83.000                     720090.406886         
            83.166                     722166.669317         
            83.333                     724213.532754         
            83.500                     726246.814457         
            83.666                     728284.157462         
            83.833                     730319.062404         
            84.000                     732337.698196         
            84.166                     734349.524272         
            84.333                     736361.494302         
            84.500                     738392.080683         
            84.666                     740466.118738         
            84.833                     742574.648641         
            85.000                     744694.242631         
            85.166                     746831.355853         
            85.333                     749017.850951         
            85.500                     751245.451068         
            85.666                     753507.894187         
            85.833                     755818.391120         
            86.000                     758192.656940         
            86.166                     760631.202449         
            86.333                     763094.532114         
            86.500                     765570.336680         
            86.666                     768059.356425         
            86.833                     770575.234997         
            87.000                     773121.400442         
            87.166                     775706.741385         
            87.333                     778346.455563         
            87.500                     781047.413868         
            87.666                     783795.495995         
            87.833                     786567.535662         
            88.000                     789362.487130         
            88.166                     792185.340691         
            88.333                     795061.829519         
            88.500                     797956.742822         
            88.666                     800854.242935         
            88.833                     803741.935990         
            89.000                     806613.084460         
            89.166                     809497.251751         
            89.333                     812410.860605         
            89.500                     815323.483406         
            89.666                     818245.035227         
            89.833                     821165.586894         
            90.000                     824091.758980         
            90.166                     827010.838984         
            90.333                     829917.285728         
            90.500                     832787.762809         
            90.666                     835640.251428         
            90.833                     838481.696771         
            91.000                     841319.551325         
            91.166                     844136.373675         
            91.333                     846937.953901         
            91.500                     849731.741741         
            91.666                     852547.539430         
            91.833                     855414.825551         
            92.000                     858252.465957         
            92.166                     861048.861446         
            92.333                     863799.275226         
            92.500                     866520.778609         
            92.666                     869194.534871         
            92.833                     871869.475607         
            93.000                     874557.945687         
            93.166                     877267.706976         
            93.333                     880019.982383         
            93.500                     882809.417322         
            93.666                     885657.043057         
