             TauR                           MSD              
            0.000                         0.000000           
            0.167                         3.077074           
            0.333                        13.771071           
            0.500                        34.508274           
            0.667                        67.522250           
            0.833                        117.466592          
            1.000                        189.134910          
            1.167                        286.386704          
            1.333                        409.582459          
            1.500                        555.038884          
            1.667                        721.485165          
            1.833                        914.396707          
            2.000                       1131.626060          
            2.167                       1379.950157          
            2.333                       1665.298885          
            2.500                       1997.307997          
            2.667                       2370.951406          
            2.833                       2782.390988          
            3.000                       3237.521733          
            3.167                       3740.539430          
            3.333                       4293.107032          
            3.500                       4884.004796          
            3.667                       5505.923262          
            3.833                       6148.657623          
            4.000                       6809.938111          
            4.167                       7489.328117          
            4.333                       8191.070797          
            4.500                       8918.171288          
            4.667                       9671.632414          
            4.833                       10456.418804         
            5.000                       11284.144789         
            5.167                       12152.606799         
            5.333                       13032.899133         
            5.500                       13921.138544         
            5.667                       14816.471475         
            5.833                       15722.675028         
            6.000                       16620.206055         
            6.167                       17514.926670         
            6.333                       18409.572965         
            6.500                       19313.957493         
            6.667                       20241.044247         
            6.833                       21177.796442         
            7.000                       22124.072630         
            7.167                       23076.319254         
            7.333                       24025.296774         
            7.500                       24966.161177         
            7.667                       25907.296824         
            7.833                       26843.502490         
            8.000                       27786.997388         
            8.167                       28729.120860         
            8.333                       29671.851311         
            8.500                       30620.197631         
            8.667                       31567.383532         
            8.833                       32515.309937         
            9.000                       33456.689391         
            9.167                       34399.072378         
            9.333                       35335.756303         
            9.500                       36272.976992         
            9.667                       37212.861015         
            9.833                       38162.136161         
            10.000                      39112.357123         
            10.167                      40064.650989         
            10.333                      41018.162846         
            10.500                      41974.208275         
            10.667                      42947.629097         
            10.833                      43936.969396         
            11.000                      44918.606968         
            11.167                      45896.514010         
            11.333                      46872.738345         
            11.500                      47854.986360         
            11.667                      48836.429514         
            11.833                      49817.091341         
            12.000                      50790.927748         
            12.167                      51757.460289         
            12.333                      52713.027661         
            12.500                      53667.452117         
            12.667                      54626.987977         
            12.833                      55599.688014         
            13.000                      56593.153501         
            13.167                      57601.182862         
            13.333                      58615.070023         
            13.500                      59641.212970         
            13.667                      60672.583691         
            13.833                      61697.535253         
            14.000                      62716.457985         
            14.167                      63725.945859         
            14.333                      64721.522054         
            14.500                      65715.067295         
            14.667                      66707.471188         
            14.833                      67699.647392         
            15.000                      68695.236574         
            15.167                      69681.712843         
            15.333                      70664.523192         
            15.500                      71645.914294         
            15.667                      72638.724814         
            15.833                      73643.869216         
            16.000                      74656.562789         
            16.167                      75671.258384         
            16.333                      76685.691728         
            16.500                      77693.979253         
            16.667                      78692.919644         
            16.833                      79681.552185         
            17.000                      80659.372813         
            17.167                      81638.116448         
            17.333                      82619.539384         
            17.500                      83606.449962         
            17.667                      84598.275190         
            17.833                      85606.421703         
            18.000                      86637.141831         
            18.167                      87692.369061         
            18.333                      88770.810847         
            18.500                      89863.478559         
            18.667                      90975.451520         
            18.833                      92097.815398         
            19.000                      93235.737712         
            19.167                      94394.367249         
            19.333                      95558.328008         
            19.500                      96717.741442         
            19.667                      97864.463188         
            19.833                      99000.281408         
            20.000                     100137.064779         
            20.167                     101263.726927         
            20.333                     102377.808909         
            20.500                     103481.602718         
            20.667                     104575.832102         
            20.833                     105666.545596         
            21.000                     106750.017523         
            21.167                     107835.142940         
            21.333                     108929.976035         
            21.500                     110036.443712         
            21.667                     111154.107308         
            21.833                     112277.776859         
            22.000                     113385.378252         
            22.167                     114488.636381         
            22.333                     115587.045044         
            22.500                     116682.309336         
            22.667                     117788.286406         
            22.833                     118901.058015         
            23.000                     120021.125437         
            23.167                     121159.675060         
            23.333                     122323.835607         
            23.500                     123497.731799         
            23.667                     124676.097914         
            23.833                     125858.090430         
            24.000                     127041.009930         
            24.167                     128224.390833         
            24.333                     129419.334844         
            24.500                     130624.303143         
            24.667                     131840.315550         
            24.833                     133058.748975         
            25.000                     134277.616111         
            25.167                     135488.213290         
            25.333                     136693.723199         
            25.500                     137895.888746         
            25.667                     139094.545901         
            25.833                     140287.957045         
            26.000                     141474.559271         
            26.167                     142658.782234         
