             TauR                           MSD              
            0.000                         0.000000           
            0.167                         2.342717           
            0.333                        11.624119           
            0.500                        31.024115           
            0.667                        63.796792           
            0.833                        110.650171          
            1.000                        171.511506          
            1.167                        245.607053          
            1.333                        333.204674          
            1.500                        434.339790          
            1.667                        548.444266          
            1.833                        674.334494          
            2.000                        812.479575          
            2.167                        961.899182          
            2.333                       1124.951282          
            2.500                       1301.074321          
            2.667                       1492.129983          
            2.833                       1698.908712          
            3.000                       1918.209983          
            3.167                       2150.574590          
            3.333                       2396.501944          
            3.500                       2657.492965          
            3.667                       2932.804903          
            3.833                       3225.382417          
            4.000                       3534.962432          
            4.167                       3861.736557          
            4.333                       4204.812989          
            4.500                       4564.357466          
            4.667                       4939.231577          
            4.833                       5327.938951          
            5.000                       5720.758884          
            5.167                       6114.824840          
            5.333                       6512.877542          
            5.500                       6912.519083          
            5.667                       7313.873735          
            5.833                       7716.227738          
            6.000                       8117.652183          
            6.167                       8521.939770          
            6.333                       8927.771283          
            6.500                       9335.469439          
            6.667                       9744.700896          
            6.833                       10155.641971         
            7.000                       10568.875657         
            7.167                       10984.833276         
            7.333                       11402.765990         
            7.500                       11822.023419         
            7.667                       12244.263525         
            7.833                       12668.154530         
            8.000                       13096.906017         
            8.167                       13531.177931         
            8.333                       13968.103826         
            8.500                       14406.218587         
            8.667                       14844.692645         
            8.833                       15284.633571         
            9.000                       15727.257140         
            9.167                       16170.744382         
            9.333                       16613.879865         
            9.500                       17056.332740         
            9.667                       17500.962215         
            9.833                       17951.238945         
            10.000                      18408.054958         
            10.167                      18870.249195         
            10.333                      19339.568980         
            10.500                      19815.424751         
            10.667                      20298.821112         
            10.833                      20786.580975         
            11.000                      21276.245464         
            11.167                      21768.385484         
            11.333                      22264.518298         
            11.500                      22763.045518         
            11.667                      23265.664796         
            11.833                      23773.381137         
            12.000                      24286.845791         
            12.167                      24805.430681         
            12.333                      25327.012416         
            12.500                      25850.251067         
            12.667                      26374.287587         
            12.833                      26900.178931         
            13.000                      27430.721423         
            13.167                      27962.789992         
            13.333                      28494.534235         
            13.500                      29026.063804         
            13.667                      29559.511589         
            13.833                      30095.354573         
            14.000                      30634.544143         
            14.167                      31178.714472         
            14.333                      31725.490868         
            14.500                      32274.848043         
            14.667                      32825.079019         
            14.833                      33377.446383         
            15.000                      33929.049458         
            15.167                      34479.959284         
            15.333                      35029.506992         
            15.500                      35581.303242         
            15.667                      36135.804517         
            15.833                      36691.459717         
            16.000                      37248.422741         
            16.167                      37808.177921         
            16.333                      38368.865986         
            16.500                      38925.127206         
            16.667                      39476.928720         
            16.833                      40025.210974         
            17.000                      40572.613251         
            17.167                      41117.397009         
            17.333                      41662.250195         
            17.500                      42208.525725         
            17.667                      42754.976477         
            17.833                      43301.775087         
            18.000                      43851.012398         
            18.167                      44403.176927         
            18.333                      44957.302005         
            18.500                      45513.783530         
            18.667                      46073.087996         
            18.833                      46636.774497         
            19.000                      47203.663419         
            19.167                      47773.252707         
            19.333                      48345.164775         
            19.500                      48917.454512         
            19.667                      49489.488281         
            19.833                      50060.553438         
            20.000                      50629.804880         
            20.167                      51198.827516         
            20.333                      51768.306735         
            20.500                      52337.490379         
            20.667                      52909.009100         
            20.833                      53483.549237         
            21.000                      54062.791428         
            21.167                      54643.594370         
            21.333                      55226.902430         
            21.500                      55811.001171         
            21.667                      56397.358033         
            21.833                      56986.770351         
            22.000                      57576.982283         
            22.167                      58166.535438         
            22.333                      58755.657601         
            22.500                      59344.162853         
            22.667                      59934.277546         
            22.833                      60526.289714         
            23.000                      61123.879124         
            23.167                      61727.081182         
            23.333                      62333.100243         
            23.500                      62938.563611         
            23.667                      63543.655441         
            23.833                      64151.686260         
            24.000                      64763.964180         
            24.167                      65376.468337         
            24.333                      65988.649930         
            24.500                      66603.772322         
            24.667                      67221.946821         
            24.833                      67844.169702         
            25.000                      68468.084073         
            25.167                      69092.444477         
            25.333                      69716.811051         
            25.500                      70343.504245         
            25.667                      70973.114398         
            25.833                      71606.153098         
            26.000                      72239.889975         
            26.167                      72871.431705         
            26.333                      73499.020574         
            26.500                      74125.256822         
            26.667                      74752.962281         
            26.833                      75380.861665         
            27.000                      76007.239459         
            27.167                      76632.589063         
            27.333                      77255.034310         
            27.500                      77878.744251         
            27.667                      78506.291339         
            27.833                      79139.334639         
            28.000                      79777.259877         
            28.167                      80419.610170         
            28.333                      81066.394615         
            28.500                      81717.575041         
            28.667                      82369.945293         
            28.833                      83020.586969         
            29.000                      83671.005543         
            29.167                      84323.463991         
            29.333                      84981.879433         
            29.500                      85645.813290         
            29.667                      86312.165371         
            29.833                      86982.069862         
            30.000                      87654.342887         
            30.167                      88327.644572         
            30.333                      89001.490769         
            30.500                      89676.039047         
            30.667                      90349.169987         
            30.833                      91023.306548         
            31.000                      91697.613376         
            31.167                      92370.891998         
            31.333                      93042.496918         
            31.500                      93711.487149         
            31.667                      94378.651113         
            31.833                      95045.304074         
            32.000                      95711.616288         
            32.167                      96376.116537         
            32.333                      97039.056953         
            32.500                      97702.242762         
            32.667                      98364.905060         
            32.833                      99026.988864         
            33.000                      99686.449079         
            33.167                     100346.078565         
            33.333                     101006.358799         
            33.500                     101670.418513         
            33.667                     102340.614678         
            33.833                     103015.615670         
            34.000                     103695.061627         
            34.167                     104376.938020         
            34.333                     105064.239210         
            34.500                     105757.368799         
            34.667                     106455.216518         
            34.833                     107155.568046         
            35.000                     107854.951875         
            35.167                     108550.416236         
            35.333                     109240.790744         
            35.500                     109930.875052         
            35.667                     110622.067390         
            35.833                     111313.276147         
            36.000                     112004.811969         
            36.167                     112699.308668         
            36.333                     113396.794834         
            36.500                     114097.548712         
            36.667                     114802.941954         
            36.833                     115515.630981         
            37.000                     116231.364293         
            37.167                     116951.401843         
            37.333                     117676.632204         
            37.500                     118406.329321         
            37.667                     119139.429171         
            37.833                     119876.094539         
            38.000                     120613.924420         
            38.167                     121350.957791         
            38.333                     122084.994789         
            38.500                     122816.883035         
            38.667                     123548.165289         
            38.833                     124279.648896         
            39.000                     125009.798855         
            39.167                     125736.437754         
            39.333                     126462.622419         
            39.500                     127189.812159         
            39.667                     127920.822453         
            39.833                     128657.314834         
            40.000                     129398.904302         
            40.167                     130145.249855         
            40.333                     130894.741729         
            40.500                     131649.592810         
            40.667                     132407.614213         
            40.833                     133165.063051         
            41.000                     133919.444117         
            41.167                     134669.951184         
            41.333                     135417.349038         
            41.500                     136167.218647         
            41.666                     136917.787959         
            41.833                     137666.895759         
            42.000                     138412.701455         
            42.166                     139153.850334         
            42.333                     139893.878226         
            42.500                     140632.883064         
            42.666                     141371.297432         
            42.833                     142109.362649         
            43.000                     142846.762952         
            43.166                     143584.604565         
            43.333                     144323.022448         
            43.500                     145062.553769         
            43.666                     145803.550538         
            43.833                     146546.211240         
            44.000                     147289.080876         
            44.166                     148032.837478         
            44.333                     148777.963151         
            44.500                     149523.951873         
            44.666                     150270.713093         
            44.833                     151014.802358         
            45.000                     151756.968178         
            45.166                     152497.602824         
            45.333                     153236.200730         
            45.500                     153971.847059         
            45.666                     154704.950501         
            45.833                     155436.221446         
            46.000                     156166.483216         
            46.166                     156897.063362         
            46.333                     157625.847322         
            46.500                     158357.990214         
            46.666                     159090.687264         
            46.833                     159826.121220         
            47.000                     160565.942373         
            47.166                     161308.356131         
            47.333                     162052.412842         
            47.500                     162798.477412         
            47.666                     163546.010256         
            47.833                     164294.362278         
            48.000                     165043.506991         
            48.166                     165792.663466         
            48.333                     166543.182779         
            48.500                     167293.478741         
            48.666                     168041.005517         
            48.833                     168788.323476         
            49.000                     169534.089681         
            49.166                     170278.270666         
            49.333                     171021.122893         
            49.500                     171762.085036         
            49.666                     172503.987663         
            49.833                     173246.957421         
            50.000                     173989.166502         
            50.166                     174730.373371         
            50.333                     175471.199007         
            50.500                     176208.868091         
            50.666                     176943.154515         
            50.833                     177675.986667         
            51.000                     178407.497348         
            51.166                     179138.535408         
            51.333                     179869.130400         
            51.500                     180598.317722         
            51.666                     181327.506498         
            51.833                     182061.170001         
            52.000                     182797.401997         
            52.166                     183533.103285         
            52.333                     184271.185804         
            52.500                     185010.369955         
            52.666                     185752.493604         
            52.833                     186497.665199         
            53.000                     187244.939972         
            53.166                     187991.619589         
            53.333                     188738.435376         
            53.500                     189484.378180         
            53.666                     190231.250077         
            53.833                     190979.232785         
            54.000                     191729.300326         
            54.166                     192480.985640         
            54.333                     193234.989197         
            54.500                     193993.642891         
            54.666                     194755.385228         
            54.833                     195520.199877         
            55.000                     196285.702586         
            55.166                     197051.129430         
            55.333                     197817.057180         
            55.500                     198586.829798         
            55.666                     199362.120965         
            55.833                     200138.766217         
            56.000                     200917.823520         
            56.166                     201700.273748         
            56.333                     202484.656652         
            56.500                     203266.001913         
            56.666                     204046.474900         
            56.833                     204827.344679         
            57.000                     205609.387084         
            57.166                     206394.166715         
