             TauR                           MSD              
            0.000                         0.000000           
            0.167                         9.529550           
            0.333                        50.303873           
            0.500                        128.103005          
            0.667                        236.019511          
            0.833                        372.023217          
            1.000                        532.786940          
            1.167                        715.914934          
            1.333                        920.623525          
            1.500                       1144.319736          
            1.667                       1387.044565          
            1.833                       1654.670429          
            2.000                       1950.806896          
            2.167                       2278.060414          
            2.333                       2636.044664          
            2.500                       3021.673207          
            2.667                       3444.242265          
            2.833                       3917.238699          
            3.000                       4453.300574          
            3.167                       5061.194866          
            3.333                       5739.151926          
            3.500                       6471.834505          
            3.667                       7245.957226          
            3.833                       8048.513878          
            4.000                       8886.270749          
            4.167                       9757.981000          
            4.333                       10656.785168         
            4.500                       11578.632367         
            4.667                       12513.285760         
            4.833                       13458.768061         
            5.000                       14425.140858         
            5.167                       15414.806498         
            5.333                       16442.561298         
            5.500                       17495.669678         
            5.667                       18574.251871         
            5.833                       19674.750929         
            6.000                       20791.189423         
            6.167                       21927.267702         
            6.333                       23086.939877         
            6.500                       24262.693760         
            6.667                       25453.285245         
            6.833                       26660.240341         
            7.000                       27874.687683         
            7.167                       29094.079498         
            7.333                       30312.358263         
            7.500                       31528.494405         
            7.667                       32750.997099         
            7.833                       33975.479406         
            8.000                       35196.715404         
            8.167                       36430.885727         
            8.333                       37679.821972         
            8.500                       38940.095189         
            8.667                       40210.107522         
            8.833                       41489.251496         
            9.000                       42772.382333         
            9.167                       44065.766776         
            9.333                       45369.194641         
            9.500                       46678.680947         
            9.667                       47990.283278         
            9.833                       49304.746284         
            10.000                      50625.374761         
            10.167                      51965.495992         
            10.333                      53311.116820         
            10.500                      54665.274715         
            10.667                      56019.109088         
            10.833                      57373.953780         
            11.000                      58728.073216         
            11.167                      60090.905782         
            11.333                      61466.988011         
            11.500                      62848.702216         
            11.667                      64232.180946         
            11.833                      65626.923460         
            12.000                      67028.901725         
            12.167                      68435.099967         
            12.333                      69843.018863         
            12.500                      71257.521916         
            12.667                      72680.762228         
            12.833                      74118.719984         
            13.000                      75573.849142         
            13.167                      77040.192184         
            13.333                      78513.817224         
            13.500                      79992.712931         
            13.667                      81473.782581         
            13.833                      82960.612511         
            14.000                      84449.268161         
            14.167                      85941.909389         
            14.333                      87434.240071         
            14.500                      88927.329864         
            14.667                      90419.948611         
            14.833                      91911.354855         
            15.000                      93399.881263         
            15.167                      94893.491781         
            15.333                      96393.331762         
            15.500                      97900.774223         
            15.667                      99419.474616         
            15.833                     100945.778969         
            16.000                     102463.650105         
            16.167                     103974.677689         
            16.333                     105482.007177         
            16.500                     106997.723592         
            16.667                     108522.959297         
            16.833                     110061.132293         
            17.000                     111607.228325         
            17.167                     113154.635669         
            17.333                     114686.710356         
            17.500                     116203.210415         
            17.667                     117708.161872         
            17.833                     119215.244192         
            18.000                     120733.766430         
            18.167                     122259.544650         
            18.333                     123795.569932         
            18.500                     125337.958988         
            18.667                     126895.592452         
            18.833                     128459.182744         
            19.000                     130029.107862         
            19.167                     131597.299555         
            19.333                     133165.457279         
            19.500                     134726.570932         
            19.667                     136291.498193         
            19.833                     137851.555954         
            20.000                     139412.472477         
            20.167                     140970.076863         
            20.333                     142528.186407         
            20.500                     144084.130254         
            20.667                     145627.800241         
            20.833                     147169.941665         
            21.000                     148715.836386         
            21.167                     150264.994419         
            21.333                     151822.119426         
