           rCoM                     NinBin                    phiLoc                    align                      pInt                     pSwim          
        84.350100                     0                      0.000000                  0.000000                    0.0                       0.0           
        85.474768                     0                      0.000000                  0.000000                    0.0                       0.0           
        86.599436                     0                      0.000000                  0.000000                    0.0                       0.0           
        87.724104                     0                      0.000000                  0.000000                    0.0                       0.0           
        88.848772                     0                      0.000000                  0.000000                    0.0                       0.0           
        89.973440                     0                      0.000000                  0.000000                    0.0                       0.0           
        91.098108                     0                      0.000000                  0.000000                    0.0                       0.0           
        92.222776                     0                      0.000000                  0.000000                    0.0                       0.0           
        93.347444                     0                      0.000000                  0.000000                    0.0                       0.0           
        94.472112                     0                      0.000000                  0.000000                    0.0                       0.0           
        95.596780                     0                      0.000000                  0.000000                    0.0                       0.0           
        96.721448                     0                      0.000000                  0.000000                    0.0                       0.0           
        97.846116                     0                      0.000000                  0.000000                    0.0                       0.0           
        98.970784                     0                      0.000000                  0.000000                    0.0                       0.0           
        100.095452                    0                      0.000000                  0.000000                    0.0                       0.0           
        101.220120                    0                      0.000000                  0.000000                    0.0                       0.0           
        102.344788                    0                      0.000000                  0.000000                    0.0                       0.0           
        103.469456                    0                      0.000000                  0.000000                    0.0                       0.0           
        104.594124                    0                      0.000000                  0.000000                    0.0                       0.0           
        105.718792                    0                      0.000000                  0.000000                    0.0                       0.0           
        106.843460                    0                      0.000000                  0.000000                    0.0                       0.0           
        107.968128                    0                      0.000000                  0.000000                    0.0                       0.0           
        109.092796                    0                      0.000000                  0.000000                    0.0                       0.0           
        110.217464                    0                      0.000000                  0.000000                    0.0                       0.0           
        111.342132                    0                      0.000000                  0.000000                    0.0                       0.0           
        112.466800                    0                      0.000000                  0.000000                    0.0                       0.0           
        113.591468                    0                      0.000000                  0.000000                    0.0                       0.0           
        114.716136                    0                      0.000000                  0.000000                    0.0                       0.0           
        115.840804                    0                      0.000000                  0.000000                    0.0                       0.0           
        116.965472                    0                      0.000000                  0.000000                    0.0                       0.0           
        118.090140                    0                      0.000000                  0.000000                    0.0                       0.0           
        119.214808                    0                      0.000000                  0.000000                    0.0                       0.0           
        120.339476                    0                      0.000000                  0.000000                    0.0                       0.0           
        121.464144                    0                      0.000000                  0.000000                    0.0                       0.0           
        122.588812                    0                      0.000000                  0.000000                    0.0                       0.0           
        123.713480                    0                      0.000000                  0.000000                    0.0                       0.0           
        124.838148                    0                      0.000000                  0.000000                    0.0                       0.0           
        125.962816                    0                      0.000000                  0.000000                    0.0                       0.0           
        127.087484                    0                      0.000000                  0.000000                    0.0                       0.0           
        128.212152                    0                      0.000000                  0.000000                    0.0                       0.0           
        129.336820                    0                      0.000000                  0.000000                    0.0                       0.0           
        130.461488                    0                      0.000000                  0.000000                    0.0                       0.0           
