 Timestep  Gas-r=1.0  Liq-r=1.0  Gas-r=1.5  Liq-r=1.5  Gas-r=2.0  Liq-r=2.0  Gas-r=2.5  Liq-r=2.5  Gas-r=3.0  Liq-r=3.0  Gas-r=3.5  Liq-r=3.5  Gas-r=4.0  Liq-r=4.0  Gas-r=4.5  Liq-r=4.5  Gas-r=5.0  Liq-r=5.0 
   10.0      0.2500     3.2500     0.2200     3.4400     0.2500     3.4350     0.1950     3.4000     0.1900     3.3600     0.1800     3.3250     0.1850     3.2650     0.1850     3.2050     0.1800     3.0150  
   20.0      0.2500     3.2500     0.2200     3.4400     0.2500     3.4350     0.1950     3.4000     0.2200     3.3600     0.2000     3.2850     0.2000     3.2300     0.1850     3.1950     0.1800     2.9850  
   30.0      0.2500     3.2500     0.2200     3.4400     0.2500     3.4350     0.1950     3.4000     0.2200     3.3600     0.2000     3.3250     0.2000     3.2650     0.1950     3.1950     0.1850     3.0150  
   40.0      0.2500     3.2500     0.2200     3.4400     0.1850     3.4350     0.1950     3.4000     0.1900     3.3600     0.2000     3.2850     0.1850     3.2300     0.1850     3.1600     0.1700     2.9650  
   50.0      0.2500     3.2500     0.2200     3.4400     0.2500     3.4350     0.1950     3.4000     0.1900     3.3600     0.1800     3.3250     0.1850     3.2300     0.1850     3.1850     0.1700     3.0150  
   60.0      0.2500     3.2500     0.2200     3.4400     0.2500     3.4350     0.1950     3.4000     0.2200     3.3600     0.2000     3.2850     0.2000     3.2300     0.1850     3.1600     0.1800     2.9650  
   70.0      0.2500     3.2500     0.2200     3.4400     0.2500     3.4350     0.1950     3.4000     0.1900     3.3600     0.1800     3.3250     0.1850     3.2650     0.1950     3.1850     0.1700     3.0000  
   80.0      0.2500     3.2500     0.2200     3.4400     0.1850     3.4350     0.1950     3.4000     0.1900     3.3600     0.2000     3.2850     0.2000     3.2500     0.1850     3.1850     0.1800     3.0000  
   90.0      0.2500     3.2500     0.2200     3.4400     0.2500     3.4350     0.2400     3.4000     0.2200     3.3600     0.2200     3.3250     0.2150     3.2950     0.1950     3.2300     0.1850     3.0600  
  100.0      0.2500     3.2500     0.2200     3.4400     0.2500     3.4350     0.1950     3.4000     0.1900     3.3600     0.2000     3.3250     0.2000     3.2650     0.1950     3.2050     0.1800     3.0050  
